시도교육청, 지역교육청, 지역, 정보공시 학교코드, 학교명, 학교급코드, 설립구분, 학교특성, 분교여부, 설립유형, 주야구분, 개교기념일, 설립일, 법정동코드, 주소내역, 상세주소내역, 우편번호, 학교도로명우편번호, 학교도로명주소, 학교도로명상세주소, 위도, 경도, 전화번호, 팩스번호, 홈페이지주소, 남녀공학구분	
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,02,국립,,N,부설,주간,	19530522,	19530131,	1165010800,	서울특별시 서초구 서초동,"	1650번지",	137742,	06639,	서울특별시 서초구 서초중앙로 96,"	(서초동,서울교대초등학교)",	37.4907391344019,	127.015423519689,"	02-6009-6000","	02-6009-6090","	http://ps.snue.ac.kr/",남녀공학
서울특별시교육청,서울특별시중부교육지원청,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,02,국립,,N,부설,주간,	19460822,	19460822,	1111016800,	서울특별시 종로구 동숭동,"	199-1번지",	110810,	03087,	서울특별시 종로구 대학로 64,"	(동숭동,서울사대부설초등학교)",	37.577017,	127.003091,"	02-768-1500","	02-766-4085","	http://www.snu.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000738,서울개일초등학교,02,공립,,N,단설,주간,	19871117,	19871117,	1168010300,	서울특별시 강남구 개포동,"	174번지",	135804,	06323,	서울특별시 강남구 개포로 401,"	, 개일초등학교 (개포동,개일초등학교)",	37.4862137836501,	127.057741991082,"	02-571-8320","	02-571-8325","	http://www.gaeil.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000741,서울구룡초등학교,02,공립,,N,단설,주간,	19850506,	19831130,	1168010300,	서울특별시 강남구 개포동,"	655번지",	135244,	06305,	서울특별시 강남구 개포로 263,"	(개포동,구룡초등학교)",	37.48119253448,	127.051754925242,"	02-573-5017","	02-575-4237","	http://www.kuryong.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000742,서울논현초등학교,02,공립,,N,단설,주간,	19721123,	19721123,	1168010800,	서울특별시 강남구 논현동,"	168번지",	135010,	06119,	서울특별시 강남구 강남대로120길 33,"	(논현동,논현초등학교)",	37.5,	127.0,"	02-514-6636","	02-514-7072","	http://www.nonhyun.es.kr/",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000743,서울대곡초등학교,02,공립,,N,단설,주간,	19820402,	19810909,	1168010600,	서울특별시 강남구 대치동 ,"	510번지",	135837,	06288,	서울특별시 강남구 남부순환로 3022,"	, 서울대곡초등학교 (대치동,대곡초등학교)",	37.4947119051009,	127.065026466777,"	02-565-1942","	02-565-1947","	http://seouldaegok.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000744,서울대도초등학교,02,공립,,N,단설,주간,	19800327,	19790327,	1168011800,	서울특별시 강남구 도곡동,"	109번지",	135272,	06277,	서울특별시 강남구 선릉로 209,"	(도곡동, 서울대도초등학교)",	37.4927679777874,	127.053346013247,"	02-3463-5377","	02-3462-2507","	http://www.s-daedo.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000745,서울대모초등학교,02,공립,,N,단설,주간,	19941014,	19940805,	1168011400,	서울특별시 강남구 일원동,"	736번지",	135239,	06363,	서울특별시 강남구 광평로20길 27,"	, 대모초등학교 (일원동,대모초등학교)",	37.481536,	127.086562,"	02-2226-3715","	02-2226-3750","	daemo.sen.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000746,서울대왕초등학교,02,공립,,N,단설,주간,	19330501,	19321125,	1168011100,	서울특별시 강남구 세곡동,"	122-2",	135190,	06365,	서울특별시 강남구 헌릉로618길 8,"	(세곡동,대왕초등학교)",	37.4646213557123,	127.105589464202,"	02-3412-0122","	02-3412-0126","	http://www.Daewang.es.kr",남녀공학
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000747,서울대진초등학교,02,공립,,N,단설,주간,	19921026,	19920715,	1168010300,	서울특별시 강남구 개포동,"	13번지",	135939,	06334,	서울특별시 강남구 개포로109길 74,"	, 서울대진초등학교 (개포동)",	37.4970105766855,	127.078078479274,"	02-3412-0472","	02-3412-0478","	http://www.seouldaejin.es.kr",남녀공학
