"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","    32,900","11680"," 역삼동","824-25","2004","대우디오빌플러스","34.41","11"
"2","2021","5","3","    18,000","11680"," 역삼동","706-10","2003","우림루미아트2","23.66","7"
"3","2021","5","3","    18,000","11680"," 역삼동","706-10","2003","우림루미아트2","24","7"
"4","2021","5","3","    24,000","11680"," 역삼동","606-18","1999","현대휴먼터치빌","25.92","16"
"5","2021","5","4","    80,000","11680"," 역삼동","720-25","2002","대우디오빌","59.505","22"
"6","2021","5","5","   320,000","11680"," 역삼동","713-7","2007","래미안펜타빌","158.58","11"
"7","2021","5","6","    18,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.94","1"
"8","2021","5","6","    18,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.94","4"
"9","2021","5","6","    18,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.94","3"
"10","2021","5","6","    18,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.94","1"
"11","2021","5","8","    17,800","11680"," 역삼동","706-10","2003","우림루미아트2","23.9","7"
"12","2021","5","10","    39,000","11680"," 역삼동","836","1996","한스빌(836)","39.89","3"
"13","2021","5","11","    80,000","11680"," 역삼동","720-25","2002","대우디오빌","59.15","21"
"14","2021","5","12","   299,000","11680"," 역삼동","754","2006","개나리래미안","129.96","5"
"15","2021","5","13","    52,900","11680"," 역삼동","706-20","2001","한화진넥스빌","51.08","20"
"16","2021","5","13","   111,000","11680"," 역삼동","729-37","2002","명인갤러리","84.78","4"
"17","2021","5","13","    18,000","11680"," 역삼동","706-10","2003","우림루미아트2","23.9","5"
"18","2021","5","13","   158,500","11680"," 역삼동","722","2002","경남아너스빌","84.932","4"
"19","2021","5","14","    19,000","11680"," 역삼동","735-15","2014","이스턴오피스텔","14.78","10"
"20","2021","5","14","    19,000","11680"," 역삼동","735-15","2014","이스턴오피스텔","14.92","11"
"21","2021","5","14","    42,000","11680"," 역삼동","824-25","2004","대우디오빌플러스","43.99","4"
"22","2021","5","15","    32,500","11680"," 역삼동","720-25","2002","대우디오빌","30.03","10"
"23","2021","5","17","    18,000","11680"," 역삼동","706-11","2003","우림루미아트1","23.66","8"
"24","2021","5","17","   118,000","11680"," 역삼동","628-1","2003","한양럭스","103.28","4"
"25","2021","5","17","    18,000","11680"," 역삼동","706-10","2003","우림루미아트2","23.9","5"
"26","2021","5","20","   138,000","11680"," 역삼동","681-46","2004","성영forU","114.01","3"
"27","2021","5","20","    41,500","11680"," 역삼동","706-20","2001","한화진넥스빌","43.58","9"
"28","2021","5","24","   199,700","11680"," 역삼동","757","2005","역삼래미안","59.4","19"
"29","2021","5","25","    30,000","11680"," 역삼동","720-25","2002","대우디오빌","30.03","11"
"30","2021","5","28","   245,000","11680"," 역삼동","710","2001","현대까르띠에710","149.7","15"
"31","2021","5","28","   195,000","11680"," 역삼동","826-37","2007","쌍용플레티넘밸류","116.67","13"
"32","2021","5","28","    32,000","11680"," 역삼동","720-25","2002","대우디오빌","30.03","17"
"33","2021","5","29","    42,900","11680"," 역삼동","824-25","2004","대우디오빌플러스","43.99","10"
"34","2021","5","31","    18,000","11680"," 역삼동","735-15","2014","이스턴오피스텔","14.92","9"
"35","2021","5","1","   129,000","11680"," 개포동","12","1992","삼익대청아파트","39.53","13"
"36","2021","5","4","   289,000","11680"," 개포동","652","1984","개포우성3차","133.46","4"
