"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","2","   115,000","11740"," 명일동","359","2019","래미안솔베뉴","49.62","27"
"2","2021","3","2","   105,000","11740"," 명일동","270","1984","삼익가든","66.87","1"
"3","2021","3","3","   170,000","11740"," 명일동","54","1986","한양","119.37","4"
"4","2021","3","5","    74,000","11740"," 명일동","48-12","1995","동양타워","86.79","7"
"5","2021","3","6","    78,000","11740"," 명일동","356","2004","우성101동","84.59","1"
"6","2021","3","6","   100,000","11740"," 명일동","270","1984","삼익가든","57.01","3"
"7","2021","3","6","   132,500","11740"," 명일동","47","1992","삼환","84.92","14"
"8","2021","3","10","    96,000","11740"," 명일동","251-1","1988","현대(명일)","84.66","13"
"9","2021","3","11","   175,000","11740"," 명일동","15","1984","삼익그린2차","107.56","14"
"10","2021","3","11","   147,000","11740"," 명일동","54","1986","한양","84.92","11"
"11","2021","3","12","   170,500","11740"," 명일동","54","1986","한양","119.37","1"
"12","2021","3","13","    82,800","11740"," 명일동","332","1999","명일엘지","59.79","1"
"13","2021","3","13","   115,000","11740"," 명일동","332","1999","명일엘지","84.9","4"
"14","2021","3","13","   132,000","11740"," 명일동","359","2019","래미안솔베뉴","59.25","13"
"15","2021","3","13","   149,000","11740"," 명일동","44","1986","신동아","81.07","10"
"16","2021","3","13","   177,000","11740"," 명일동","44","1986","신동아","127.33","12"
"17","2021","3","13","   159,000","11740"," 명일동","41","1987","삼환고덕","121.987","15"
"18","2021","3","13","   135,000","11740"," 명일동","15","1983","삼익그린2차","66.87","4"
"19","2021","3","16","    95,000","11740"," 명일동","15","1983","삼익그린2차","42.93","15"
"20","2021","3","19","   107,000","11740"," 명일동","47-12","1994","명일진로","118.44","12"
"21","2021","3","19","   118,000","11740"," 명일동","15","1983","삼익그린2차","54.81","11"
"22","2021","3","20","   155,000","11740"," 명일동","42","1986","명일우성","84.93","6"
"23","2021","3","20","   133,000","11740"," 명일동","270","1984","삼익가든","106.65","5"
"24","2021","3","20","   148,500","11740"," 명일동","44","1986","신동아","81.07","9"
"25","2021","3","22","   123,300","11740"," 명일동","359","2019","래미안솔베뉴","59.11","2"
"26","2021","3","23","   118,000","11740"," 명일동","15","1983","삼익그린2차","54.81","6"
"27","2021","3","23","   138,000","11740"," 명일동","359","2019","래미안솔베뉴","59.11","3"
"28","2021","3","25","   105,000","11740"," 명일동","15","1983","삼익그린2차","42.93","11"
"29","2021","3","25","    85,000","11740"," 명일동","332","1999","명일엘지","59.79","3"
"30","2021","3","25","   143,500","11740"," 명일동","257","1985","고덕주공9","83.21","8"
"31","2021","3","25","    59,250","11740"," 명일동","355","2004","태천해오름101동","74.79","9"
"32","2021","3","31","   138,000","11740"," 명일동","15","1983","삼익그린2차","66.87","10"
"33","2021","3","1","   160,000","11740"," 고덕동","693","2019","고덕그라시움","73.566","25"
"34","2021","3","1","   138,000","11740"," 고덕동","693","2019","고덕그라시움","59.785","13"
"35","2021","3","6","   135,000","11740"," 고덕동","499","2011","고덕 아이파크","59.99","7"
"36","2021","3","8","   160,000","11740"," 고덕동","693","2019","고덕그라시움","84.244","6"
"37","2021","3","12","   135,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","59.96","7"
"38","2021","3","18","   115,000","11740"," 고덕동","312","1995","배재현대","59.94","13"
"39","2021","3","18","   115,000","11740"," 고덕동","312","1995","배재현대","59.94","13"
"40","2021","3","20","   158,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","84.9","14"
"41","2021","3","24","   109,500","11740"," 고덕동","470","1986","대우","96","7"
"42","2021","3","25","   177,000","11740"," 고덕동","693","2019","고덕그라시움","84.244","21"
"43","2021","3","26","   176,000","11740"," 고덕동","693","2019","고덕그라시움","84.24","27"
"44","2021","3","27","   142,700","11740"," 고덕동","312","1995","배재현대","84.9","16"
"45","2021","3","28","   122,500","11740"," 고덕동","486","1996","아남1","84.91","14"
"46","2021","3","2","   154,700","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.923","14"
"47","2021","3","3","   140,000","11740"," 상일동","513","2019","고덕센트럴IPARK","84.91","1"
"48","2021","3","3","   145,050","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.146","2"
"49","2021","3","9","   157,300","11740"," 상일동","519","2020","고덕아르테온","84.97","7"
"50","2021","3","9","   150,000","11740"," 상일동","519","2020","고덕아르테온","84.97","4"
"51","2021","3","11","   145,123","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.923","2"
"52","2021","3","12","   120,000","11740"," 상일동","490","2011","고덕리엔파크3단지","84.83","13"
"53","2021","3","12","   117,000","11740"," 상일동","515","2018","고덕숲아이파크","59.87","8"
