"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","1","    80,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.92","13"
"2","2021","2","2","    89,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","14"
"3","2021","2","3","    76,000","11305"," 미아동","1354","2004","벽산라이브파크","84.89","22"
"4","2021","2","3","    73,000","11305"," 미아동","190-2","1992","현대(190-2)","84.91","3"
"5","2021","2","4","    77,500","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","6"
"6","2021","2","4","    75,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","6"
"7","2021","2","4","    80,500","11305"," 미아동","474","2006","미아동부센트레빌","59.96","5"
"8","2021","2","5","    73,000","11305"," 미아동","811","2011","두산위브트레지움","59.99","7"
"9","2021","2","5","    76,000","11305"," 미아동","811","2011","두산위브트레지움","59.99","21"
"10","2021","2","8","   108,000","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","84.67","4"
"11","2021","2","8","    93,800","11305"," 미아동","811","2011","두산위브트레지움","84.97","7"
"12","2021","2","9","    14,500","11305"," 미아동","160-3","2014","푸르지오시티","18.6479","19"
"13","2021","2","9","    63,000","11305"," 미아동","1356","2003","경남아너스빌(1356-0)","59.964","1"
"14","2021","2","9","    81,000","11305"," 미아동","1356","2003","경남아너스빌(1356-0)","84.873","2"
"15","2021","2","9","    92,800","11305"," 미아동","461","2010","송천센트레빌","59.818","5"
"16","2021","2","15","    76,700","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","17"
"17","2021","2","15","    74,800","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","6"
"18","2021","2","17","    62,700","11305"," 미아동","1354","2004","벽산라이브파크","60","15"
"19","2021","2","18","    60,000","11305"," 미아동","1354","2004","벽산라이브파크","59.67","3"
"20","2021","2","18","    93,000","11305"," 미아동","1353","2004","에스케이북한산시티","114.85","4"
"21","2021","2","18","    59,800","11305"," 미아동","1354","2004","벽산라이브파크","60","7"
"22","2021","2","20","    79,500","11305"," 미아동","1357","2003","삼각산아이원","84.705","15"
"23","2021","2","20","    74,000","11305"," 미아동","1357","2003","삼각산아이원","84.705","1"
"24","2021","2","20","    83,000","11305"," 미아동","474","2006","미아동부센트레빌","59.96","12"
"25","2021","2","20","    83,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.92","16"
"26","2021","2","20","    75,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.71","4"
"27","2021","2","22","    58,700","11305"," 미아동","1354","2004","벽산라이브파크","59.67","19"
"28","2021","2","22","   105,000","11305"," 미아동","4","2017","꿈의숲롯데캐슬","84.98","10"
"29","2021","2","22","    74,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","10"
"30","2021","2","22","    67,900","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","18"
"31","2021","2","23","    35,000","11305"," 미아동","1358","2006","신일해피트리","59.27","10"
"32","2021","2","23","    84,000","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","59.36","4"
"33","2021","2","24","    92,000","11305"," 미아동","1357","2003","삼각산아이원","114.88","9"
"34","2021","2","26","    74,700","11305"," 미아동","1357","2003","삼각산아이원","84.705","15"
"35","2021","2","26","    13,900","11305"," 미아동","160-3","2014","푸르지오시티","18.6479","16"
"36","2021","2","27","    66,800","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","11"
"37","2021","2","27","    89,500","11305"," 미아동","811","2011","두산위브트레지움","84.97","14"
"38","2021","2","27","    68,800","11305"," 미아동","1354","2004","벽산라이브파크","84.89","3"
"39","2021","2","27","    79,800","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","5"
"40","2021","2","27","    77,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","24"
"41","2021","2","2","    58,000","11305"," 번동","242","1991","주공1단지","49.94","4"
"42","2021","2","3","    60,000","11305"," 번동","242","1991","주공1단지","49.94","10"
"43","2021","2","3","    58,000","11305"," 번동","242","1991","주공1단지","49.94","11"
"44","2021","2","3","    37,900","11305"," 번동","234","1991","주공4단지","41.3","4"
"45","2021","2","3","    55,900","11305"," 번동","133-1","1992","번동한양아파트","84.67","4"
"46","2021","2","3","    68,000","11305"," 번동","657","1998","동문","84.86","13"
"47","2021","2","3","    67,000","11305"," 번동","760","2001","오동공원현대","84.7848","2"
