"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","2","    72,000","11500"," 염창동","254-2","2004","이너스내안에","59.9","7"
"2","2021","8","5","    60,000","11500"," 염창동","242-8","2005","염창동예성그린캐슬","65.07","8"
"3","2021","8","5","    75,800","11500"," 염창동","289","1995","신동아","59.82","12"
"4","2021","8","5","    80,000","11500"," 염창동","293","1998","한강동아","59.97","2"
"5","2021","8","5","    70,500","11500"," 염창동","289","1995","신동아","59.82","1"
"6","2021","8","5","   103,000","11500"," 염창동","293","1998","한강동아","84.96","7"
"7","2021","8","6","    67,000","11500"," 염창동","254-2","2004","이너스내안에","59.9","1"
"8","2021","8","7","    84,500","11500"," 염창동","295","2001","성원","59.91","13"
"9","2021","8","7","    79,500","11500"," 염창동","270-1","1999","태영","59.97","13"
"10","2021","8","8","    78,800","11500"," 염창동","270-1","1999","태영","59.97","13"
"11","2021","8","8","    77,000","11500"," 염창동","255","1999","무학","59.38","4"
"12","2021","8","9","    40,300","11500"," 염창동","274-18","2020","한울밸리움","24.08","9"
"13","2021","8","9","    97,000","11500"," 염창동","302","2006","염창2차한화꿈에그린","59.99","13"
"14","2021","8","9","    99,000","11500"," 염창동","244-2","1995","삼성한마음","84.87","7"
"15","2021","8","10","   100,000","11500"," 염창동","289","1995","신동아","84.9","9"
"16","2021","8","11","    84,500","11500"," 염창동","292","1998","동아","59.97","8"
"17","2021","8","11","    94,250","11500"," 염창동","258-1","1999","동아3","59.7","18"
"18","2021","8","12","    80,800","11500"," 염창동","255","1999","무학","59.38","5"
"19","2021","8","12","   133,500","11500"," 염창동","309","2019","e편한세상염창","59.9812","6"
"20","2021","8","13","    81,800","11500"," 염창동","292","1998","동아","59.97","8"
"21","2021","8","13","   106,000","11500"," 염창동","292","1998","동아","84.95","17"
"22","2021","8","13","   137,000","11500"," 염창동","281-22","2005","염창1차한화꿈에그린","84.93","3"
"23","2021","8","13","    81,800","11500"," 염창동","292","1998","동아","59.97","7"
"24","2021","8","14","    73,000","11500"," 염창동","248-3","1994","삼성하나로","59.26","15"
"25","2021","8","14","   124,000","11500"," 염창동","300","2005","강변한솔솔파크","84.97","8"
"26","2021","8","14","   104,500","11500"," 염창동","288","1994","현대1","84.34","12"
"27","2021","8","14","   127,000","11500"," 염창동","258-1","1999","동아3","84.87","14"
"28","2021","8","14","   149,000","11500"," 염창동","293","1998","한강동아","114.68","12"
"29","2021","8","14","    74,000","11500"," 염창동","248-3","1994","삼성하나로","59.26","13"
"30","2021","8","14","    85,500","11500"," 염창동","292","1998","동아","59.97","13"
"31","2021","8","14","    88,800","11500"," 염창동","268","1997","관음삼성","59.96","19"
"32","2021","8","15","    78,000","11500"," 염창동","292","1998","동아","59.97","1"
"33","2021","8","16","    40,600","11500"," 염창동","274-18","2020","한울밸리움","24.08","11"
"34","2021","8","16","    89,000","11500"," 염창동","240-32","1999","금호타운","59.88","6"
"35","2021","8","16","   107,000","11500"," 염창동","244-2","1995","삼성한마음","84.87","13"
"36","2021","8","16","   114,500","11500"," 염창동","282","2001","삼정그린코아","84.358","8"
"37","2021","8","16","    79,000","11500"," 염창동","295","2001","성원","59.91","12"
"38","2021","8","16","    76,800","11500"," 염창동","289","1995","신동아","59.82","13"
"39","2021","8","16","   129,000","11500"," 염창동","299","2005","강변힐스테이트","84.99","10"
"40","2021","8","16","   110,000","11500"," 염창동","303","2007","강변코아루","84.77","14"
"41","2021","8","17","    89,500","11500"," 염창동","240-32","1999","금호타운","59.88","7"
"42","2021","8","18","    39,500","11500"," 염창동","274-18","2020","한울밸리움","21.54","6"
"43","2021","8","18","    39,400","11500"," 염창동","274-18","2020","한울밸리움","21.54","11"
"44","2021","8","18","    81,500","11500"," 염창동","246-23","2000","극동","59.9","3"
"45","2021","8","19","   105,000","11500"," 염창동","255","1999","무학","84.64","16"
"46","2021","8","19","    85,000","11500"," 염창동","280","1999","극동상록수","59.91","4"
"47","2021","8","19","    94,000","11500"," 염창동","297","2004","월드메르디앙","59.81","3"
"48","2021","8","19","    82,000","11500"," 염창동","292","1998","동아","59.97","8"
"49","2021","8","20","   107,000","11500"," 염창동","258-1","1999","동아3","84.87","2"
"50","2021","8","20","   105,700","11500"," 염창동","288","1994","현대1","84.34","13"
"51","2021","8","20","    82,500","11500"," 염창동","246-23","2000","극동","59.9","9"
"52","2021","8","21","    87,500","11500"," 염창동","272-28","1993","염창3우성","84.96","1"
"53","2021","8","21","    87,500","11500"," 염창동","272-28","1993","염창3우성","84.96","1"
"54","2021","8","23","    75,000","11500"," 염창동","264-27","1993","삼성한아름","84.89","1"
"55","2021","8","23","   140,000","11500"," 염창동","240-1","2010","강변월드메르디앙","122.1243","3"
"56","2021","8","24","   106,500","11500"," 염창동","293","1998","한강동아","84.96","15"
"57","2021","8","26","    85,300","11500"," 염창동","301","2006","염창3차보람","84.98","2"
"58","2021","8","27","    85,000","11500"," 염창동","66-9","1990","염창동한강우성","65.88","12"
"59","2021","8","28","    86,800","11500"," 염창동","264-27","1993","삼성한아름","84.89","10"
"60","2021","8","30","   108,000","11500"," 염창동","282-19","2005","현대아이파크","84.84","11"
"61","2021","8","30","   130,000","11500"," 염창동","299","2005","강변힐스테이트","84.99","13"
"62","2021","8","30","    97,000","11500"," 염창동","297","2004","월드메르디앙","59.81","5"
"63","2021","8","30","    76,800","11500"," 염창동","295","2001","성원","59.91","1"
"64","2021","8","30","   126,000","11500"," 염창동","282","2001","삼정그린코아","114.877","7"
"65","2021","8","30","    89,900","11500"," 염창동","307","2011","이너스내안에","84.78","6"
"66","2021","8","5","   119,000","11500"," 등촌동","694","1995","대림","89.975","18"
"67","2021","8","5","    87,000","11500"," 등촌동","632-2","1998","태영","84.98","12"
"68","2021","8","5","    69,000","11500"," 등촌동","637-26","2002","다울","83.286","5"
"69","2021","8","5","    85,000","11500"," 등촌동","634-2","1999","한사랑2삼성","59.73","10"
"70","2021","8","5","    94,000","11500"," 등촌동","630-3","1992","우성","84.96","12"
"71","2021","8","6","   117,000","11500"," 등촌동","691-1","1995","동성","150.05","2"
"72","2021","8","6","    90,000","11500"," 등촌동","632-2","1998","태영","84.98","15"
"73","2021","8","6","    72,000","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","15"
"74","2021","8","6","    85,000","11500"," 등촌동","638","1999","서광등촌마을아파트","59.67","10"
"75","2021","8","6","    89,500","11500"," 등촌동","711","2002","월드메르디앙","84.97","4"
"76","2021","8","7","   113,000","11500"," 등촌동","691-1","1995","동성","134.94","9"
"77","2021","8","7","    70,000","11500"," 등촌동","562-5","2000","임광","59.34","13"
"78","2021","8","7","   113,000","11500"," 등촌동","691-1","1995","동성","134.94","9"
"79","2021","8","8","    72,000","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","2"
"80","2021","8","9","   108,000","11500"," 등촌동","691-3","1994","부영","80.64","9"
"81","2021","8","9","    89,000","11500"," 등촌동","702","1995","주공10","58.14","10"
"82","2021","8","9","   103,500","11500"," 등촌동","561-1","2002","대림e편한세상","75.64","5"
"83","2021","8","10","    78,000","11500"," 등촌동","628-15","1997","등촌라인(조합)","59.91","16"
"84","2021","8","10","    90,000","11500"," 등촌동","701","1994","진로,미주아파트","84.96","1"
"85","2021","8","13","    68,500","11500"," 등촌동","630-3","1992","우성","66.9","9"
"86","2021","8","13","   106,500","11500"," 등촌동","691-3","1994","부영","80.64","7"
"87","2021","8","14","    72,000","11500"," 등촌동","702","1995","주공10","37.67","8"
"88","2021","8","14","    87,000","11500"," 등촌동","687","1995","등촌1,2단지주공아파트","49.94","6"
"89","2021","8","14","    47,000","11500"," 등촌동","365-195","1991","두보아파트","59.49","5"
"90","2021","8","14","    94,500","11500"," 등촌동","631-9","2000","대동황토방","84.95","7"
"91","2021","8","15","    69,500","11500"," 등촌동","637-22","2002","대림아르빌아파트","84.6","1"
"92","2021","8","15","   110,000","11500"," 등촌동","691-1","1995","동성","101.88","4"
"93","2021","8","16","    28,000","11500"," 등촌동","725","2021","마곡루나플라체","22.05","6"
"94","2021","8","16","    78,000","11500"," 등촌동","713","2003","대동황토방2","59.93","3"
"95","2021","8","16","    77,000","11500"," 등촌동","713","2003","대동황토방2","59.93","3"
"96","2021","8","17","   100,000","11500"," 등촌동","631-9","2000","대동황토방","84.95","13"
"97","2021","8","17","   100,000","11500"," 등촌동","631-9","2000","대동황토방","84.95","9"
"98","2021","8","18","    76,500","11500"," 등촌동","712","2002","코오롱오투빌2","59.95","7"
"99","2021","8","19","    89,000","11500"," 등촌동","702","1995","주공10","58.14","6"
"100","2021","8","19","   107,000","11500"," 등촌동","691-3","1994","부영","80.64","11"
"101","2021","8","20","    63,000","11500"," 등촌동","637-15","2009","예지펠리스","81.35","3"
"102","2021","8","21","   105,000","11500"," 등촌동","688","1995","주공3","58.14","4"
"103","2021","8","21","   105,000","11500"," 등촌동","688","1995","주공3","58.14","4"
"104","2021","8","22","    70,900","11500"," 등촌동","687","1995","등촌1,2단지주공아파트","41.85","15"
"105","2021","8","22","    95,000","11500"," 등촌동","714","2003","코오롱하늘채","84.96","3"
"106","2021","8","23","    77,000","11500"," 등촌동","711","2002","월드메르디앙","59.79","15"
"107","2021","8","26","    74,000","11500"," 등촌동","655-46","1997","등촌동현대2차","59.97","12"
"108","2021","8","27","    35,000","11500"," 등촌동","511-4","2020","등촌퀸즈포디엄삼익","32.37","13"
"109","2021","8","27","   132,000","11500"," 등촌동","691-1","1995","동성","150.05","14"
"110","2021","8","27","    83,100","11500"," 등촌동","631-9","2000","대동황토방","84.95","1"
"111","2021","8","28","   110,000","11500"," 등촌동","691-3","1994","부영","80.64","14"
"112","2021","8","4","    45,000","11500"," 화곡동","1021-7","2007","오복뜨란체","65.92","6"
"113","2021","8","4","    50,000","11500"," 화곡동","1039-3","2002","금호","106.24","5"
"114","2021","8","4","    50,000","11500"," 화곡동","1039-3","2002","금호","106.24","5"
"115","2021","8","5","   155,000","11500"," 화곡동","1145","2003","우장산롯데캐슬","177.86","8"
"116","2021","8","5","   142,500","11500"," 화곡동","1165","2015","강서힐스테이트","84.99","5"
"117","2021","8","5","   110,000","11500"," 화곡동","1165","2015","강서힐스테이트","59.99","16"
"118","2021","8","5","    48,000","11500"," 화곡동","899-25","2008","창대","74.32","7"
"119","2021","8","5","   120,500","11500"," 화곡동","1091","2002","화곡푸르지오","84.914","7"
"120","2021","8","6","   157,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","114.98","9"
"121","2021","8","7","    52,800","11500"," 화곡동","351-89","1988","중앙화곡하이츠","56.88","5"
"122","2021","8","7","    98,000","11500"," 화곡동","1158","2006","우장산에스케이뷰","84.97","6"
"123","2021","8","7","    80,000","11500"," 화곡동","361-1","1992","대림e편한세상","110.26","1"
"124","2021","8","7","    31,500","11500"," 화곡동","925-5","2012","풍원팰리스","43.8","4"
"125","2021","8","9","    23,000","11500"," 화곡동","56-28","2002","계명가동","57.84","2"
"126","2021","8","10","    48,300","11500"," 화곡동","927-1","2000","웰라이빌","84.73","15"
"127","2021","8","11","    27,500","11500"," 화곡동","359-3","2002","대우그린","63.36","5"
"128","2021","8","12","    25,500","11500"," 화곡동","143-11","2017","성재센트리움아파트","37.51","11"
"129","2021","8","12","   138,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","84.97","18"
"130","2021","8","13","   135,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","84.97","2"
"131","2021","8","13","   142,000","11500"," 화곡동","1091","2002","화곡푸르지오","144.123","7"
"132","2021","8","14","    49,500","11500"," 화곡동","927-1","2000","웰라이빌","84.85","4"
"133","2021","8","14","   142,500","11500"," 화곡동","1165","2015","강서힐스테이트","84.99","12"
"134","2021","8","14","   168,000","11500"," 화곡동","1165","2015","강서힐스테이트","128.81","15"
"135","2021","8","16","    24,500","11500"," 화곡동","343-48","2000","남경리버빌(343-48)","47.1","7"
"136","2021","8","16","   142,500","11500"," 화곡동","1165","2015","강서힐스테이트","84.99","17"
"137","2021","8","16","   169,500","11500"," 화곡동","1165","2015","강서힐스테이트","128.81","10"
"138","2021","8","17","   112,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","59.98","14"
"139","2021","8","17","   125,500","11500"," 화곡동","1145","2003","우장산롯데캐슬","85","9"
"140","2021","8","17","   169,000","11500"," 화곡동","1165","2015","강서힐스테이트","119.63","6"
"141","2021","8","18","   113,500","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","59.98","8"
"142","2021","8","18","    20,000","11500"," 화곡동","924-10","2014","스카이(924-10)","35.3","7"
"143","2021","8","19","   140,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","101.65","21"
"144","2021","8","20","   126,000","11500"," 화곡동","1091","2002","화곡푸르지오","125.021","3"
"145","2021","8","20","   165,000","11500"," 화곡동","1165","2015","강서힐스테이트","128.81","11"
"146","2021","8","20","    20,500","11500"," 화곡동","343-71","2015","벨라팰리스","24.71","8"
"147","2021","8","20","    73,500","11500"," 화곡동","1139","1998","초록","59.34","1"
"148","2021","8","20","    55,000","11500"," 화곡동","916-14","2012","승윤노블리안","80.06","10"
"149","2021","8","20","   120,500","11500"," 화곡동","1165","2015","강서힐스테이트","59.99","5"
"150","2021","8","21","    36,000","11500"," 화곡동","460-1","2007","푸른숲","59.97","4"
"151","2021","8","21","   116,000","11500"," 화곡동","1159","2008","우장산아이파크,이편한세상","59.98","14"
"152","2021","8","21","    36,000","11500"," 화곡동","460-1","2007","푸른숲","59.97","4"
"153","2021","8","22","    43,000","11500"," 화곡동","918-14","2016","도양라비앙아파트","79.21","7"
"154","2021","8","23","    10,500","11500"," 화곡동","917-14","2015","삼성다빈치(917-14)","14.35","9"
"155","2021","8","23","   115,000","11500"," 화곡동","1091","2002","화곡푸르지오","104.75","7"
"156","2021","8","23","   170,000","11500"," 화곡동","1165","2015","강서힐스테이트","152.1","4"
"157","2021","8","23","   128,000","11500"," 화곡동","1145","2003","우장산롯데캐슬","85","15"
"158","2021","8","24","    79,000","11500"," 화곡동","1139","1998","초록","59.34","8"
"159","2021","8","24","    45,000","11500"," 화곡동","1168","2019","스위트드림아파트","49.53","3"
"160","2021","8","24","    26,500","11500"," 화곡동","899-8","2018","한울아파트","26.24","11"
"161","2021","8","25","    25,000","11500"," 화곡동","911-10","2003","삼성홈타운","75.35","4"
"162","2021","8","25","   169,000","11500"," 화곡동","1165","2015","강서힐스테이트","128.81","13"
"163","2021","8","26","    66,000","11500"," 화곡동","919-1","2004","유림노르웨이숲(919-1)","76.23","10"
"164","2021","8","26","    26,200","11500"," 화곡동","424-59","1999","가화(424-59)나동","62.52","4"
"165","2021","8","26","   142,000","11500"," 화곡동","1165","2015","강서힐스테이트","84.99","9"
"166","2021","8","27","   144,500","11500"," 화곡동","1165","2015","강서힐스테이트","84.99","11"
"167","2021","8","27","    50,000","11500"," 화곡동","105-500","2003","까치산(101동)","86.49","4"
"168","2021","8","27","    12,800","11500"," 화곡동","918-25","2013","AndPra레지던스","15.26","8"
"169","2021","8","27","    79,500","11500"," 화곡동","1011-6","2002","희훈리치파크","84.64","2"
"170","2021","8","27","    50,000","11500"," 화곡동","105-500","2003","까치산(101동)","86.49","4"
"171","2021","8","28","   175,000","11500"," 화곡동","1165","2015","강서힐스테이트","152.1","4"
"172","2021","8","28","    56,000","11500"," 화곡동","351-89","1988","중앙화곡하이츠","56.88","10"
"173","2021","8","28","    25,000","11500"," 화곡동","897-2","2017","루체비스타","24.67","4"
"174","2021","8","28","    48,800","11500"," 화곡동","914-3","2001","일성스카이빌","76.32","14"
"175","2021","8","28","    22,500","11500"," 화곡동","343-71","2015","벨라팰리스","24.93","7"
"176","2021","8","28","   124,500","11500"," 화곡동","1165","2015","강서힐스테이트","59.99","16"
"177","2021","8","30","    20,000","11500"," 화곡동","379-56","2002","태영(379-56)","60.46","6"
"178","2021","8","31","   155,000","11500"," 화곡동","1145","2003","우장산롯데캐슬","177.86","19"
"179","2021","8","31","    23,000","11500"," 화곡동","922-17","2018","우공아파트","27","2"
"180","2021","8","31","    29,800","11500"," 화곡동","894-12","2020","오경아파트","26","6"
"181","2021","8","31","   145,000","11500"," 화곡동","1091","2002","화곡푸르지오","144.123","9"
"182","2021","8","31","   135,000","11500"," 화곡동","1145","2003","우장산롯데캐슬","117.19","15"
"183","2021","8","31","    24,000","11500"," 화곡동","849-7","2003","계명(849-7)","66.74","5"
"184","2021","8","4","    99,500","11500"," 가양동","1485","1992","가양6단지","58.65","6"
"185","2021","8","5","    87,000","11500"," 가양동","448-1","1999","가양강나루현대","59.76","2"
"186","2021","8","5","   120,000","11500"," 가양동","448-1","1999","가양강나루현대","84.98","14"
"187","2021","8","5","   118,000","11500"," 가양동","1500","2013","강서한강자이","59.9382","5"
"188","2021","8","5","    84,000","11500"," 가양동","448-9","1999","빛고을우방","59.97","4"
"189","2021","8","5","    63,000","11500"," 가양동","1485","1992","가양6단지","49.5","4"
"190","2021","8","7","    71,000","11500"," 가양동","1490","1993","가양도시개발9-2단지","39.6","9"
"191","2021","8","8","   136,000","11500"," 가양동","1500","2013","강서한강자이","84.9903","10"
"192","2021","8","9","    75,000","11500"," 가양동","1461","1992","가양2단지(성지)","39.6","1"
"193","2021","8","11","    90,000","11500"," 가양동","1475","1992","강변","49.5","9"
"194","2021","8","14","    88,000","11500"," 가양동","1475","1992","강변","49.5","5"
"195","2021","8","14","   145,000","11500"," 가양동","1500","2013","강서한강자이","98.9994","3"
"196","2021","8","14","   119,000","11500"," 가양동","1500","2013","강서한강자이","59.9382","2"
"197","2021","8","17","   109,000","11500"," 가양동","1462","2006","강서한강월드메르디앙","84.9","4"
"198","2021","8","19","   123,000","11500"," 가양동","1460","1993","한강타운","84.99","15"
"199","2021","8","20","    67,300","11500"," 가양동","1475","1992","강변","34.44","15"
"200","2021","8","20","    66,500","11500"," 가양동","1475","1992","강변","34.44","12"
"201","2021","8","20","    64,500","11500"," 가양동","239-1","2006","디아이빌101동","83.92","4"
"202","2021","8","20","    67,500","11500"," 가양동","1475","1992","강변","34.44","11"
"203","2021","8","21","   155,000","11500"," 가양동","1459","1993","동신대아","134.88","9"
"204","2021","8","21","    91,000","11500"," 가양동","1485","1992","가양6단지","49.5","9"
"205","2021","8","21","    62,700","11500"," 가양동","235-4","2019","마곡보타닉","59.14","8"
"206","2021","8","21","   109,500","11500"," 가양동","1462","2006","강서한강월드메르디앙","84.9","3"
"207","2021","8","22","    90,500","11500"," 가양동","448-1","1999","가양강나루현대","59.76","11"
"208","2021","8","24","    75,000","11500"," 가양동","1495","1999","한보구암마을","59.22","2"
"209","2021","8","28","   150,000","11500"," 가양동","1459","1993","동신대아","134.88","5"
"210","2021","8","28","   150,000","11500"," 가양동","1459","1993","동신대아","134.88","11"
"211","2021","8","30","   116,000","11500"," 가양동","448","2001","강나루2현대","114.98","2"
"212","2021","8","31","    76,600","11500"," 가양동","1495","1999","한보구암마을","59.22","3"
"213","2021","8","2","   145,000","11500"," 마곡동","725-1","2017","마곡힐스테이트","84.98","15"
"214","2021","8","5","    85,000","11500"," 마곡동","429","1999","벽산","84.97","4"
"215","2021","8","5","   149,000","11500"," 마곡동","743-4","2014","마곡엠밸리7단지","84.95","2"
"216","2021","8","7","   140,000","11500"," 마곡동","725-1","2017","마곡힐스테이트","84.98","4"
"217","2021","8","7","   150,000","11500"," 마곡동","725-1","2017","마곡힐스테이트","84.89","7"
"218","2021","8","9","   145,000","11500"," 마곡동","735","2014","마곡엠밸리2단지","114.91","2"
"219","2021","8","10","   167,000","11500"," 마곡동","750","2014","마곡엠벨리(14단지)","114.86","15"
"220","2021","8","11","   147,500","11500"," 마곡동","746","2016","마곡엠밸리11단지","84.89","15"
"221","2021","8","11","   150,000","11500"," 마곡동","725-1","2017","마곡힐스테이트","84.98","4"
"222","2021","8","13","    96,500","11500"," 마곡동","429","1999","벽산","114.96","15"
"223","2021","8","13","   153,000","11500"," 마곡동","736","2014","마곡엠밸리3단지","114.86","1"
"224","2021","8","16","   141,000","11500"," 마곡동","734","2014","마곡엠밸리1단지","84.85","10"
"225","2021","8","16","   130,000","11500"," 마곡동","743","2014","마곡엠밸리6단지","114.98","4"
"226","2021","8","17","   174,000","11500"," 마곡동","738","2014","마곡엠밸리4단지","114.69","3"
"227","2021","8","19","   160,000","11500"," 마곡동","748","2017","마곡13단지힐스테이트마스터","84.9805","6"
"228","2021","8","20","   160,000","11500"," 마곡동","743-4","2014","마곡엠밸리7단지","84.95","7"
"229","2021","8","25","   125,000","11500"," 마곡동","741","2016","마곡엠밸리8단지","59.79","9"
"230","2021","8","26","   168,000","11500"," 마곡동","748","2017","마곡13단지힐스테이트마스터","84.9805","7"
"231","2021","8","27","   187,500","11500"," 마곡동","743","2014","마곡엠밸리6단지","114.98","10"
"232","2021","8","28","   125,000","11500"," 마곡동","748","2017","마곡13단지힐스테이트마스터","59.9825","9"
"233","2021","8","28","    84,000","11500"," 마곡동","429","1999","벽산","59.98","8"
"234","2021","8","28","   169,500","11500"," 마곡동","735","2014","마곡엠밸리2단지","114.84","3"
"235","2021","8","28","   123,000","11500"," 마곡동","725-1","2017","마곡힐스테이트","59.99","14"
"236","2021","8","31","    98,000","11500"," 마곡동","429","1999","벽산","114.96","6"
"237","2021","8","3","   114,000","11500"," 내발산동","751","2007","마곡수명산파크3단지","84.96","14"
"238","2021","8","4","    96,800","11500"," 내발산동","756","2008","마곡수명산파크7단지","84.68","9"
"239","2021","8","4","   130,000","11500"," 내발산동","657","2005","우장산힐스테이트","84.98","2"
"240","2021","8","5","    67,500","11500"," 내발산동","672-15","2001","원다벨라빌","84.0152","5"
"241","2021","8","5","   117,000","11500"," 내발산동","753","2008","마곡수명산파크4단지","84.96","13"
"242","2021","8","5","    89,000","11500"," 내발산동","753","2008","마곡수명산파크4단지","59.84","10"
"243","2021","8","5","   120,000","11500"," 내발산동","741","2007","마곡수명산파크2단지","84.82","6"
"244","2021","8","6","   128,000","11500"," 내발산동","741","2007","마곡수명산파크2단지","84.82","8"
"245","2021","8","6","   111,700","11500"," 내발산동","659-1","2006","월드메르디앙","112.6932","11"
"246","2021","8","7","   128,000","11500"," 내발산동","741","2007","마곡수명산파크2단지","84.68","11"
"247","2021","8","7","    99,000","11500"," 내발산동","749","2008","마곡수명산파크5단지","59.87","12"
"248","2021","8","9","    82,000","11500"," 내발산동","685","2004","태승훼미리2","84.83","12"
"249","2021","8","9","    45,000","11500"," 내발산동","696-2","2004","내츄럴2차","83.04","5"
"250","2021","8","10","   139,500","11500"," 내발산동","657","2005","우장산힐스테이트","84.98","6"
"251","2021","8","10","    93,000","11500"," 내발산동","756","2008","마곡수명산파크7단지","84.82","1"
"252","2021","8","10","    49,000","11500"," 내발산동","687-27","2011","내츄럴4차","76.59","2"
"253","2021","8","12","   115,000","11500"," 내발산동","742","2007","마곡수명산파크1단지","84.53","5"
"254","2021","8","13","   120,000","11500"," 내발산동","657","2005","우장산힐스테이트","59.98","15"
"255","2021","8","14","   113,500","11500"," 내발산동","657","2005","우장산힐스테이트","59.98","5"
"256","2021","8","14","   118,000","11500"," 내발산동","753","2008","마곡수명산파크4단지","84.96","8"
"257","2021","8","16","   108,000","11500"," 내발산동","657","2005","우장산힐스테이트","59.98","3"
"258","2021","8","17","    93,500","11500"," 내발산동","753","2008","마곡수명산파크4단지","59.84","14"
"259","2021","8","19","   109,900","11500"," 내발산동","749","2008","마곡수명산파크5단지","59.84","8"
"260","2021","8","19","    51,300","11500"," 내발산동","702-7","2003","천우캐슬","97.97","5"
"261","2021","8","21","    79,500","11500"," 내발산동","735","2005","청솔샤르망1003동","84.5832","3"
"262","2021","8","21","   105,500","11500"," 내발산동","749","2008","마곡수명산파크5단지","59.84","7"
"263","2021","8","22","    48,900","11500"," 내발산동","675-10","2004","다울","72.9","2"
"264","2021","8","23","    67,800","11500"," 내발산동","712-2","2005","유니드","69.92","3"
"265","2021","8","26","    68,700","11500"," 내발산동","672-15","2001","원다벨라빌","84.985","5"
"266","2021","8","31","    99,800","11500"," 내발산동","659-1","2006","월드메르디앙","84.8945","3"
"267","2021","8","31","   143,000","11500"," 내발산동","657","2005","우장산힐스테이트","84.98","15"
