"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","2","    97,800","11620"," 봉천동","1719","2004","관악동부센트레빌","59.75","14"
"2","2021","8","2","    17,700","11620"," 봉천동","1568-1","2018","서울대입구한양아이클래스","15.53","10"
"3","2021","8","3","   114,000","11620"," 봉천동","1000","1992","현대(관악)","116.86","9"
"4","2021","8","3","   103,000","11620"," 봉천동","1706","2000","봉천우성","84.96","10"
"5","2021","8","4","    93,500","11620"," 봉천동","1560-61","2006","서울대입구아이원(1560-61)","59.96","10"
"6","2021","8","5","    80,500","11620"," 봉천동","1706","2000","봉천우성","59.76","14"
"7","2021","8","5","    86,700","11620"," 봉천동","1000","1992","현대(관악)","68.8","13"
"8","2021","8","6","   121,000","11620"," 봉천동","1708","2000","두산","114.99","14"
"9","2021","8","7","    87,000","11620"," 봉천동","1728","2014","관악파크푸르지오","59.98","13"
"10","2021","8","7","    76,000","11620"," 봉천동","1000","1992","현대(관악)","58.59","15"
"11","2021","8","7","    85,000","11620"," 봉천동","1560-61","2006","서울대입구아이원(1560-61)","59.96","1"
"12","2021","8","7","    75,000","11620"," 봉천동","1722","2005","제창그로힐","81.892","3"
"13","2021","8","7","    95,000","11620"," 봉천동","1728","2014","관악파크푸르지오","84.98","3"
"14","2021","8","7","    17,000","11620"," 봉천동","867-12","2013","프라비다2","19.61","7"
"15","2021","8","7","    56,500","11620"," 봉천동","1707-1","2000","은천2단지아파트","49.95","4"
"16","2021","8","7","    83,400","11620"," 봉천동","1706","2000","봉천우성","59.76","5"
"17","2021","8","8","    92,800","11620"," 봉천동","1560-61","2006","서울대입구아이원(1560-61)","59.96","6"
"18","2021","8","9","    88,000","11620"," 봉천동","1000","1992","현대(관악)","68.8","11"
"19","2021","8","10","    84,500","11620"," 봉천동","1712","2003","관악드림(동아)","59.85","9"
"20","2021","8","10","    75,000","11620"," 봉천동","1708","2000","두산","59.92","9"
"21","2021","8","10","    88,500","11620"," 봉천동","1712","2003","관악드림(동아)","60","21"
"22","2021","8","10","    75,500","11620"," 봉천동","1729","2015","서희스타힐스","59.92","3"
"23","2021","8","10","    89,000","11620"," 봉천동","1000","1992","현대(관악)","68.8","13"
"24","2021","8","11","    94,000","11620"," 봉천동","1719","2004","관악동부센트레빌","59.75","9"
"25","2021","8","11","    92,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","22"
"26","2021","8","11","    87,000","11620"," 봉천동","1000","1992","현대(관악)","68.8","6"
"27","2021","8","11","   103,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","12"
"28","2021","8","11","    95,000","11620"," 봉천동","1698-1","1996","보라매삼성","84.78","1"
"29","2021","8","11","   108,000","11620"," 봉천동","1717","2004","관악푸르지오","84.75","3"
"30","2021","8","12","    92,300","11620"," 봉천동","1717","2004","관악푸르지오","59.58","6"
"31","2021","8","12","   105,000","11620"," 봉천동","1000","1992","현대(관악)","84.74","11"
"32","2021","8","12","   109,000","11620"," 봉천동","1719","2004","관악동부센트레빌","84.7","1"
"33","2021","8","13","    83,400","11620"," 봉천동","1718","2005","벽산블루밍","59.99","18"
"34","2021","8","13","   102,000","11620"," 봉천동","1000","1992","현대(관악)","84.74","6"
"35","2021","8","13","   128,000","11620"," 봉천동","1712","2003","관악드림(동아)","114.75","18"
"36","2021","8","13","    81,000","11620"," 봉천동","1729","2015","서희스타힐스","59.92","8"
"37","2021","8","14","   113,500","11620"," 봉천동","1712","2003","관악드림(동아)","84.96","11"
"38","2021","8","14","    92,000","11620"," 봉천동","856-1","2007","대우디오슈페리움2단지","84.93","7"
"39","2021","8","14","    73,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","59.93","6"
"40","2021","8","14","   120,000","11620"," 봉천동","1708","2000","두산","84.87","3"
"41","2021","8","14","    51,000","11620"," 봉천동","100-20","2016","더갤러리테라스","53.22","3"
"42","2021","8","16","    15,000","11620"," 봉천동","867-9","2012","서울대역해담채","12.87","8"
"43","2021","8","16","    93,000","11620"," 봉천동","1712","2003","관악드림(동아)","60","18"
"44","2021","8","17","    73,700","11620"," 봉천동","1726","2009","관악청광플러스원","59.81","5"
