"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","8","    41,700","11215"," 중곡동","238-6","2017","한영해시안아파트","57.02","10"
"2","2021","6","23","    56,000","11215"," 중곡동","190-26","1976","중곡2단지","55.87","4"
"3","2021","6","24","    65,000","11215"," 중곡동","135-13","2004","두리","83.26","2"
"4","2021","6","27","    43,000","11215"," 중곡동","238-6","2017","한영해시안아파트","58.1","2"
"5","2021","6","27","    41,900","11215"," 중곡동","238-6","2017","한영해시안아파트","58.1","4"
"6","2021","6","1","   114,000","11215"," 구의동","199-18","2001","삼성쉐르빌","84.94","14"
"7","2021","6","4","   159,500","11215"," 구의동","547-7","2009","광진해모로리버뷰","134.23","4"
"8","2021","6","7","   135,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","18"
"9","2021","6","8","   160,000","11215"," 구의동","611","1996","구의현대2단지","84.91","17"
"10","2021","6","9","   103,500","11215"," 구의동","587-54","1997","구의현대7단지현대홈타운","59.97","13"
"11","2021","6","10","   135,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","12"
"12","2021","6","12","   142,000","11215"," 구의동","610","1994","구의현대6단지","84.92","4"
"13","2021","6","12","   119,400","11215"," 구의동","631-1","1997","현대프라임","59.82","27"
"14","2021","6","12","   124,000","11215"," 구의동","631-1","1997","현대프라임","59.82","28"
"15","2021","6","16","   118,200","11215"," 구의동","631-1","1997","현대프라임","59.82","13"
"16","2021","6","19","   169,000","11215"," 구의동","199-18","2001","삼성쉐르빌","156.73","19"
"17","2021","6","19","   147,000","11215"," 구의동","667","2017","강변에스케이뷰","84.81","27"
"18","2021","6","19","   133,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","3"
"19","2021","6","24","    42,400","11215"," 구의동","236-25","2015","솔렌시아2","48.82","10"
"20","2021","6","26","    34,000","11215"," 구의동","236-25","2015","솔렌시아2","33.17","9"
"21","2021","6","29","    97,000","11215"," 구의동","663","2010","아차산포레안","84.68","1"
"22","2021","6","30","   154,000","11215"," 구의동","611","1996","구의현대2단지","84.75","14"
"23","2021","6","4","   130,000","11215"," 광장동","577","2000","현대파크빌","59.76","6"
"24","2021","6","4","   113,000","11215"," 광장동","484","1990","현대3","59.67","8"
"25","2021","6","15","   230,000","11215"," 광장동","218-1","1985","극동1","126.94","6"
"26","2021","6","21","   167,000","11215"," 광장동","577","2000","현대파크빌","84.81","11"
"27","2021","6","22","   125,000","11215"," 광장동","576","1999","광장현대9단지","59.97","21"
"28","2021","6","22","   163,000","11215"," 광장동","554-7","1989","현대5","74.88","18"
"29","2021","6","27","   122,000","11215"," 광장동","567","1996","광나루현대","84.92","8"
"30","2021","6","29","   110,900","11215"," 광장동","566","1996","청구","59.95","22"
"31","2021","6","30","   169,000","11215"," 광장동","577","2000","현대파크빌","84.81","11"
"32","2021","6","1","   104,200","11215"," 자양동","762","1996","한라아파트","59.96","4"
"33","2021","6","1","    38,500","11215"," 자양동","219-11","2017","자양동명진센트라임","34.25","8"
"34","2021","6","2","   139,000","11215"," 자양동","793","2003","우방리버파크","84.99","19"
"35","2021","6","6","   119,000","11215"," 자양동","57-103","1991","한강극동","84.45","10"
"36","2021","6","8","    95,000","11215"," 자양동","644","1999","로얄동아","59.91","14"
"37","2021","6","12","    95,000","11215"," 자양동","579","1988","우성1","51.57","1"
"38","2021","6","14","    98,000","11215"," 자양동","579","1988","우성1","51.57","2"
"39","2021","6","17","    93,300","11215"," 자양동","831-1","1997","한강성원","59.46","4"
"40","2021","6","19","    95,000","11215"," 자양동","520-2","1989","우성2","51.57","7"
"41","2021","6","23","   150,000","11215"," 자양동","87-1","1993","한강우성","84.72","11"
"42","2021","6","23","   136,500","11215"," 자양동","520-2","1989","우성2","80.1","13"
"43","2021","6","23","   140,000","11215"," 자양동","855","2007","이튼타워리버3차","84.96","15"
"44","2021","6","23","   128,000","11215"," 자양동","762","1996","한라아파트","84.6","3"
"45","2021","6","23","   125,000","11215"," 자양동","829","1993","한강현대","83.45","17"
"46","2021","6","24","   170,000","11215"," 자양동","793","2003","우방리버파크","84.96","14"
"47","2021","6","26","   142,000","11215"," 자양동","761","1995","자양2현대","84.88","9"
"48","2021","6","28","   114,500","11215"," 자양동","641","1999","경남","84.95","3"
"49","2021","6","28","   230,000","11215"," 자양동","227-7","2007","더샵스타시티","139.54","37"
"50","2021","6","29","    74,800","11215"," 자양동","779-11","2005","구의역현대하이엘","59.92","16"
"51","2021","6","29","    58,500","11215"," 자양동","779-11","2005","구의역현대하이엘","46.52","6"
"52","2021","6","19","    80,000","11215"," 화양동","531","2019","테라팰리스건대1차","67.61","5"
"53","2021","6","20","    74,000","11215"," 화양동","21-2","2006","브라운스톤","65.09","12"
"54","2021","6","21","    70,000","11215"," 화양동","531","2019","테라팰리스건대1차","56.3","7"
"55","2021","6","22","    11,600","11215"," 화양동","113-1","2014","광진코지웰","13.83","5"
"56","2021","6","27","    83,850","11215"," 화양동","234","1999","화양현대","59.99","4"
"57","2021","6","28","    85,000","11215"," 화양동","234","1999","화양현대","59.97","4"
"58","2021","6","29","    44,400","11215"," 화양동","9-91","1999","캠퍼스프라자","72.69","6"
"59","2021","6","30","    13,000","11215"," 화양동","113-1","2014","광진코지웰","15.63","12"
"60","2021","6","12","    85,000","11215"," 군자동","99","1996","일성파크","79.28","2"
