"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","2","    95,000","11530"," 신도림동","642","2001","대림2","59.9","16"
"2","2021","11","8","   115,000","11530"," 신도림동","643","1999","동아1","59.978","17"
"3","2021","11","9","   178,000","11530"," 신도림동","646","2003","대림e-편한세상4","117.74","8"
"4","2021","11","9","   162,000","11530"," 신도림동","645","2000","동아3","138.412","10"
"5","2021","11","11","   170,000","11530"," 신도림동","645","2000","동아3","164.82","17"
"6","2021","11","19","   141,500","11530"," 신도림동","649","2004","대림e-편한세상7","84.928","7"
"7","2021","11","19","   109,900","11530"," 신도림동","643","1999","동아1","59.978","9"
"8","2021","11","20","    92,500","11530"," 신도림동","642","1999","대림1","59.88","17"
"9","2021","11","24","   103,700","11530"," 신도림동","644","2000","동아2","59.595","12"
"10","2021","11","25","   143,000","11530"," 신도림동","338","2008","신도림2차푸르지오","84.62","11"
"11","2021","11","25","   143,000","11530"," 신도림동","338","2008","신도림2차푸르지오","84.62","11"
"12","2021","11","28","   120,000","11530"," 신도림동","642","2001","대림2","84.95","11"
"13","2021","11","1","    62,300","11530"," 구로동","74-30","1988","현대","56.49","7"
"14","2021","11","1","    10,375","11530"," 구로동","104-6","2013","그린플러스구로해담채2","13.23","16"
"15","2021","11","1","    10,500","11530"," 구로동","98-10","2012","비즈트위트그린","15.11","14"
"16","2021","11","1","    11,400","11530"," 구로동","44-5","2012","비즈트위트레인보우","15.58","5"
"17","2021","11","1","    28,000","11530"," 구로동","748-43","1996","정창빌라","48.48","5"
"18","2021","11","2","    13,000","11530"," 구로동","44-5","2012","비즈트위트레인보우","15.17","6"
"19","2021","11","3","    29,000","11530"," 구로동","748-48","1996","(748-48)","59.8","3"
"20","2021","11","4","    82,000","11530"," 구로동","685-70","1989","현대연예인","84.91","7"
"21","2021","11","4","    17,200","11530"," 구로동","104-9","2002","성호메이플라워멤버스빌","36.98","17"
"22","2021","11","5","   109,000","11530"," 구로동","1259","1998","구일우성","114.47","5"
"23","2021","11","7","    61,000","11530"," 구로동","97-2","2005","순영웰라이빌2차","65.54","17"
"24","2021","11","8","    15,000","11530"," 구로동","104-9","2002","성호메이플라워멤버스빌","31.76","14"
"25","2021","11","10","    48,000","11530"," 구로동","145-23","1988","성락","57.33","4"
"26","2021","11","10","    95,000","11530"," 구로동","501","2007","신구로자이","84.98","29"
"27","2021","11","12","    83,000","11530"," 구로동","1263","1999","신도림롯데아파트","59.68","5"
"28","2021","11","13","    65,400","11530"," 구로동","1259","1998","구일우성","59.44","4"
"29","2021","11","15","    10,000","11530"," 구로동","104-3","2014","해담채3","13.39","12"
"30","2021","11","16","    14,000","11530"," 구로동","98-12","2016","파인마루오피스텔","15.75","11"
"31","2021","11","16","    63,200","11530"," 구로동","1256","1992","구로현대","56.49","5"
"32","2021","11","16","    77,700","11530"," 구로동","685-124","1987","중앙하이츠","70.52","12"
"33","2021","11","16","    23,500","11530"," 구로동","751-3","1999","(751-3)","35.04","1"
"34","2021","11","17","    98,500","11530"," 구로동","23","1985","우성(23)","64.4","9"
"35","2021","11","17","    98,500","11530"," 구로동","23","1985","우성(23)","64.4","9"
"36","2021","11","18","    12,000","11530"," 구로동","779-13","1997","(779-13)","27.69","4"
"37","2021","11","18","    11,000","11530"," 구로동","106-2","2015","대림역포스큐","14.579","14"
"38","2021","11","19","    24,000","11530"," 구로동","770-52","1996","(770-52)","38.92","3"
"39","2021","11","19","    87,000","11530"," 구로동","1268","2001","영화참마음","84.63","6"
"40","2021","11","19","    50,000","11530"," 구로동","487-24","2020","M센트럴뷰","53.03","6"
"41","2021","11","19","    22,200","11530"," 구로동","780-31","1997","(780-31)","36.48","5"
"42","2021","11","20","    70,000","11530"," 구로동","314","1984","극동","90.98","6"
"43","2021","11","20","    70,000","11530"," 구로동","1058","1995","우성(1058)","59.34","13"
"44","2021","11","20","    24,800","11530"," 구로동","792-78","1996","(792-78)","45.69","5"
"45","2021","11","21","    13,450","11530"," 구로동","97-4","2011","하나세인스톤2차","19.33","15"
"46","2021","11","22","    65,000","11530"," 구로동","1277","2004","우리유앤미","84.71","16"
"47","2021","11","23","    97,000","11530"," 구로동","1267","2000","신도림태영타운","59.88","20"
"48","2021","11","23","    11,800","11530"," 구로동","44-8","2013","비즈트위트오렌지","15.6","4"
"49","2021","11","23","    97,000","11530"," 구로동","1267","2000","신도림태영타운","59.88","20"
"50","2021","11","23","    22,800","11530"," 구로동","749-46","1996","(749-46)","38.43","4"
"51","2021","11","23","   117,500","11530"," 구로동","1267","2000","신도림태영타운","84.87","12"
"52","2021","11","23","    70,000","11530"," 구로동","1280","2007","한신휴플러스(1280-0)","50.17","17"
"53","2021","11","23","    22,800","11530"," 구로동","749-46","1996","(749-46)","38.43","4"
"54","2021","11","24","    10,500","11530"," 구로동","104-6","2013","그린플러스구로해담채2","13.23","13"
"55","2021","11","25","    90,000","11530"," 구로동","1268","2001","영화참마음","84.63","10"
"56","2021","11","25","    78,800","11530"," 구로동","1263","1999","신도림롯데아파트","59.96","1"
"57","2021","11","26","    27,600","11530"," 구로동","781-26","1998","(781-26)","50.55","5"
"58","2021","11","27","    10,400","11530"," 구로동","98-10","2012","비즈트위트그린","15.11","15"
"59","2021","11","27","    60,900","11530"," 구로동","1265","1998","구로두산","44.64","7"
"60","2021","11","27","    20,900","11530"," 구로동","745-60","1996","(745-60)","43.42","1"
"61","2021","11","27","    10,000","11530"," 구로동","98-10","2012","비즈트위트그린","15.11","15"
"62","2021","11","30","   104,300","11530"," 구로동","256-1","2004","삼성래미안","78.665","20"
"63","2021","11","30","   112,000","11530"," 구로동","685-222","1986","주공1","83.805","6"
"64","2021","11","30","    72,700","11530"," 구로동","685-124","1987","중앙하이츠","70.52","1"
"65","2021","11","3","    68,000","11530"," 고척동","141-1","1989","서울가든","64.39","3"
"66","2021","11","5","    61,000","11530"," 고척동","52-332","1985","한효","82.48","4"
"67","2021","11","6","   103,000","11530"," 고척동","339","2009","고척파크푸르지오","59.89","2"
"68","2021","11","6","   132,000","11530"," 고척동","339","2009","고척파크푸르지오","114.99","6"
"69","2021","11","12","    75,000","11530"," 고척동","296","1999","대우","84.98","12"
"70","2021","11","12","    61,500","11530"," 고척동","330","2001","삼익(1단지)","84.96","9"
"71","2021","11","13","    78,000","11530"," 고척동","337","2005","한일유앤아이","84.98","16"
"72","2021","11","20","    44,000","11530"," 고척동","57-9","1976","산업인","47.26","2"
"73","2021","11","21","   108,000","11530"," 고척동","336","2004","삼환로즈빌","84.994","19"
"74","2021","11","3","    74,000","11530"," 개봉동","480","2001","현대홈타운","59.49","1"
"75","2021","11","4","    60,500","11530"," 개봉동","70-12","2002","동도센트리움(70-12)","83.052","13"
"76","2021","11","9","    44,000","11530"," 개봉동","493","2018","한양아이클래스구로","48.24","6"
"77","2021","11","16","    76,000","11530"," 개봉동","478","2000","한진","84.96","13"
"78","2021","11","19","    31,000","11530"," 개봉동","270-80","1988","거성","47.52","3"
"79","2021","11","25","   121,000","11530"," 개봉동","476","1999","한마을","149.97","9"
"80","2021","11","25","   110,000","11530"," 개봉동","489","2006","개봉동현대아이파크","84.98","14"
"81","2021","11","28","    74,500","11530"," 개봉동","478","2000","한진","84.96","8"
"82","2021","11","28","    46,000","11530"," 개봉동","60-101","1993","거성푸르뫼","59.89","5"
"83","2021","11","30","   101,500","11530"," 개봉동","492","2014","개봉푸르지오","71.86","23"
"84","2021","11","1","    19,300","11530"," 오류동","46-1","2005","이좋은집","36.69","14"
"85","2021","11","10","    40,000","11530"," 오류동","292-10","2004","우창굿모닝","84.94","3"
"86","2021","11","12","    21,000","11530"," 오류동","1-7","2001","오류그린","60.6","4"
"87","2021","11","17","    24,500","11530"," 오류동","9-231","2020","오류동삼전솔하임","30.894","8"
"88","2021","11","17","    20,700","11530"," 오류동","46-1","2005","이좋은집","36.69","5"
"89","2021","11","26","    40,000","11530"," 오류동","334","1995","라인","84.36","10"
"90","2021","11","18","    33,500","11530"," 궁동","190-121","2013","대명그린(아)","53.44","4"
