"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","10","6","     9,500","11545"," 가산동","140-9","2013","가산지웰에스테이트","12.13","13"
"2","2021","10","7","    62,000","11545"," 가산동","234-46","1998","삼익","84.69","5"
"3","2021","10","13","    12,000","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","13.34","11"
"4","2021","10","18","    10,400","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","14"
"5","2021","10","21","    12,200","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","11"
"6","2021","10","22","    17,800","11545"," 가산동","143-6","2018","가산지웰에스테이트2차","14.12","10"
"7","2021","10","27","    11,700","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","11"
"8","2021","10","27","    11,700","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","9"
"9","2021","10","28","    16,000","11545"," 가산동","143-6","2018","가산지웰에스테이트2차","14.12","12"
"10","2021","10","1","    62,300","11545"," 독산동","711-2","2002","금천현대","59.82","4"
"11","2021","10","1","   136,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","84.8114","30"
"12","2021","10","2","   103,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9662","12"
"13","2021","10","2","   103,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9672","7"
"14","2021","10","2","    98,000","11545"," 독산동","1150","2017","금천롯데캐슬골드파크2차201동202동","59.27","40"
"15","2021","10","2","   137,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","84.8114","12"
"16","2021","10","5","    45,500","11545"," 독산동","994-73","2004","한아102(994-73)","80.13","6"
"17","2021","10","8","    91,000","11545"," 독산동","1007-13","2019","e편한세상독산더타워","59.8245","14"
"18","2021","10","9","   104,600","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9672","39"
"19","2021","10","9","   104,500","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.968","29"
"20","2021","10","9","   136,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","84.408","43"
"21","2021","10","13","    51,300","11545"," 독산동","1088","1990","독산주공14단지","38.64","15"
"22","2021","10","15","   105,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9672","30"
"23","2021","10","16","   142,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","84.408","45"
"24","2021","10","17","    48,000","11545"," 독산동","993-36","2003","리치힐102동(993-36)","105.09","3"
"25","2021","10","18","   101,700","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9662","32"
"26","2021","10","21","   127,500","11545"," 독산동","1150","2017","금천롯데캐슬골드파크2차201동202동","84.97","28"
"27","2021","10","22","   104,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9662","8"
"28","2021","10","23","   120,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","84.8114","1"
"29","2021","10","26","    39,000","11545"," 독산동","1069","1993","호정타워","59.44","7"
"30","2021","10","29","    49,000","11545"," 독산동","184-3","2002","아셈그린힐","59.95","8"
"31","2021","10","30","   101,800","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9662","22"
"32","2021","10","30","    45,500","11545"," 독산동","1006-139","2016","리버스타운","59.93","5"
"33","2021","10","1","    39,500","11545"," 시흥동","384-12","1989","남서울건영2","41.34","1"
"34","2021","10","2","    57,900","11545"," 시흥동","1013","2004","관악산벽산타운5","59.34","3"
"35","2021","10","4","    51,000","11545"," 시흥동","1008","2000","금강","59.95","10"
"36","2021","10","6","    54,000","11545"," 시흥동","1010","2000","벽산","114.84","11"
"37","2021","10","6","   109,000","11545"," 시흥동","1026","2014","남서울힐스테이트","84.786","11"
"38","2021","10","7","     9,200","11545"," 시흥동","882-61","2012","와이즈플레이스","14.22","14"
"39","2021","10","7","    51,000","11545"," 시흥동","820-12","1998","경남아파트","59.97","7"
"40","2021","10","7","    23,000","11545"," 시흥동","989-11","1991","대도훼미리","59.01","1"
"41","2021","10","8","    61,000","11545"," 시흥동","384-12","1989","남서울건영2","61.14","7"
"42","2021","10","8","    67,800","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","9"
"43","2021","10","9","    69,500","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","20"
"44","2021","10","9","    78,000","11545"," 시흥동","1013","2004","관악산벽산타운5","114.84","9"
"45","2021","10","9","   109,000","11545"," 시흥동","1026","2014","남서울힐스테이트","84.786","11"
"46","2021","10","10","    73,800","11545"," 시흥동","1010","2000","벽산","114.84","7"
"47","2021","10","10","    68,800","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","13"
"48","2021","10","11","    80,000","11545"," 시흥동","1013","2004","관악산벽산타운5","114.84","9"
"49","2021","10","14","    63,500","11545"," 시흥동","1008","2000","금강","84.65","2"
"50","2021","10","14","    13,000","11545"," 시흥동","817-29","1975","시흥(817-29)","39.83","1"
"51","2021","10","15","    69,500","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","14"
"52","2021","10","16","    70,600","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","17"
"53","2021","10","16","    66,800","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","3"
"54","2021","10","19","    45,000","11545"," 시흥동","961-4","2018","메르시대신아파트","76.15","4"
