"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","1","    40,500","11350"," 월계동","923","1998","초안1","49.6","6"
"2","2021","6","1","    44,000","11350"," 월계동","781","1998","청백4","49.77","7"
"3","2021","6","1","    83,450","11350"," 월계동","18","2002","한진한화그랑빌","59.94","17"
"4","2021","6","1","    40,500","11350"," 월계동","923","1998","초안1","49.6","6"
"5","2021","6","2","    86,500","11350"," 월계동","13","1986","미성","50.14","9"
"6","2021","6","2","    43,000","11350"," 월계동","781","1998","청백4","49.77","5"
"7","2021","6","2","    41,000","11350"," 월계동","780","1998","청백3","49.77","2"
"8","2021","6","2","    47,000","11350"," 월계동","556","1992","주공2","44.52","9"
"9","2021","6","4","   104,000","11350"," 월계동","18","2002","한진한화그랑빌","84.97","19"
"10","2021","6","4","    96,000","11350"," 월계동","944","2005","풍림아이원","84.303","4"
"11","2021","6","4","   103,000","11350"," 월계동","949","2016","꿈의숲SKVIEW","84.96","16"
"12","2021","6","5","    49,900","11350"," 월계동","781","1998","청백4","59.4","10"
"13","2021","6","5","    46,200","11350"," 월계동","556","1992","주공2","44.52","5"
"14","2021","6","5","    60,000","11350"," 월계동","322-1","1995","성원(사슴4)","49.92","14"
"15","2021","6","7","   107,000","11350"," 월계동","947","2006","롯데캐슬루나","127.0318","1"
"16","2021","6","8","    52,000","11350"," 월계동","946","2006","우남푸르미아","59.92","8"
"17","2021","6","8","   115,000","11350"," 월계동","18","2002","한진한화그랑빌","114.97","11"
"18","2021","6","8","    52,000","11350"," 월계동","946","2006","우남푸르미아","59.92","8"
"19","2021","6","8","   103,000","11350"," 월계동","18","2002","한진한화그랑빌","84.97","24"
"20","2021","6","9","    74,900","11350"," 월계동","942","2005","월계역신도브래뉴","84.5133","8"
"21","2021","6","9","   104,000","11350"," 월계동","949","2016","꿈의숲SKVIEW","84.93","5"
"22","2021","6","11","    57,500","11350"," 월계동","320-11","1995","사슴3","49.5","7"
"23","2021","6","11","    75,000","11350"," 월계동","942","2005","월계역신도브래뉴","84.5133","10"
"24","2021","6","11","    41,000","11350"," 월계동","780","1998","청백3","49.77","1"
"25","2021","6","12","    92,000","11350"," 월계동","929","2000","현대","84.98","3"
"26","2021","6","12","   109,500","11350"," 월계동","929","2000","현대","114.99","22"
"27","2021","6","12","    72,500","11350"," 월계동","12","1987","삼호4","50.18","5"
"28","2021","6","12","    61,000","11350"," 월계동","931","2002","장은하이빌","55.7153","7"
"29","2021","6","15","    45,400","11350"," 월계동","780","1998","청백3","49.77","12"
"30","2021","6","15","    49,970","11350"," 월계동","320-11","1995","사슴3","39.6","8"
"31","2021","6","15","    29,900","11350"," 월계동","923","1998","초안1","39.6","2"
"32","2021","6","15","   104,200","11350"," 월계동","18","2002","한진한화그랑빌","84.97","25"
"33","2021","6","16","    47,000","11350"," 월계동","556","1992","주공2","44.52","1"
"34","2021","6","16","    70,000","11350"," 월계동","13","1986","미성","33.28","2"
"35","2021","6","17","    49,500","11350"," 월계동","924","1997","초안2","59.85","14"
"36","2021","6","17","   105,000","11350"," 월계동","18","2002","한진한화그랑빌","84.97","16"
"37","2021","6","18","    81,000","11350"," 월계동","775","1998","대우","134.64","10"
"38","2021","6","18","    81,000","11350"," 월계동","775","1998","대우","134.64","10"
"39","2021","6","18","    73,000","11350"," 월계동","12","1987","삼호4","50.18","12"
"40","2021","6","18","    94,000","11350"," 월계동","13","1986","삼호3","59.22","10"
"41","2021","6","19","    33,300","11350"," 월계동","781","1998","청백4","39.84","4"
"42","2021","6","19","    75,000","11350"," 월계동","929","2000","현대","59.95","16"
"43","2021","6","22","    80,700","11350"," 월계동","930","2001","우남그랜드","84.73","19"
"44","2021","6","23","    32,000","11350"," 월계동","924","1997","초안2","39.6","3"
"45","2021","6","24","    80,000","11350"," 월계동","926","1999","한일1","84.942","8"
"46","2021","6","24","    56,000","11350"," 월계동","322-1","1995","성원(사슴4)","49.92","8"
"47","2021","6","25","    39,800","11350"," 월계동","556","1992","주공2","38.64","15"
"48","2021","6","25","    50,000","11350"," 월계동","803-1","1996","극동","80.28","1"
"49","2021","6","25","    49,000","11350"," 월계동","556","1992","주공2","44.52","6"
"50","2021","6","25","    40,500","11350"," 월계동","780","1998","청백3","49.77","15"
"51","2021","6","25","    92,800","11350"," 월계동","926","1999","한일1","114.96","7"
"52","2021","6","26","    73,400","11350"," 월계동","929","2000","현대","59.95","16"
"53","2021","6","26","    93,500","11350"," 월계동","13","1986","삼호3","59.22","2"
"54","2021","6","28","    65,000","11350"," 월계동","939","2004","월계흥화브라운빌","84.91","2"
"55","2021","6","28","    70,000","11350"," 월계동","13","1986","미성","33.28","3"
"56","2021","6","28","    43,900","11350"," 월계동","924","1997","초안2","49.6","10"
"57","2021","6","30","    58,000","11350"," 월계동","322-1","1995","성원(사슴4)","49.92","8"
"58","2021","6","30","    31,500","11350"," 월계동","924","1997","초안2","39.6","4"
"59","2021","6","30","    42,200","11350"," 월계동","320-11","1995","사슴3","33.18","5"
"60","2021","6","1","    47,800","11350"," 공릉동","757","2006","우국리더스빌","49.6","7"
"61","2021","6","1","    98,800","11350"," 공릉동","106","2000","공릉해링턴플레이스","99.917","12"
"62","2021","6","2","    55,500","11350"," 공릉동","707","1994","시영2단지(라이프)아파트","49.5","4"
"63","2021","6","3","    55,000","11350"," 공릉동","757","2006","우국리더스빌","65.6","6"
"64","2021","6","3","    41,500","11350"," 공릉동","715","1994","시영3차(라이프)아파트","39.6","2"
"65","2021","6","3","    86,000","11350"," 공릉동","737","1995","삼익아파트","114.88","10"
"66","2021","6","4","    72,000","11350"," 공릉동","741","2000","현대성우아파트","84.96","1"
"67","2021","6","4","    68,000","11350"," 공릉동","81","1999","태강아파트","59.34","9"
"68","2021","6","5","    70,800","11350"," 공릉동","737","1995","삼익아파트","84.6","3"
"69","2021","6","5","    56,500","11350"," 공릉동","81","1999","태강아파트","49.6","12"
"70","2021","6","5","    67,800","11350"," 공릉동","81","1999","태강아파트","59.38","14"
"71","2021","6","5","    88,000","11350"," 공릉동","90","2000","청솔아파트9","84.99","8"
"72","2021","6","5","    48,000","11350"," 공릉동","737","1995","삼익아파트","51.03","2"
"73","2021","6","5","    48,000","11350"," 공릉동","737","1995","삼익아파트","51.03","4"
"74","2021","6","6","    77,800","11350"," 공릉동","749","2002","공릉2신도브래뉴아파트","84.75","4"
"75","2021","6","7","    59,700","11350"," 공릉동","604-11","1999","대동아파트","59.83","7"
"76","2021","6","8","    61,000","11350"," 공릉동","604-11","1999","대동아파트","84.97","2"
"77","2021","6","9","   102,000","11350"," 공릉동","106","2000","공릉해링턴플레이스","99.917","6"
"78","2021","6","9","    61,000","11350"," 공릉동","740","1997","대아아파트1차","78.68","13"
"79","2021","6","9","    56,000","11350"," 공릉동","81","1999","태강아파트","49.6","9"
"80","2021","6","10","    51,700","11350"," 공릉동","109","1999","비선아파트","48.6","4"
"81","2021","6","10","    81,000","11350"," 공릉동","108","2000","우방아파트","84.881","6"
"82","2021","6","11","    56,000","11350"," 공릉동","714","1994","삼익4단지아파트","49.5","8"
"83","2021","6","11","    72,500","11350"," 공릉동","741","2000","현대성우아파트","84.96","5"
"84","2021","6","12","    90,000","11350"," 공릉동","745","1999","동신아파트","114.98","14"
"85","2021","6","12","    55,300","11350"," 공릉동","81","1999","태강아파트","49.6","6"
"86","2021","6","12","    55,500","11350"," 공릉동","81","1999","태강아파트","49.6","6"
"87","2021","6","12","    62,900","11350"," 공릉동","81","1999","태강아파트","59.34","2"
"88","2021","6","12","    95,000","11350"," 공릉동","745","1999","동신아파트","114.98","14"
"89","2021","6","12","    75,000","11350"," 공릉동","705","1996","동부아파트","84.79","13"
"90","2021","6","12","    58,000","11350"," 공릉동","707","1994","시영2단지(라이프)아파트","49.5","4"
