"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","3","    65,000","11320"," 쌍문동","56","1988","삼익세라믹","79.98","13"
"2","2021","3","6","    79,500","11320"," 쌍문동","20-4","1999","쌍문동LG트윈빌2","240.97","10"
"3","2021","3","6","    63,500","11320"," 쌍문동","195","1996","청구","84.63","5"
"4","2021","3","6","    51,500","11320"," 쌍문동","719","1995","현대3","84.93","6"
"5","2021","3","6","    39,000","11320"," 쌍문동","59","1988","한양2","48.96","15"
"6","2021","3","6","    55,000","11320"," 쌍문동","59","1988","한양2","76.92","6"
"7","2021","3","6","    59,900","11320"," 쌍문동","199-1","1990","금호1","70.13","10"
"8","2021","3","6","    46,700","11320"," 쌍문동","199-1","1990","금호1","56.73","5"
"9","2021","3","8","    37,000","11320"," 쌍문동","100-2","2004","성원팰리스","82.7","6"
"10","2021","3","8","    62,000","11320"," 쌍문동","59","1988","한양2","84.9","13"
"11","2021","3","9","    56,300","11320"," 쌍문동","53","1989","성원","71.78","14"
"12","2021","3","10","    36,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","11"
"13","2021","3","10","    47,800","11320"," 쌍문동","285-5","1987","동익미라벨","84.59","14"
"14","2021","3","10","    28,000","11320"," 쌍문동","357-6","2002","금강","74.32","6"
"15","2021","3","10","    57,500","11320"," 쌍문동","59","1988","한양2","76.92","13"
"16","2021","3","11","    29,000","11320"," 쌍문동","199-1","1990","금호1","36.36","2"
"17","2021","3","11","    72,000","11320"," 쌍문동","731","2007","e편한세상","84.978","7"
"18","2021","3","11","    55,700","11320"," 쌍문동","59","1988","한양2","76.92","13"
"19","2021","3","11","    34,500","11320"," 쌍문동","285-5","1987","동익미라벨","65.42","1"
"20","2021","3","11","    42,700","11320"," 쌍문동","59","1988","한양2","48.96","4"
"21","2021","3","12","    46,000","11320"," 쌍문동","160","1995","미라보","59.96","13"
"22","2021","3","15","    62,000","11320"," 쌍문동","725","2002","쌍문동삼성래미안","59.9899","3"
"23","2021","3","15","    56,200","11320"," 쌍문동","53","1989","성원","71.78","11"
"24","2021","3","16","    49,500","11320"," 쌍문동","56","1988","삼익세라믹","58.77","14"
"25","2021","3","16","    42,000","11320"," 쌍문동","59","1988","한양2","59.67","10"
"26","2021","3","18","    36,800","11320"," 쌍문동","56","1988","삼익세라믹","42.93","10"
"27","2021","3","18","    49,800","11320"," 쌍문동","56","1988","삼익세라믹","58.77","12"
"28","2021","3","20","    61,200","11320"," 쌍문동","388-33","1986","한양1","66.33","5"
"29","2021","3","20","    37,000","11320"," 쌍문동","285-5","1987","동익미라벨","65.42","14"
"30","2021","3","22","    57,500","11320"," 쌍문동","53","1989","성원","84.98","1"
"31","2021","3","22","    29,000","11320"," 쌍문동","59","1989","한양2","35.1","1"
"32","2021","3","23","    32,400","11320"," 쌍문동","59","1989","한양2","35.1","8"
"33","2021","3","25","    47,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","11"
"34","2021","3","25","    78,000","11320"," 쌍문동","730","2004","대우파크힐(쌍문동이안)","84.955","6"
"35","2021","3","29","    48,800","11320"," 쌍문동","285-5","1987","동익미라벨","84.53","15"
"36","2021","3","29","    64,500","11320"," 쌍문동","725","2002","쌍문동삼성래미안","59.9899","10"
"37","2021","3","31","    48,900","11320"," 쌍문동","285-5","1987","동익미라벨","84.53","4"
"38","2021","3","1","    34,200","11320"," 방학동","669-7","2004","청화아파트","83.73","4"
"39","2021","3","2","    43,000","11320"," 방학동","271-1","1988","신동아아파트1","53.16","14"
"40","2021","3","2","    47,400","11320"," 방학동","271-1","1988","신동아아파트1","62.22","12"
"41","2021","3","2","    45,750","11320"," 방학동","271-1","1990","신동아아파트1","62.22","3"
"42","2021","3","2","    48,000","11320"," 방학동","271-1","1987","신동아아파트1","70.62","1"
"43","2021","3","2","    54,000","11320"," 방학동","530","1992","신동아아파트3","84.86","5"
"44","2021","3","2","    40,000","11320"," 방학동","274","1988","삼익세라믹아파트","58.77","1"
"45","2021","3","2","    57,500","11320"," 방학동","531","1992","신동아아파트2","84.82","9"
"46","2021","3","2","    58,800","11320"," 방학동","740","2004","동양크레오아파트","84.9696","3"
"47","2021","3","3","    30,800","11320"," 방학동","636","2016","송학휴스테이","51.001","6"
"48","2021","3","3","    82,000","11320"," 방학동","718-7","2003","이에스에이아파트1","124.66","3"
"49","2021","3","4","    55,000","11320"," 방학동","496","1998","벽산아파트2","84.98","2"
"50","2021","3","5","    50,000","11320"," 방학동","271-1","1986","신동아아파트1","70.62","7"
"51","2021","3","6","    55,000","11320"," 방학동","530","1992","신동아아파트3","84.86","6"
"52","2021","3","6","    52,500","11320"," 방학동","732","1995","신동아아파트4","84.9","3"
"53","2021","3","8","    93,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","84.937","13"
"54","2021","3","8","    93,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","84.937","13"
"55","2021","3","8","    90,500","11320"," 방학동","720-1","2001","대상타운현대아파트","84.78","16"
"56","2021","3","8","    81,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","84.937","1"
"57","2021","3","9","    52,500","11320"," 방학동","271-1","1986","신동아아파트1","70.62","6"
"58","2021","3","10","    48,700","11320"," 방학동","271-1","1988","신동아아파트1","62.22","13"
"59","2021","3","10","   105,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","118.381","13"
