"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","2","    25,000","11230"," 용두동","100-5","2020","동대문베네스트","18.36","19"
"2","2021","12","7","    40,000","11230"," 용두동","104-3","2016","동대문푸르지오시티(도시형생활주택)","30.11","5"
"3","2021","12","10","    19,000","11230"," 용두동","104-3","2016","동대문푸르지오시티(도시형생활주택)","19.51","17"
"4","2021","12","21","    86,300","11230"," 용두동","779","1994","신동아","71.01","11"
"5","2021","12","31","    18,100","11230"," 용두동","255-49","2019","청계한양아이클래스","14.22","18"
"6","2021","12","13","    17,000","11230"," 제기동","1213","2014","어진재","15.61","4"
"7","2021","12","13","   108,500","11230"," 전농동","687","2005","전농동신성미소지움","55.371","17"
"8","2021","12","29","   100,000","11230"," 전농동","10","2000","전농SK","84.95","12"
"9","2021","12","30","   159,000","11230"," 전농동","695","2018","동대문롯데캐슬노블레스","84.98","23"
"10","2021","12","30","   159,000","11230"," 전농동","695","2018","동대문롯데캐슬노블레스","84.98","23"
"11","2021","12","4","   120,000","11230"," 답십리동","1014","2019","답십리파크자이","59.91","14"
"12","2021","12","4","    13,300","11230"," 답십리동","498-7","2012","청계지웰","18.585","11"
"13","2021","12","6","   117,000","11230"," 답십리동","1014","2019","답십리파크자이","59.91","7"
"14","2021","12","7","    98,500","11230"," 답십리동","1000","2011","래미안엘파인아파트","84.94","9"
"15","2021","12","9","    12,000","11230"," 답십리동","530-15","2016","현대썬앤빌청계","14.72","8"
"16","2021","12","11","    13,000","11230"," 답십리동","498-7","2012","청계지웰","19.525","9"
"17","2021","12","13","    50,000","11230"," 답십리동","42","1992","동답한신","35.45","11"
"18","2021","12","14","    14,700","11230"," 답십리동","497-23","2015","청계푸르지오시티","18.92","20"
"19","2021","12","20","    15,000","11230"," 답십리동","530-15","2016","현대썬앤빌청계","18.27","13"
"20","2021","12","23","    13,200","11230"," 답십리동","530-15","2016","현대썬앤빌청계","14.82","13"
"21","2021","12","28","    10,500","11230"," 답십리동","488-18","2013","센시티16","14.244","14"
"22","2021","12","2","    63,800","11230"," 장안동","440-5","2009","흥해오크팰리스(440-5)","76.68","7"
"23","2021","12","8","    88,000","11230"," 장안동","95-1","1984","장안현대","95.4","9"
"24","2021","12","8","    68,200","11230"," 장안동","309-7","2021","브이티스타일","40.43","8"
"25","2021","12","11","    49,000","11230"," 장안동","319-3","2004","신부파스카(319-3)","63.64","7"
"26","2021","12","15","    85,000","11230"," 장안동","371-1","2002","장안삼성쉐르빌","127.75","14"
"27","2021","12","21","   105,000","11230"," 장안동","354-2","2003","래미안장안","84.774","7"
"28","2021","12","21","    81,000","11230"," 장안동","354-2","2003","래미안장안","84.774","5"
"29","2021","12","22","    12,500","11230"," 장안동","466-5","2013","장안푸르미에","12.6512","3"
"30","2021","12","27","   116,500","11230"," 장안동","336","2003","장안현대홈타운(336)","112.78","23"
"31","2021","12","30","    98,600","11230"," 장안동","329-3","2007","래미안장안2차","81.05","2"
"32","2021","12","30","    12,500","11230"," 장안동","466-5","2013","장안푸르미에","12.6512","8"
"33","2021","12","31","   104,000","11230"," 장안동","336","2003","장안현대홈타운(336)","84.87","3"
"34","2021","12","6","   153,000","11230"," 청량리동","235-1","1978","미주","137.46","9"
"35","2021","12","16","    24,000","11230"," 회기동","346-18","2013","베라체캠퍼스","24.011","10"
"36","2021","12","20","    24,800","11230"," 회기동","346-18","2013","베라체캠퍼스","24.011","4"
"37","2021","12","30","    22,300","11230"," 회기동","346-18","2013","베라체캠퍼스","24.319","4"
"38","2021","12","3","    20,800","11230"," 휘경동","336-32","2020","캠퍼스드림오피스텔","16.04","14"
"39","2021","12","12","    68,500","11230"," 휘경동","78","2000","롯데","59.94","2"
"40","2021","12","13","    21,600","11230"," 휘경동","336-32","2020","캠퍼스드림오피스텔","16.04","9"
"41","2021","12","4","   114,000","11230"," 이문동","425","2001","이문삼성래미안아파트","114.988","11"
"42","2021","12","8","    82,000","11230"," 이문동","225","2003","대림e-편한세상","59.958","17"
"43","2021","12","11","    75,000","11230"," 이문동","73","1997","삼익","59.95","10"
