"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","1","   118,000","11590"," 노량진동","325","2001","신동아리버파크","84.88","7"
"2","2021","6","1","   133,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","22"
"3","2021","6","4","   127,000","11590"," 노량진동","323","1997","우성","124.77","16"
"4","2021","6","7","   120,600","11590"," 노량진동","325","2001","신동아리버파크","114.75","2"
"5","2021","6","9","    95,500","11590"," 노량진동","323","1997","우성","59.82","14"
"6","2021","6","9","   119,500","11590"," 노량진동","323","1997","우성","84.96","17"
"7","2021","6","10","    95,000","11590"," 노량진동","325","2001","신동아리버파크","84.88","11"
"8","2021","6","17","    95,000","11590"," 노량진동","325","2001","신동아리버파크","59.67","24"
"9","2021","6","21","   119,200","11590"," 노량진동","325","2001","신동아리버파크","114.75","1"
"10","2021","6","25","    85,000","11590"," 노량진동","330","2001","삼익","84.68","12"
"11","2021","6","28","   113,500","11590"," 노량진동","323","1997","우성","124.77","1"
"12","2021","6","30","    17,000","11590"," 노량진동","57-1","2015","메가스터디타워","16.01","18"
"13","2021","6","3","   148,900","11590"," 상도동","900","2016","상도파크자이","72.678","25"
"14","2021","6","4","   120,000","11590"," 상도동","414","1997","건영","114.96","13"
"15","2021","6","5","    61,900","11590"," 상도동","414","1997","건영","32.8","8"
"16","2021","6","5","    33,000","11590"," 상도동","283-68","2009","파크뷰","79.44","4"
"17","2021","6","5","   128,500","11590"," 상도동","527","2007","이수브라운스톤상도(527-0)","84.99","6"
"18","2021","6","5","   102,000","11590"," 상도동","450","2004","상도동래미안1차","59.828","2"
"19","2021","6","6","   112,000","11590"," 상도동","416","2004","아이파크","84.96","6"
"20","2021","6","6","   112,000","11590"," 상도동","415","2003","중앙하이츠빌","84.9794","3"
"21","2021","6","9","   115,000","11590"," 상도동","521","2007","포스코더샵","59.99","10"
"22","2021","6","9","   136,000","11590"," 상도동","903","2018","e편한세상상도노빌리티","59.7827","19"
"23","2021","6","9","   137,800","11590"," 상도동","903","2018","e편한세상상도노빌리티","59.7827","17"
"24","2021","6","9","    43,000","11590"," 상도동","256-28","2017","다온아파트","48.88","7"
"25","2021","6","9","    38,700","11590"," 상도동","283-68","2009","파크뷰","79.44","4"
"26","2021","6","10","   120,000","11590"," 상도동","418","2003","쌍용스윗닷홈","112.756","6"
"27","2021","6","12","    69,000","11590"," 상도동","445","2002","경향렉스빌","61.5494","5"
"28","2021","6","12","   116,000","11590"," 상도동","416","2004","아이파크","84.96","6"
"29","2021","6","12","    33,300","11590"," 상도동","283-75","2005","상도타워A","78.26","6"
"30","2021","6","12","    33,300","11590"," 상도동","283-75","2005","상도타워A","78.26","6"
"31","2021","6","12","   132,700","11590"," 상도동","527","2007","이수브라운스톤상도(527-0)","84.99","3"
"32","2021","6","13","   133,000","11590"," 상도동","431","2004","래미안상도3차","84.96","15"
"33","2021","6","14","   146,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.7835","10"
"34","2021","6","14","   126,000","11590"," 상도동","528","2008","동원베네스트","84.958","11"
"35","2021","6","14","    81,000","11590"," 상도동","126-32","2007","현산푸른숲","140.72","1"
"36","2021","6","15","   149,000","11590"," 상도동","535","2016","두산위브트레지움2차","84.9736","4"
"37","2021","6","16","   122,500","11590"," 상도동","450","2004","상도동래미안1차","84.959","7"
"38","2021","6","16","   113,000","11590"," 상도동","421","2003","삼성래미안2","84.796","2"
"39","2021","6","16","   169,000","11590"," 상도동","900","2016","상도파크자이","84.918","11"
"40","2021","6","16","   149,000","11590"," 상도동","533","2013","힐스테이트 상도 프레스티지","84.884","8"
"41","2021","6","16","   129,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","59.7754","10"
"42","2021","6","17","   189,200","11590"," 상도동","903","2018","e편한세상상도노빌리티","108.9843","27"
"43","2021","6","17","   160,500","11590"," 상도동","431","2004","래미안상도3차","114.97","15"
"44","2021","6","19","   157,000","11590"," 상도동","903","2018","e편한세상상도노빌리티","84.8746","21"
"45","2021","6","19","   145,000","11590"," 상도동","521","2007","포스코더샵","84.995","7"
"46","2021","6","19","   157,000","11590"," 상도동","903","2018","e편한세상상도노빌리티","84.8746","21"
"47","2021","6","19","   147,800","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.7835","10"
"48","2021","6","19","   117,500","11590"," 상도동","416","2004","아이파크","84.96","9"
"49","2021","6","21","    65,500","11590"," 상도동","413","1997","삼익","59.93","12"
"50","2021","6","23","   102,000","11590"," 상도동","407","1992","현대(관악)","84.78","10"
"51","2021","6","23","   153,500","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","14"
"52","2021","6","24","    53,000","11590"," 상도동","77-21","2000","정호힐사이드","83.51","3"
"53","2021","6","25","   170,000","11590"," 상도동","900","2016","상도파크자이","84.888","18"
"54","2021","6","26","   123,000","11590"," 상도동","528","2008","동원베네스트","84.97","2"
"55","2021","6","26","    80,000","11590"," 상도동","412","2003","상도현대","59.72","11"
"56","2021","6","26","   121,900","11590"," 상도동","521","2007","포스코더샵","59.96","6"
