"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","5","   180,000","11440"," 아현동","777","2014","마포래미안푸르지오1단지","84.5978","11"
"2","2021","6","5","   228,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","114.2802","2"
"3","2021","6","9","   184,000","11440"," 아현동","777","2014","마포래미안푸르지오2단지","84.8919","10"
"4","2021","6","12","    80,000","11440"," 아현동","692","1998","서서울삼성","48.92","6"
"5","2021","6","16","   180,000","11440"," 아현동","777","2014","마포래미안푸르지오1단지","84.8919","5"
"6","2021","6","4","   123,500","11440"," 공덕동","43","2004","공덕2삼성래미안","59.97","20"
"7","2021","6","5","   109,000","11440"," 공덕동","371","1999","공덕1삼성래미안","59.74","1"
"8","2021","6","7","   125,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","20"
"9","2021","6","10","   130,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","7"
"10","2021","6","10","   140,000","11440"," 공덕동","469","2011","래미안공덕5차","59.97","16"
"11","2021","6","12","   118,000","11440"," 공덕동","371","1999","공덕1삼성래미안","59.74","9"
"12","2021","6","16","   117,500","11440"," 공덕동","371","1999","공덕1삼성래미안","59.74","14"
"13","2021","6","16","   154,000","11440"," 공덕동","371","1999","공덕1삼성래미안","84.94","25"
"14","2021","6","16","   137,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","15"
"15","2021","6","22","   154,500","11440"," 공덕동","371","1999","공덕1삼성래미안","84.94","6"
"16","2021","6","26","   141,500","11440"," 공덕동","469","2011","래미안공덕5차","59.959","2"
"17","2021","6","12","   106,000","11440"," 신공덕동","159","2000","신공덕래미안2차","59.48","6"
"18","2021","6","12","    92,000","11440"," 신공덕동","167","2005","대우메트로디오빌","69.94","30"
"19","2021","6","12","   122,000","11440"," 신공덕동","161","2003","신공덕래미안3차","59.96","11"
"20","2021","6","14","   144,000","11440"," 신공덕동","159","2000","신공덕래미안2차","114.5","3"
"21","2021","6","14","    41,800","11440"," 신공덕동","13-15","2019","블레스하임","23.89","9"
"22","2021","6","18","   122,900","11440"," 신공덕동","161","2003","신공덕래미안3차","59.96","15"
"23","2021","6","18","   119,000","11440"," 신공덕동","168","2007","신공덕e편한세상","59.62","9"
"24","2021","6","19","   120,000","11440"," 신공덕동","155","2000","신공덕1차삼성래미안1아파트","59.76","3"
"25","2021","6","24","   180,000","11440"," 신공덕동","173","2011","대우월드마크마포","136.18","18"
"26","2021","6","26","   140,000","11440"," 신공덕동","172","2011","펜트라우스","84.6","17"
"27","2021","6","1","   138,500","11440"," 도화동","550","1997","삼성","72.185","15"
"28","2021","6","2","   153,000","11440"," 도화동","550","1997","삼성","84.985","16"
"29","2021","6","2","   132,000","11440"," 도화동","353","2000","현대홈타운","84.95","9"
"30","2021","6","3","   135,000","11440"," 도화동","82","1991","우성","79.97","3"
"31","2021","6","4","   132,000","11440"," 도화동","357","1996","도화동현대","79.83","4"
"32","2021","6","5","   120,000","11440"," 도화동","82","1991","우성","68.94","7"
