"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","6","   100,000","11410"," 충정로3가","466","2008","우리유앤미","84.73","11"
"2","2021","11","26","    46,500","11410"," 충정로3가","189-8","1969","미동","55.57","3"
"3","2021","11","20","   102,000","11410"," 냉천동","260","2002","동부센트레빌","84.93","3"
"4","2021","11","5","   121,500","11410"," 영천동","100","1995","독립문삼호","84.78","6"
"5","2021","11","5","   109,000","11410"," 현저동","200","1998","독립문극동(200-0)","59.58","8"
"6","2021","11","2","    96,700","11410"," 북아현동","1009","1999","두산","59.96","11"
"7","2021","11","9","    85,000","11410"," 북아현동","1-97","2005","성우아파트","84.85","1"
"8","2021","11","10","   148,850","11410"," 북아현동","1010","2008","경남102동","82.21","2"
"9","2021","11","1","    83,000","11410"," 홍제동","455","1996","현대그린","84.96","8"
"10","2021","11","3","    60,000","11410"," 홍제동","373","1998","태영으뜸(데시앙)","59.49","11"
"11","2021","11","6","   115,000","11410"," 홍제동","473","2020","홍제센트럴아이파크","59.9837","8"
"12","2021","11","6","    59,900","11410"," 홍제동","454","1996","유원하나","58.77","11"
"13","2021","11","8","   129,000","11410"," 홍제동","459","2000","홍제원현대(459-0)","114.72","11"
"14","2021","11","10","    82,500","11410"," 홍제동","455","1996","현대그린","84.96","5"
"15","2021","11","13","    87,000","11410"," 홍제동","465","2003","인왕산벽산","84.86","14"
"16","2021","11","23","    80,500","11410"," 홍제동","82","1993","홍제한양","60.06","8"
"17","2021","11","23","    60,000","11410"," 홍제동","468","2006","홍제비콘드림힐","64.274","7"
"18","2021","11","25","    94,000","11410"," 홍제동","457","1999","남양","114.99","20"
"19","2021","11","25","    75,000","11410"," 홍제동","104-1","1968","인왕","58.21","5"
"20","2021","11","30","    85,500","11410"," 홍제동","460","2000","인왕산현대","59.93","9"
"21","2021","11","20","    28,000","11410"," 대현동","104-36","2014","신촌자이엘라","24.7","16"
"22","2021","11","22","    30,800","11410"," 대현동","145","2007","예스에이피엠","29.96","11"
"23","2021","11","22","    88,500","11410"," 대현동","101-7","1996","혜우","129.9","16"
"24","2021","11","22","    26,500","11410"," 대현동","104-36","2014","신촌자이엘라","22.13","18"
"25","2021","11","27","    35,000","11410"," 대현동","145","2007","예스에이피엠","38.72","12"
"26","2021","11","6","    90,000","11410"," 연희동","740","2001","성원","84.95","7"
"27","2021","11","6","   140,000","11410"," 연희동","747","2018","연희파크푸르지오","112.8619","7"
"28","2021","11","13","   105,000","11410"," 연희동","747","2018","연희파크푸르지오","59.9835","7"
"29","2021","11","27","    52,000","11410"," 연희동","703-25","2004","선명(102동)","66.36","2"
"30","2021","11","4","    71,000","11410"," 홍은동","456","1997","두산","84.84","15"
"31","2021","11","4","    55,500","11410"," 홍은동","186-1","1985","홍은미성","65.43","12"
"32","2021","11","18","    57,500","11410"," 홍은동","437-2","2011","G패밀리움","66.63","5"
"33","2021","11","19","    26,000","11410"," 홍은동","277-148","2006","교수(B)","94.86","-1"
"34","2021","11","25","    98,300","11410"," 홍은동","464","2017","북한산더샵","59.865","2"
"35","2021","11","26","    57,500","11410"," 홍은동","186-1","1985","홍은미성","65.43","10"
"36","2021","11","26","    97,500","11410"," 북가좌동","449","1996","북가좌삼호","84.57","9"
"37","2021","11","3","   139,500","11410"," 남가좌동","382","2015","DMC파크뷰자이4단지","84.968","13"
"38","2021","11","5","   120,000","11410"," 남가좌동","376","1999","남가좌동현대","114.9","8"
"39","2021","11","6","   125,000","11410"," 남가좌동","381","2009","DMC센트레빌","114.87","14"
"40","2021","11","8","   172,500","11410"," 남가좌동","385","2015","DMC파크뷰자이1단지","121.614","11"
"41","2021","11","13","    85,000","11410"," 남가좌동","376","1999","남가좌동현대","59.4","13"
"42","2021","11","19","   148,000","11410"," 남가좌동","384","2015","DMC파크뷰자이2단지","84.968","14"
"43","2021","11","22","   115,000","11410"," 남가좌동","385","2015","DMC파크뷰자이1단지","59.977","3"
"44","2021","11","24","    85,000","11410"," 남가좌동","376","1999","남가좌동현대","59.4","7"
"45","2021","11","25","   170,000","11410"," 남가좌동","385","2015","DMC파크뷰자이1단지","120.492","28"
"46","2021","11","27","   140,500","11410"," 남가좌동","385","2015","DMC파크뷰자이1단지","84.971","11"
"47","2021","11","30","   121,000","11410"," 남가좌동","384","2015","DMC파크뷰자이2단지","59.981","17"
