"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","2","    94,500","11650"," 방배동","477-7","2004","파라다이스(477-7)","81.43","7"
"2","2021","1","2","    75,500","11650"," 방배동","866-10","2019","방배마에스트로","34.59","6"
"3","2021","1","4","   175,000","11650"," 방배동","1015","1985","임광","84.78","2"
"4","2021","1","4","   165,000","11650"," 방배동","3001-2","2006","방배디오슈페리움Ⅰ","125.79","17"
"5","2021","1","4","   210,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.9321","10"
"6","2021","1","4","   210,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.9321","10"
"7","2021","1","4","   143,000","11650"," 방배동","1010-1","1988","방배임광","82.34","2"
"8","2021","1","5","   134,500","11650"," 방배동","802-10","2009","방배렉슬","113.36","4"
"9","2021","1","6","   160,500","11650"," 방배동","1344","1999","방배1차현대홈타운","59.94","11"
"10","2021","1","6","    43,000","11650"," 방배동","932-34","2012","훼미리타운","39.79","2"
"11","2021","1","8","   174,000","11650"," 방배동","906-13","2010","서리풀e편한세상","59.97","3"
"12","2021","1","9","   310,000","11650"," 방배동","1-11","2007","다이너스티힐","256","6"
"13","2021","1","9","   194,000","11650"," 방배동","485-3","2005","방배래미안타워","134.36","21"
"14","2021","1","10","   135,000","11650"," 방배동","562-1","1992","방배대우(562-1)","84.55","7"
"15","2021","1","11","   217,000","11650"," 방배동","906-13","2010","서리풀e편한세상","84.97","1"
"16","2021","1","12","   205,000","11650"," 방배동","772-13","2002","현대멤피스","158.82","20"
"17","2021","1","13","   274,000","11650"," 방배동","906-13","2010","서리풀e편한세상","121.48","3"
"18","2021","1","14","   175,000","11650"," 방배동","770-1","1975","삼호1동~3동","116.13","3"
"19","2021","1","14","   124,000","11650"," 방배동","1030-1","1998","삼호한숲","59.98","4"
"20","2021","1","15","   170,000","11650"," 방배동","930-1","2006","방배브라운가","124.67","6"
"21","2021","1","15","   214,000","11650"," 방배동","482-4","2001","청광아트빌(14차)","244.84","9"
"22","2021","1","15","   165,000","11650"," 방배동","593-24","2002","방배2차상지리츠빌","163.48","1"
"23","2021","1","16","   158,000","11650"," 방배동","761-5","1999","청광(761-5)","172.39","7"
"24","2021","1","16","   103,500","11650"," 방배동","923-6","2007","방배아크로타워","84.83","3"
"25","2021","1","17","   202,500","11650"," 방배동","757-3","1976","삼호3","181.6","9"
"26","2021","1","19","   200,000","11650"," 방배동","1026-14","2003","방배신동아럭스빌","164.43","9"
"27","2021","1","20","   200,000","11650"," 방배동","485-3","2005","방배래미안타워","134.96","14"
"28","2021","1","20","   179,000","11650"," 방배동","1018-1","1982","삼익","89.12","11"
"29","2021","1","20","   148,000","11650"," 방배동","825-12","2002","현대오페라하우스","105.74","5"
"30","2021","1","21","   213,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.9321","2"
"31","2021","1","23","   210,000","11650"," 방배동","775-1","1977","래미안방배에버뉴","181.481","9"
"32","2021","1","23","   160,000","11650"," 방배동","791-10","1994","동광빌라트","159.27","4"
"33","2021","1","23","   173,000","11650"," 방배동","3276","2005","한진로즈힐","97.342","13"
"34","2021","1","23","   265,000","11650"," 방배동","988-1","1982","신동아","167.01","5"
"35","2021","1","23","   183,000","11650"," 방배동","1344","1999","방배1차현대홈타운","84.96","5"
"36","2021","1","24","   140,000","11650"," 방배동","985-15","2003","엘르빌","136.31","6"
"37","2021","1","26","   168,500","11650"," 방배동","473-1","1996","두원","84.87","4"
"38","2021","1","27","   183,000","11650"," 방배동","758-4","1976","삼호2","131.41","12"
"39","2021","1","27","   140,000","11650"," 방배동","562-1","1992","방배대우(562-1)","84.67","8"
"40","2021","1","27","   130,000","11650"," 방배동","484-5","2005","방배아트e-편한세상102","74.87","1"
"41","2021","1","27","   252,000","11650"," 방배동","797-30","2006","방배3차e-편한세상","198.5315","1"
"42","2021","1","28","   202,000","11650"," 방배동","1008-2","2004","래미안방배아트힐(1008-2)","127.61","2"
"43","2021","1","29","   105,000","11650"," 방배동","846-1","2004","프리우스","75.32","1"
"44","2021","1","29","   173,000","11650"," 방배동","981-40","2005","브라운스톤효령","141.647","2"
"45","2021","1","29","   249,000","11650"," 방배동","843-1","2001","파인빌리지","244.85","1"
"46","2021","1","30","   195,000","11650"," 방배동","725","1983","방배신삼호","105.04","2"
"47","2021","1","31","   235,000","11650"," 방배동","758-4","1976","삼호2","177.52","9"
"48","2021","1","9","    84,000","11650"," 양재동","389-2","2002","파크뷰","78.84","7"
"49","2021","1","9","    49,700","11650"," 양재동","7-45","2002","대흥","56.65","1"
"50","2021","1","17","   143,000","11650"," 양재동","154-2","1991","우성","84.58","1"
"51","2021","1","20","   145,000","11650"," 양재동","154-2","1991","우성","73.15","9"
"52","2021","1","22","    59,000","11650"," 양재동","7-45","2002","대흥","56.65","3"
"53","2021","1","30","   170,000","11650"," 양재동","154-2","1991","우성","84.58","7"
"54","2021","1","30","    51,300","11650"," 양재동","90","2002","신영체르니","39.1","5"
"55","2021","1","1","   120,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","25"
"56","2021","1","2","   153,000","11650"," 우면동","773","2012","서초힐스","84.98","10"
"57","2021","1","4","    63,800","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","1"
"58","2021","1","6","    70,700","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","23"
"59","2021","1","6","    70,700","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","9"
"60","2021","1","6","   170,000","11650"," 우면동","753","2013","서초호반써밋","101.0515","9"
"61","2021","1","6","   185,000","11650"," 우면동","753","2013","서초호반써밋","118.1321","4"
"62","2021","1","8","    57,600","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","13"
"63","2021","1","8","    68,900","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","4"
"64","2021","1","9","   170,000","11650"," 우면동","753","2013","서초호반써밋","101.0515","9"
"65","2021","1","9","   119,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","9"
"66","2021","1","12","   149,250","11650"," 우면동","773","2012","서초힐스","84.95","6"
"67","2021","1","12","   154,500","11650"," 우면동","773","2012","서초힐스","84.96","25"
"68","2021","1","13","   117,500","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","23"
"69","2021","1","13","   115,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","4"
"70","2021","1","15","    58,350","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","16"
