"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","2","   163,000","11200"," 상왕십리동","811","2014","텐즈힐(2구역)","84.9","22"
"2","2021","2","3","   149,000","11200"," 상왕십리동","811","2014","텐즈힐(2구역)","84.92","18"
"3","2021","2","17","   160,000","11200"," 상왕십리동","811","2014","텐즈힐(2구역)","84.92","16"
"4","2021","2","3","    99,000","11200"," 하왕십리동","1061","2004","왕십리풍림아이원","59.936","4"
"5","2021","2","3","   115,000","11200"," 하왕십리동","1002","2016","왕십리KCC스위첸","73.765","18"
"6","2021","2","6","    85,000","11200"," 하왕십리동","1052","2001","금호베스트빌","59.79","4"
"7","2021","2","6","   119,700","11200"," 하왕십리동","1071","2017","왕십리자이","59.99","4"
"8","2021","2","6","    85,000","11200"," 하왕십리동","1052","2001","금호베스트빌","59.79","4"
"9","2021","2","10","   183,000","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","129.34","10"
"10","2021","2","10","    88,000","11200"," 하왕십리동","990","1989","한신무학","114.59","15"
"11","2021","2","11","   180,000","11200"," 하왕십리동","1070","2016","센트라스","84.98","8"
"12","2021","2","14","   135,500","11200"," 하왕십리동","1061","2004","왕십리풍림아이원","114.928","17"
"13","2021","2","16","    99,700","11200"," 하왕십리동","258","1996","청계벽산","84.94","1"
"14","2021","2","16","   106,500","11200"," 하왕십리동","258","1996","청계벽산","114.46","1"
"15","2021","2","20","    90,000","11200"," 하왕십리동","990","1989","한신무학","75.2","3"
"16","2021","2","20","   158,000","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","72.52","7"
"17","2021","2","20","   158,000","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","72.52","7"
"18","2021","2","20","   127,000","11200"," 하왕십리동","1002","2016","왕십리KCC스위첸","84.897","2"
"19","2021","2","20","    93,000","11200"," 하왕십리동","1070","2016","센트라스","40.94","20"
"20","2021","2","23","   115,000","11200"," 하왕십리동","1058","2001","극동미라주","114.63","12"
"21","2021","2","25","    99,000","11200"," 하왕십리동","258","1996","청계벽산","71.33","5"
"22","2021","2","26","   130,000","11200"," 하왕십리동","1070","2016","센트라스","59.99","13"
"23","2021","2","26","   145,000","11200"," 하왕십리동","1070","2016","센트라스","59.94","15"
"24","2021","2","26","   103,000","11200"," 하왕십리동","258","1996","청계벽산","71.33","7"
"25","2021","2","27","   123,000","11200"," 하왕십리동","258","1996","청계벽산","114.46","3"
"26","2021","2","1","    88,500","11200"," 마장동","818","1998","현대","59.94","21"
"27","2021","2","3","    76,500","11200"," 마장동","768-17","2005","행복드림","84.56","5"
"28","2021","2","5","    86,800","11200"," 마장동","817","1996","삼성","59.76","4"
"29","2021","2","6","    82,000","11200"," 마장동","818","1998","현대","59.94","22"
"30","2021","2","6","   105,000","11200"," 마장동","822","2004","신성미소지움","84.99","13"
"31","2021","2","10","    87,500","11200"," 마장동","819","1999","마장동중앙하이츠","60","14"
"32","2021","2","10","   119,000","11200"," 마장동","817","1996","삼성","134.97","1"
"33","2021","2","17","   149,950","11200"," 마장동","818","1998","현대","164.86","22"
"34","2021","2","20","    89,000","11200"," 마장동","819","1999","마장동중앙하이츠","60","2"
"35","2021","2","27","    83,900","11200"," 마장동","817","1996","삼성","59.76","1"
"36","2021","2","1","   133,500","11200"," 행당동","376","2011","서울숲행당푸르지오","84.74","9"
"37","2021","2","1","   133,500","11200"," 행당동","376","2011","서울숲행당푸르지오","84.74","9"
"38","2021","2","1","   145,000","11200"," 행당동","349","2003","서울숲 한신 더 휴","114.97","12"
"39","2021","2","4","   247,000","11200"," 행당동","380","2018","서울숲리버뷰자이","128.52","30"
"40","2021","2","5","   180,000","11200"," 행당동","380","2018","서울숲리버뷰자이","84.9","27"
"41","2021","2","6","   130,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","12"
"42","2021","2","10","    89,500","11200"," 행당동","345","1997","두산","59.94","12"
"43","2021","2","10","   126,000","11200"," 행당동","346","2000","행당한진타운","84.71","19"
"44","2021","2","18","   145,700","11200"," 행당동","380","2018","서울숲리버뷰자이","59.97","2"
"45","2021","2","20","   130,700","11200"," 행당동","346","2000","행당한진타운","84.71","14"
"46","2021","2","20","   120,000","11200"," 행당동","364","2005","이수브라운스톤","84.94","3"
"47","2021","2","21","   147,000","11200"," 행당동","346","2000","행당한진타운","114.62","9"
"48","2021","2","21","   127,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","10"
"49","2021","2","23","   116,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","11"
"50","2021","2","26","   108,000","11200"," 행당동","346","2000","행당한진타운","59.96","23"
"51","2021","2","3","   122,000","11200"," 응봉동","15","2001","대림강변타운","114.88","1"
"52","2021","2","4","   154,000","11200"," 응봉동","100","1986","대림(1차)","113.71","7"
"53","2021","2","4","   119,000","11200"," 응봉동","100","1986","대림(1차)","75.51","10"
"54","2021","2","16","   159,000","11200"," 응봉동","100","1986","대림(1차)","126.66","8"
"55","2021","2","20","   110,000","11200"," 응봉동","98","1990","금호현대","79.8","12"
"56","2021","2","25","   145,000","11200"," 응봉동","15","2001","대림강변타운","84.42","18"
"57","2021","2","27","    82,000","11200"," 응봉동","98","1990","금호현대","59.91","2"
"58","2021","2","1","   142,000","11200"," 금호동1가","280","2019","이편한세상금호파크힐스","59.949","12"
"59","2021","2","6","   128,000","11200"," 금호동1가","633","2001","벽산","84.82","16"
"60","2021","2","10","   137,800","11200"," 금호동1가","280","2019","이편한세상금호파크힐스","59.983","8"
"61","2021","2","20","   128,500","11200"," 금호동1가","633","2001","벽산","84.82","11"
"62","2021","2","21","   149,900","11200"," 금호동1가","633","2001","벽산","114.57","7"
"63","2021","2","24","   130,000","11200"," 금호동1가","633","2001","벽산","84.82","5"
"64","2021","2","26","   110,000","11200"," 금호동1가","633","2001","벽산","59.9","11"
"65","2021","2","7","   144,500","11200"," 금호동2가","1217","2012","래미안하이리버","84.98","6"
"66","2021","2","9","   140,000","11200"," 금호동2가","1215","2012","금호자이1차","84.98","11"
"67","2021","2","15","   149,000","11200"," 금호동2가","1217","2012","래미안하이리버","84.99","14"
"68","2021","2","17","   141,800","11200"," 금호동2가","1","2016","신금호파크자이","59.98","17"
"69","2021","2","19","   130,000","11200"," 금호동2가","1217","2012","래미안하이리버","59.99","19"
"70","2021","2","20","   172,000","11200"," 금호동2가","1","2016","신금호파크자이","84.98","15"
"71","2021","2","23","   142,000","11200"," 금호동2가","1","2016","신금호파크자이","59.98","10"
"72","2021","2","3","    98,000","11200"," 금호동3가","1662","2005","금호한신","59.99","10"
"73","2021","2","7","   106,000","11200"," 금호동3가","917","2005","금호1차푸르지오","59.97","6"
"74","2021","2","11","   117,500","11200"," 금호동3가","1331","1994","두산","84.99","5"
"75","2021","2","16","    98,000","11200"," 금호동3가","1331","1994","두산","59.97","2"
"76","2021","2","20","   111,000","11200"," 금호동3가","917","2005","금호1차푸르지오","59.97","2"
"77","2021","2","20","   133,000","11200"," 금호동3가","917","2005","금호1차푸르지오","84.92","6"
"78","2021","2","21","   102,000","11200"," 금호동3가","1331","1994","두산","59.97","13"
"79","2021","2","6","   120,000","11200"," 금호동4가","800","2001","대우","59.97","13"
"80","2021","2","8","   149,500","11200"," 금호동4가","235","2012","서울숲푸르지오2차","59.839","11"
"81","2021","2","19","   216,000","11200"," 금호동4가","1553","2018","힐스테이트서울숲리버","114.86","10"
"82","2021","2","24","   168,000","11200"," 금호동4가","1553","2018","힐스테이트서울숲리버","84.83","11"
"83","2021","2","24","   137,700","11200"," 금호동4가","235","2012","서울숲푸르지오2차","59.907","5"
"84","2021","2","24","   185,000","11200"," 금호동4가","235","2012","서울숲푸르지오2차","84.898","5"
"85","2021","2","2","   164,000","11200"," 옥수동","60","2004","풍림아이원","84.767","6"
"86","2021","2","3","   213,000","11200"," 옥수동","428","1986","극동","148.23","15"
"87","2021","2","4","   150,000","11200"," 옥수동","561","2012","래미안 옥수 리버젠","59.98","3"
"88","2021","2","4","   154,500","11200"," 옥수동","528","2016","옥수파크힐스101동~116동","59.88","1"
"89","2021","2","6","   156,500","11200"," 옥수동","528","2016","옥수파크힐스101동~116동","59.91","10"
"90","2021","2","8","   161,000","11200"," 옥수동","191-3","1997","벽산빌라트","159.63","10"
"91","2021","2","9","   149,000","11200"," 옥수동","250","1999","삼성","84.822","9"
"92","2021","2","10","   127,000","11200"," 옥수동","428","1986","극동","68.58","12"
"93","2021","2","10","   159,000","11200"," 옥수동","561","2012","래미안 옥수 리버젠","59.25","13"
"94","2021","2","16","   168,000","11200"," 옥수동","220-2","2004","레미테지","224.09","2"
"95","2021","2","16","   130,000","11200"," 옥수동","436","1997","극동그린","114.32","5"
"96","2021","2","17","   239,000","11200"," 옥수동","561","2012","래미안 옥수 리버젠","134.13","10"
"97","2021","2","19","   179,500","11200"," 옥수동","4","1990","현대","123.51","13"
"98","2021","2","20","   190,000","11200"," 옥수동","561","2012","래미안 옥수 리버젠","84.81","3"
"99","2021","2","24","   115,000","11200"," 옥수동","12","2003","동인샤인빌","82.9","2"
"100","2021","2","27","   139,000","11200"," 옥수동","561","2012","래미안 옥수 리버젠","59.25","2"
"101","2021","2","27","   159,000","11200"," 옥수동","528","2016","옥수파크힐스101동~116동","59.91","3"
"102","2021","2","27","   188,000","11200"," 옥수동","528","2016","옥수파크힐스101동~116동","84.51","15"
"103","2021","2","2","   100,000","11200"," 성수동1가","708","1999","동아그린","58.32","15"
"104","2021","2","3","   438,000","11200"," 성수동1가","685-696","2011","갤러리아포레","218.15","10"
"105","2021","2","5","   350,000","11200"," 성수동1가","718","2017","트리마제","136.5606","3"
"106","2021","2","8","   560,000","11200"," 성수동1가","685-700","2020","아크로서울포레스트","159.603","43"
"107","2021","2","8","   560,000","11200"," 성수동1가","685-700","2020","아크로서울포레스트","159.603","43"
"108","2021","2","8","   122,500","11200"," 성수동1가","706","1997","쌍용","59.76","3"
"109","2021","2","9","   350,000","11200"," 성수동1가","685-700","2020","아크로서울포레스트","164.856","11"
"110","2021","2","22","   310,000","11200"," 성수동1가","718","2017","트리마제","140.3099","8"
"111","2021","2","23","   210,000","11200"," 성수동1가","718","2017","트리마제","69.7244","26"
"112","2021","2","23","   438,000","11200"," 성수동1가","685-696","2011","갤러리아포레","218.15","7"
"113","2021","2","26","   127,000","11200"," 성수동1가","33-2","1994","현대그린","81.48","10"
"114","2021","2","27","   290,000","11200"," 성수동1가","718","2017","트리마제","84.8111","20"
"115","2021","2","2","    86,000","11200"," 성수동2가","279-50","1999","대우1","84.51","4"
"116","2021","2","4","   149,200","11200"," 성수동2가","834","2003","현대I-PARK","104.56","3"
"117","2021","2","8","   214,000","11200"," 성수동2가","843","2009","힐스테이트","143","4"
"118","2021","2","23","   165,000","11200"," 성수동2가","835","2003","롯데캐슬파크","117.174","9"
"119","2021","2","26","   145,000","11200"," 성수동2가","835","2003","롯데캐슬파크","81.567","12"
"120","2021","2","4","    29,900","11200"," 송정동","72-25","2004","로얄빌리지","41.25","4"
"121","2021","2","8","    42,000","11200"," 송정동","97","2016","양지쉐르빌아파트","59.02","8"
"122","2021","2","19","    90,000","11200"," 송정동","90","2000","건영","84.945","17"
"123","2021","2","20","    74,000","11200"," 송정동","90","2000","건영","59.21","18"
"124","2021","2","20","    72,500","11200"," 송정동","90","2000","건영","59.21","23"
