"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","2","    77,700","11290"," 돈암동","632","1999","돈암동 풍림아파트 101~105동","84.68","8"
"2","2021","8","4","    68,800","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","19"
"3","2021","8","4","    77,000","11290"," 돈암동","609-1","1998","한신","68.13","6"
"4","2021","8","5","    69,800","11290"," 돈암동","15-1","1999","돈암동삼성","59.4","3"
"5","2021","8","5","    99,800","11290"," 돈암동","633","2003","동부센트레빌","80.54","16"
"6","2021","8","5","    68,000","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","14"
"7","2021","8","5","    64,800","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","19"
"8","2021","8","6","   106,000","11290"," 돈암동","643","2014","길음역금호어울림센터힐","84.8","12"
"9","2021","8","6","    86,000","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","3"
"10","2021","8","8","    91,900","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","12"
"11","2021","8","10","    91,000","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","8"
"12","2021","8","11","    94,500","11290"," 돈암동","643","2014","길음역금호어울림센터힐","59.84","12"
"13","2021","8","11","    89,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","13"
"14","2021","8","12","    92,000","11290"," 돈암동","644","2016","돈암코오롱하늘채","59.9342","3"
"15","2021","8","12","    90,500","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","17"
"16","2021","8","12","   119,000","11290"," 돈암동","636","2004","이수브라운스톤돈암","114.89","16"
"17","2021","8","12","    98,500","11290"," 돈암동","644","2016","돈암코오롱하늘채","59.9342","15"
"18","2021","8","14","    68,800","11290"," 돈암동","632","1999","돈암동 풍림아파트 101~105동","59.64","10"
"19","2021","8","14","    77,500","11290"," 돈암동","609-1","1998","한신","68.13","10"
"20","2021","8","14","    85,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","8"
"21","2021","8","14","    85,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","8"
"22","2021","8","14","    84,700","11290"," 돈암동","1","1991","돈암현대아파트","84.8","14"
"23","2021","8","14","   100,000","11290"," 돈암동","636","2004","이수브라운스톤돈암","84.97","8"
"24","2021","8","15","    92,000","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","13"
"25","2021","8","18","    76,000","11290"," 돈암동","609-1","1998","한신","68.13","17"
"26","2021","8","18","    94,500","11290"," 돈암동","631","1998","범양","114.93","10"
"27","2021","8","18","   110,000","11290"," 돈암동","609-1","1998","한진(609-1)","113.67","9"
"28","2021","8","18","   109,000","11290"," 돈암동","643","2014","길음역금호어울림센터힐","84.8","19"
"29","2021","8","19","    66,000","11290"," 돈암동","15-1","1999","돈암동삼성","59.4","1"
"30","2021","8","20","    85,700","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","17"
"31","2021","8","21","   109,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","84.97","13"
"32","2021","8","21","    77,000","11290"," 돈암동","609-1","1998","한신","68.13","11"
"33","2021","8","21","    88,000","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","12"
"34","2021","8","21","    88,000","11290"," 돈암동","639","2007","돈암힐스테이트","59.38","7"
"35","2021","8","21","   107,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","84.97","7"
"36","2021","8","21","   107,500","11290"," 돈암동","636","2004","이수브라운스톤돈암","84.97","7"
"37","2021","8","21","    85,800","11290"," 돈암동","636","2004","이수브라운스톤돈암","59.99","8"
"38","2021","8","23","   110,000","11290"," 돈암동","643","2014","길음역금호어울림센터힐","84.88","13"
"39","2021","8","23","   110,000","11290"," 돈암동","643","2014","길음역금호어울림센터힐","84.88","13"
"40","2021","8","24","   112,800","11290"," 돈암동","633","2003","동부센트레빌","115.51","9"
"41","2021","8","24","    95,000","11290"," 돈암동","609-1","1998","한신","84.87","8"
"42","2021","8","26","    95,000","11290"," 돈암동","15-1","1999","돈암동삼성","114.66","1"
"43","2021","8","27","   103,500","11290"," 돈암동","609-1","1998","한신","113.67","14"
"44","2021","8","28","    83,000","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","18"
"45","2021","8","28","   104,800","11290"," 돈암동","636","2004","이수브라운스톤돈암","84.97","5"
"46","2021","8","28","    98,000","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","10"
"47","2021","8","28","    89,800","11290"," 돈암동","524","2005","일신건영휴먼빌아파트","84.98","8"
"48","2021","8","28","    78,000","11290"," 돈암동","609-1","1998","한신","68.13","10"
"49","2021","8","28","    90,500","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","7"
"50","2021","8","28","    74,800","11290"," 돈암동","15-1","1999","돈암동삼성","59.4","8"
"51","2021","8","28","    83,000","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","18"
"52","2021","8","28","    83,000","11290"," 돈암동","603","2006","돈암동더샵아파트","84.817","1"
"53","2021","8","30","   124,500","11290"," 돈암동","644","2016","돈암코오롱하늘채","84.8778","6"
"54","2021","8","30","    58,000","11290"," 돈암동","552-9","2007","삼성아지오아파트","85","3"
"55","2021","8","30","    93,700","11290"," 돈암동","631","1998","범양","84.92","17"
"56","2021","8","31","    55,000","11290"," 돈암동","552-9","2007","삼성아지오아파트","85","5"
"57","2021","8","2","    65,000","11290"," 동소문동4가","279","1998","송산아파트","58.59","4"
"58","2021","8","23","    73,000","11290"," 동소문동4가","103-20","2008","삼보힐하우스","84.93","2"
"59","2021","8","31","    99,000","11290"," 동소문동4가","279","1998","송산아파트","111.55","4"
"60","2021","8","5","   105,000","11290"," 동소문동7가","23","2004","한신플러스C","84.95","19"
"61","2021","8","6","    88,000","11290"," 동소문동7가","120","2010","브라운스톤동선","59.96","10"
"62","2021","8","5","    85,000","11290"," 삼선동2가","420","2009","삼선현대힐스테이트","84.83","1"
"63","2021","8","14","    79,700","11290"," 삼선동2가","420","2009","삼선현대힐스테이트","56.83","5"
"64","2021","8","14","   108,500","11290"," 삼선동2가","425","2008","삼선푸르지오","84.84","9"
"65","2021","8","19","    89,000","11290"," 삼선동2가","425","2008","삼선푸르지오","59.95","9"
"66","2021","8","6","   130,000","11290"," 삼선동3가","116","2012","삼선에스케이뷰","84.95","11"
"67","2021","8","21","    46,400","11290"," 삼선동5가","63-3","2003","청기와","73.08","4"
"68","2021","8","21","    46,400","11290"," 삼선동5가","63-3","2003","청기와","73.08","4"
"69","2021","8","17","    60,000","11290"," 동선동4가","295-1","2008","한양수자인","68.81","13"
"70","2021","8","21","    59,800","11290"," 동선동4가","295-1","2008","한양수자인","68.03","12"
"71","2021","8","9","    30,800","11290"," 안암동3가","136-1","1971","대광","54.31","6"
"72","2021","8","10","    37,500","11290"," 안암동3가","136-1","1971","대광","59.31","4"
"73","2021","8","3","    85,000","11290"," 보문동6가","458","2017","보문파크뷰자이","45.81","7"
"74","2021","8","19","   119,000","11290"," 보문동6가","458","2017","보문파크뷰자이","72.97","6"
"75","2021","8","28","    90,000","11290"," 보문동6가","458","2017","보문파크뷰자이","45.81","6"
"76","2021","8","28","   140,000","11290"," 보문동6가","458","2017","보문파크뷰자이","84.99","10"
"77","2021","8","28","   127,000","11290"," 보문동6가","458","2017","보문파크뷰자이","84.99","15"
"78","2021","8","28","   109,500","11290"," 보문동6가","458","2017","보문파크뷰자이","59.81","9"
"79","2021","8","28","    79,000","11290"," 보문동6가","36-2","1994","아남","84.9","15"
"80","2021","8","13","    92,000","11290"," 보문동3가","2","2003","현대I-PARK","84.57","1"
"81","2021","8","28","   101,500","11290"," 보문동3가","230","2013","이편한세상보문","84.904","5"
"82","2021","8","2","    84,000","11290"," 정릉동","435","2005","중앙하이츠빌2단지","84.1926","3"
"83","2021","8","3","    67,000","11290"," 정릉동","1021","2001","대우","84.83","5"
"84","2021","8","3","    67,300","11290"," 정릉동","1021","2001","대우","84.83","4"
"85","2021","8","4","    73,000","11290"," 정릉동","239","2005","정릉풍림아이원","84.09","13"
"86","2021","8","6","    62,500","11290"," 정릉동","1018","1999","길음뉴타운데시앙","59.42","16"
"87","2021","8","7","    60,000","11290"," 정릉동","1021","2001","대우","59.98","9"
"88","2021","8","7","    69,500","11290"," 정릉동","210","2003","정릉푸른마을동아","59.94","12"
"89","2021","8","7","    72,800","11290"," 정릉동","1028","2006","정릉e-편한세상","59.77","5"
"90","2021","8","7","    74,500","11290"," 정릉동","1028","2006","정릉e-편한세상","59.77","14"
"91","2021","8","7","    73,000","11290"," 정릉동","1028","2006","정릉e-편한세상","59.77","20"
"92","2021","8","7","    75,000","11290"," 정릉동","1028","2006","정릉e-편한세상","59.77","14"
"93","2021","8","7","    78,000","11290"," 정릉동","494","2004","중앙하이츠빌1단지","84.98","2"
"94","2021","8","7","    85,000","11290"," 정릉동","239","2005","정릉풍림아이원","114.75","2"
"95","2021","8","7","    73,000","11290"," 정릉동","1020","2000","정릉우성아파트 101~105동","84.99","11"
"96","2021","8","9","    84,500","11290"," 정릉동","1035","2009","정릉2차e-편한세상","59.37","2"
"97","2021","8","9","    72,500","11290"," 정릉동","1021","2001","대우","84.83","8"
"98","2021","8","10","    69,000","11290"," 정릉동","1016","1999","우방","84.92","13"
"99","2021","8","10","    67,000","11290"," 정릉동","1019","2000","정릉성원아파트101동102동","84.91","5"
"100","2021","8","11","    78,000","11290"," 정릉동","1020","2000","정릉우성아파트 101~105동","84.99","18"
"101","2021","8","11","    63,000","11290"," 정릉동","1018","1999","길음뉴타운데시앙","59.42","9"
"102","2021","8","11","    65,500","11290"," 정릉동","1016","1999","우방","84.92","9"
"103","2021","8","12","    95,000","11290"," 정릉동","1034","2008","라온유","84.65","10"
"104","2021","8","12","    60,500","11290"," 정릉동","1015","1999","길음뉴타운경남아너스빌","50.45","12"
"105","2021","8","14","    94,000","11290"," 정릉동","1031","2008","정릉힐스테이트3차","84.97","8"
"106","2021","8","14","    59,800","11290"," 정릉동","1021","2001","대우","59.98","8"
"107","2021","8","14","    76,000","11290"," 정릉동","1028","2006","정릉e-편한세상","59.77","17"
"108","2021","8","14","    85,000","11290"," 정릉동","239","2005","정릉풍림아이원","114.75","17"
"109","2021","8","14","    73,000","11290"," 정릉동","406","2005","정릉푸르지오","59.98","1"
"110","2021","8","14","    77,800","11290"," 정릉동","1020","2000","정릉우성아파트 101~105동","84.99","16"
