"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","10","1","   113,000","11710"," 잠실동","22","2008","리센츠","27.68","30"
"2","2021","10","8","   260,000","11710"," 잠실동","19","2008","잠실엘스","84.8","22"
"3","2021","10","11","   187,500","11710"," 잠실동","44","2006","레이크팰리스","59.97","21"
"4","2021","10","16","   235,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","10"
"5","2021","10","16","   258,000","11710"," 잠실동","22","2008","리센츠","84.99","21"
"6","2021","10","18","   262,000","11710"," 잠실동","22","2008","리센츠","84.99","22"
"7","2021","10","18","   270,000","11710"," 잠실동","19","2008","잠실엘스","84.8","14"
"8","2021","10","25","   278,000","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","13"
"9","2021","10","26","   313,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","4"
"10","2021","10","28","   201,000","11710"," 잠실동","44","2006","레이크팰리스","59.97","28"
"11","2021","10","1","   320,000","11710"," 신천동","17","2008","파크리오","144.77","8"
"12","2021","10","2","   200,000","11710"," 신천동","17","2008","파크리오","59.86","9"
"13","2021","10","2","   234,500","11710"," 신천동","17","2008","파크리오","84.79","35"
"14","2021","10","3","   276,000","11710"," 신천동","7-18","2005","롯데캐슬골드","166.7","26"
"15","2021","10","4","   231,000","11710"," 신천동","17","2008","파크리오","84.9","17"
"16","2021","10","8","   225,000","11710"," 신천동","17","2008","파크리오","84.79","9"
"17","2021","10","9","   252,000","11710"," 신천동","17","2008","파크리오","84.9","24"
"18","2021","10","9","   226,500","11710"," 신천동","17","2008","파크리오","84.9","2"
"19","2021","10","10","   330,000","11710"," 신천동","17","2008","파크리오","144.77","22"
"20","2021","10","13","   228,000","11710"," 신천동","11-4","2013","잠실푸르지오월드마크","123.27","13"
"21","2021","10","18","   239,000","11710"," 신천동","17","2008","파크리오","84.9","13"
"22","2021","10","20","   320,000","11710"," 신천동","17","2008","파크리오","144.77","5"
"23","2021","10","30","   250,000","11710"," 신천동","11","1979","장미2","99","5"
"24","2021","10","2","   165,000","11710"," 풍납동","514","2019","잠실올림픽공원아이파크","59.97","8"
"25","2021","10","3","   118,500","11710"," 풍납동","510","2000","신성노바빌아파트","59.78","16"
"26","2021","10","5","   138,500","11710"," 풍납동","508","1995","한강극동","84.76","13"
"27","2021","10","9","   134,000","11710"," 풍납동","510","2000","신성노바빌아파트","84.96","13"
"28","2021","10","13","   119,500","11710"," 풍납동","391","1987","극동","59.975","8"
"29","2021","10","19","   105,000","11710"," 풍납동","506","1995","동아한가람1","59.98","3"
"30","2021","10","20","   162,000","11710"," 풍납동","260","1999","현대리버빌1지구","114.56","10"
"31","2021","10","25","   115,000","11710"," 풍납동","260","1999","현대리버빌1지구","59.96","13"
"32","2021","10","25","   128,500","11710"," 풍납동","512","2006","송파해모로","84.96","2"
"33","2021","10","26","   169,000","11710"," 풍납동","509","1998","씨티극동1","114.63","17"
"34","2021","10","29","   104,000","11710"," 풍납동","510","2000","신성노바빌아파트","59.78","14"
"35","2021","10","1","   166,000","11710"," 송파동","162","2001","송파삼성래미안아파트","79.7","6"
"36","2021","10","3","   198,000","11710"," 송파동","166","1984","가락삼익맨숀","108.338","12"
"37","2021","10","11","   212,000","11710"," 송파동","119","1983","한양아파트","158.61","11"
"38","2021","10","12","    14,900","11710"," 송파동","12-2","2013","엘에이치송파도시형생활주택","18.97","5"
"39","2021","10","12","    14,850","11710"," 송파동","12-2","2013","엘에이치송파도시형생활주택","18.97","4"
"40","2021","10","16","   166,000","11710"," 송파동","243","2012","래미안송파파인탑","64.66","9"
"41","2021","10","22","   145,000","11710"," 송파동","58-4","2005","레이크해모로","83.57","13"
"42","2021","10","24","    76,500","11710"," 송파동","104-1","2003","위례캐스빌","83.9","6"
"43","2021","10","29","   207,500","11710"," 송파동","166","1984","가락삼익맨숀","127.808","3"
"44","2021","10","30","   200,000","11710"," 송파동","162","2001","송파삼성래미안아파트","126.4","11"
"45","2021","10","8","    24,000","11710"," 석촌동","24-3","2015","석촌호수효성해링턴타워","15.8307","16"
"46","2021","10","16","    24,000","11710"," 석촌동","24-3","2015","석촌호수효성해링턴타워","15.8307","14"
"47","2021","10","23","    29,500","11710"," 석촌동","24-3","2015","석촌호수효성해링턴타워","15.8307","11"
"48","2021","10","26","    23,000","11710"," 석촌동","24-3","2015","석촌호수효성해링턴타워","15.8307","9"
"49","2021","10","15","    58,000","11710"," 삼전동","69-5","2006","하늘공원(69-5)","66","4"
"50","2021","10","2","   225,500","11710"," 가락동","913","2018","헬리오시티","84.98","5"
"51","2021","10","2","   238,000","11710"," 가락동","913","2018","헬리오시티","84.95","29"
"52","2021","10","3","   124,500","11710"," 가락동","171-5","1991","현대7","84.65","4"
"53","2021","10","4","   140,000","11710"," 가락동","70-19","1988","대림","84.11","10"
"54","2021","10","4","   159,500","11710"," 가락동","913","2018","헬리오시티","49.21","29"
"55","2021","10","5","    25,900","11710"," 가락동","98","2004","두산위브","33.1","8"
"56","2021","10","6","   140,000","11710"," 가락동","79","2003","롯데캐슬","180.516","21"
"57","2021","10","8","   123,000","11710"," 가락동","913","2018","헬리오시티","39.1","12"
"58","2021","10","9","   139,300","11710"," 가락동","96-1","1986","우성","58.46","1"
"59","2021","10","9","    71,900","11710"," 가락동","29-16","2003","쌍용노블래스","73.17","7"
"60","2021","10","11","   143,000","11710"," 가락동","70-19","1988","대림","84.11","7"
"61","2021","10","11","   132,000","11710"," 가락동","95-1","1997","가락금호아파트","59.91","2"
"62","2021","10","12","   129,500","11710"," 가락동","913","2018","헬리오시티","39.12","16"
"63","2021","10","17","   147,000","11710"," 가락동","140","1997","가락(1차)쌍용아파트","59.92","22"
"64","2021","10","17","   129,000","11710"," 가락동","913","2018","헬리오시티","39.1","14"
"65","2021","10","30","   132,900","11710"," 가락동","140","1997","가락(1차)쌍용아파트","59.92","1"
"66","2021","10","30","   128,000","11710"," 가락동","55","1991","현대(6차)","84.8","4"
"67","2021","10","31","   177,200","11710"," 가락동","176","1984","삼환","121.04","1"
"68","2021","10","31","   130,000","11710"," 가락동","913","2018","헬리오시티","39.1","21"
"69","2021","10","1","   180,000","11710"," 문정동","618","2016","파크하비오","84.9648","7"
"70","2021","10","1","    93,500","11710"," 문정동","112","2006","트윈팰리스(101동)","84.78","3"
"71","2021","10","5","    87,300","11710"," 문정동","145","1989","문정시영","39.69","8"
"72","2021","10","6","    93,000","11710"," 문정동","104","1991","현대","71.52","9"
"73","2021","10","8","   284,000","11710"," 문정동","150","1988","올림픽훼밀리타운","158.705","4"
"74","2021","10","16","    96,000","11710"," 문정동","145","1989","문정시영","46.26","5"
"75","2021","10","16","    87,300","11710"," 문정동","145","1989","문정시영","39.69","11"
"76","2021","10","19","   104,000","11710"," 문정동","146","2004","세양청마루","59.91","10"
"77","2021","10","20","   205,000","11710"," 문정동","1","2004","문정래미안","150.58","14"
"78","2021","10","22","   189,500","11710"," 문정동","1","2004","문정래미안","133.29","4"
"79","2021","10","30","   208,000","11710"," 문정동","150","1988","올림픽훼밀리타운","84.705","12"
"80","2021","10","2","   140,000","11710"," 장지동","879","2013","송파더센트레","59.96","7"
"81","2021","10","3","   145,000","11710"," 장지동","894","2015","위례아이파크","87.8354","13"
"82","2021","10","5","   125,000","11710"," 장지동","901","2013","위례24단지(꿈에그린)","51.78","5"
