"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","2","    71,800","11470"," 신정동","338","1999","목동우성3","59.69","19"
"2","2021","6","3","    57,700","11470"," 신정동","1281","2001","푸른마을2","49.16","8"
"3","2021","6","3","    84,000","11470"," 신정동","1285","2002","푸른마을4","84.92","4"
"4","2021","6","4","   113,000","11470"," 신정동","1007-11","2004","이스타팰리스","114.41","9"
"5","2021","6","4","    90,000","11470"," 신정동","1285","2002","푸른마을4","84.81","13"
"6","2021","6","5","    56,000","11470"," 신정동","1281","2001","푸른마을2","49.16","5"
"7","2021","6","5","   134,500","11470"," 신정동","1278","1996","목동삼성","84.77","12"
"8","2021","6","5","    73,000","11470"," 신정동","1277","2000","신트리4","59.73","15"
"9","2021","6","5","    77,500","11470"," 신정동","1277","2000","신트리4","59.73","11"
"10","2021","6","5","    63,000","11470"," 신정동","1259","1999","신트리1","49.8","3"
"11","2021","6","5","    80,700","11470"," 신정동","1273","1999","신정현대5","59.08","4"
"12","2021","6","5","   129,500","11470"," 신정동","314","1987","목동신시가지8","54.94","1"
"13","2021","6","5","   131,000","11470"," 신정동","314","1987","목동신시가지8","54.94","17"
"14","2021","6","6","    71,800","11470"," 신정동","1277","2000","신트리4","59.73","3"
"15","2021","6","6","    66,500","11470"," 신정동","743-2","2000","신정6현대","59.4","16"
"16","2021","6","7","   128,500","11470"," 신정동","311","1987","목동신시가지10","53.82","7"
"17","2021","6","7","   163,500","11470"," 신정동","312","1987","목동신시가지9","71.37","9"
"18","2021","6","7","   150,000","11470"," 신정동","327","1987","목동신시가지13","70.73","4"
"19","2021","6","7","    61,500","11470"," 신정동","1277","2000","신트리4","48.96","3"
"20","2021","6","8","    65,000","11470"," 신정동","1259","1999","신트리1","49.8","14"
"21","2021","6","8","   110,000","11470"," 신정동","337","2000","목동우성2","84.96","11"
"22","2021","6","8","   143,000","11470"," 신정동","1323","2016","목동힐스테이트","59.95","21"
"23","2021","6","8","   105,000","11470"," 신정동","1306","2006","세양청마루","84.98","8"
"24","2021","6","8","   175,000","11470"," 신정동","1323","2016","목동힐스테이트","84.88","9"
"25","2021","6","10","    13,500","11470"," 신정동","972-2","2017","경동미르웰","14.02","3"
"26","2021","6","11","   116,000","11470"," 신정동","1252","1995","현대","84.84","19"
"27","2021","6","11","   129,700","11470"," 신정동","326","1988","목동신시가지12","56.76","4"
"28","2021","6","12","   138,000","11470"," 신정동","1279","1997","목동현대3차","84.77","5"
"29","2021","6","12","    37,500","11470"," 신정동","929-26","2003","영림","65.27","3"
"30","2021","6","12","    65,000","11470"," 신정동","1259","1999","신트리1","49.8","2"
"31","2021","6","12","    63,000","11470"," 신정동","1277","2000","신트리4","49.5","11"
"32","2021","6","12","    70,000","11470"," 신정동","1277","2000","신트리4","59.73","3"
"33","2021","6","12","    95,000","11470"," 신정동","1308","2006","동원로데오(1308)","84.2","4"
"34","2021","6","12","    67,000","11470"," 신정동","743-2","2000","신정6현대","59.4","10"
"35","2021","6","14","   108,000","11470"," 신정동","1306","2006","세양청마루","84.98","6"
"36","2021","6","14","   138,000","11470"," 신정동","1309","2004","롯데캐슬","84.73","4"
"37","2021","6","17","    72,700","11470"," 신정동","1259","1999","신트리1","49.95","11"
"38","2021","6","17","   102,000","11470"," 신정동","1276","2000","신트리3","84.97","12"
"39","2021","6","18","   103,000","11470"," 신정동","1276","2000","신트리3","84.25","13"
"40","2021","6","18","    38,000","11470"," 신정동","917-10","1996","장미","70.91","4"
"41","2021","6","18","   113,700","11470"," 신정동","334","1992","쌍용","84.63","6"
"42","2021","6","19","    59,800","11470"," 신정동","1198-23","2004","대성유니드1차","59.87","3"
"43","2021","6","19","   169,000","11470"," 신정동","1323","2016","목동힐스테이트","84.98","3"
"44","2021","6","19","    58,000","11470"," 신정동","1293","2000","학마을1단지","49.99","9"
"45","2021","6","19","    60,000","11470"," 신정동","1277","2000","신트리4","48.96","5"
"46","2021","6","19","    60,000","11470"," 신정동","1293","2000","학마을1단지","49.99","11"
"47","2021","6","21","   129,000","11470"," 신정동","1300","2003","명지해드는터","84.98","8"
"48","2021","6","21","    64,800","11470"," 신정동","1277","2000","신트리4","49.5","14"
"49","2021","6","22","    61,000","11470"," 신정동","1013-1","2005","서일해오름103","84.63","4"
"50","2021","6","22","    71,500","11470"," 신정동","1277","2000","신트리4","59.73","5"
"51","2021","6","22","   109,500","11470"," 신정동","1311","2005","동일하이빌2단지","84.955","3"
"52","2021","6","23","   175,000","11470"," 신정동","1278","1996","목동삼성","114.93","21"
"53","2021","6","23","   140,000","11470"," 신정동","1309","2004","롯데캐슬","84.73","8"
"54","2021","6","23","   105,000","11470"," 신정동","1295","2001","목동2삼성래미안","59.92","6"
"55","2021","6","23","   108,500","11470"," 신정동","1276","2000","신트리3","84.8","8"
"56","2021","6","24","   123,000","11470"," 신정동","325","1988","목동신시가지11","51.48","14"
"57","2021","6","25","   157,000","11470"," 신정동","325","1988","목동신시가지11","66.24","8"
"58","2021","6","25","    73,000","11470"," 신정동","1277","2000","신트리4","59.73","15"
