"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","12","   130,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","14"
"2","2021","7","17","   133,000","11560"," 영등포동","647","2002","영등포푸르지오","84.84","13"
"3","2021","7","12","    13,000","11560"," 영등포동1가","113-1","2013","여의도시티아이","12.59","12"
"4","2021","7","27","    10,900","11560"," 영등포동1가","144","2011","헤렌어반","12.988","6"
"5","2021","7","7","    13,500","11560"," 영등포동2가","28-117","2013","이지리움S","13.37","12"
"6","2021","7","30","    12,000","11560"," 영등포동3가","19-2","2014","포레스트힐시티","13.53","8"
"7","2021","7","2","    13,950","11560"," 영등포동4가","103","2012","영등포그랑그루","12.1","11"
"8","2021","7","31","    13,300","11560"," 영등포동4가","103","2012","영등포그랑그루","12.1","6"
"9","2021","7","3","    78,716","11560"," 영등포동5가","24","1971","동남","77.82","8"
"10","2021","7","3","    80,000","11560"," 영등포동5가","24","1971","동남","77.82","8"
"11","2021","7","2","   134,500","11560"," 영등포동7가","203","2017","아크로타워스퀘어","59.91","8"
"12","2021","7","5","   118,000","11560"," 영등포동7가","46-1","1998","경남아너스빌","84.93","17"
"13","2021","7","5","   165,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.65","15"
"14","2021","7","10","    89,900","11560"," 영등포동7가","202","2004","브라운스톤","84.9","10"
"15","2021","7","10","   174,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.65","24"
"16","2021","7","16","   188,500","11560"," 영등포동7가","203","2017","아크로타워스퀘어","115.58","11"
"17","2021","7","20","   137,700","11560"," 영등포동7가","203","2017","아크로타워스퀘어","59.91","20"
"18","2021","7","20","   150,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","71.98","3"
"19","2021","7","25","    94,000","11560"," 영등포동7가","46-1","1998","경남아너스빌","59.9","16"
"20","2021","7","28","   160,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.69","31"
"21","2021","7","31","   116,000","11560"," 영등포동8가","76-1","1999","삼환","84.87","3"
"22","2021","7","9","   190,000","11560"," 여의도동","41","1975","대교","95.5","5"
"23","2021","7","12","   205,000","11560"," 여의도동","51","1974","삼익","122.78","12"
"24","2021","7","13","   221,000","11560"," 여의도동","61-5","2000","리버타워","234.02","24"
"25","2021","7","14","   268,000","11560"," 여의도동","47","2008","여의도자이","163.64","21"
"26","2021","7","14","   268,000","11560"," 여의도동","47","2008","여의도자이","163.64","21"
"27","2021","7","15","   150,000","11560"," 여의도동","54","1977","진주","48.26","10"
"28","2021","7","16","   170,000","11560"," 여의도동","43-4","2005","롯데캐슬아이비","103.86","14"
"29","2021","7","16","   298,000","11560"," 여의도동","50","1971","시범","156.99","3"
"30","2021","7","23","   300,000","11560"," 여의도동","50","1971","시범","156.99","10"
"31","2021","7","26","   198,000","11560"," 여의도동","30","1977","목화","89.92","3"
"32","2021","7","22","   124,000","11560"," 당산동1가","16-1","1997","진로","84.87","20"
"33","2021","7","31","   119,800","11560"," 당산동1가","16-1","1997","진로","84.87","15"
"34","2021","7","7","   119,000","11560"," 당산동2가","164","1994","당산2가현대홈타운","82.77","3"
"35","2021","7","14","    39,500","11560"," 당산동2가","16-1","1999","당산대우","31.73","5"
"36","2021","7","2","   158,000","11560"," 당산동3가","561","2003","동부센트레빌","134.83","21"
"37","2021","7","2","   145,000","11560"," 당산동3가","561","2003","동부센트레빌","114.96","5"
"38","2021","7","11","    69,000","11560"," 당산동3가","566","2014","당산계룡리슈빌2단지","38.77","6"
"39","2021","7","12","   127,800","11560"," 당산동3가","559","2010","쌍용예가클래식","106.56","7"
"40","2021","7","23","    84,000","11560"," 당산동3가","565","2014","당산계룡리슈빌3단지","49.963","3"
"41","2021","7","24","    87,900","11560"," 당산동3가","564","2014","당산계룡리슈빌1단지","47.25","11"
"42","2021","7","27","   146,000","11560"," 당산동3가","561","2003","동부센트레빌","114.96","25"
"43","2021","7","27","    77,000","11560"," 당산동3가","566","2014","당산계룡리슈빌2단지","40.154","12"
"44","2021","7","31","   103,000","11560"," 당산동3가","559","2010","쌍용예가클래식","68.28","4"
"45","2021","7","31","   123,000","11560"," 당산동3가","559","2010","쌍용예가클래식","88.02","10"
"46","2021","7","31","   139,500","11560"," 당산동3가","561","2003","동부센트레빌","94.75","6"
"47","2021","7","2","   121,000","11560"," 당산동4가","30-1","2000","당산현대5차","59.75","7"
