"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","4","    74,500","11170"," 후암동","1-20","1974","후암맨션","72.13","6"
"2","2021","11","25","    65,000","11170"," 후암동","244-106","2002","후암","84.11","2"
"3","2021","11","6","   135,000","11170"," 산천동","193","2001","리버힐삼성","59.55","17"
"4","2021","11","3","   111,000","11170"," 원효로4가","109-4","1971","풍전","81.72","6"
"5","2021","11","5","   148,000","11170"," 효창동","274","2010","효창파크푸르지오","59.41","9"
"6","2021","11","7","   185,000","11170"," 효창동","287","2019","용산롯데캐슬센터포레","84.8757","11"
"7","2021","11","15","    15,000","11170"," 문배동","24-8","2012","프라임팰리스","13.69","16"
"8","2021","11","29","   135,000","11170"," 문배동","11-29","2005","이안용산1차(103동)","84.9","7"
"9","2021","11","6","   201,000","11170"," 신계동","48","2011","용산e편한세상","84.89","4"
"10","2021","11","10","   161,500","11170"," 신계동","48","2011","용산e편한세상","59.64","14"
"11","2021","11","13","   200,000","11170"," 신계동","48","2011","용산e편한세상","84.21","13"
"12","2021","11","22","   189,500","11170"," 신계동","48","2011","용산e편한세상","84.21","8"
"13","2021","11","24","   370,000","11170"," 한강로2가","422","2017","래미안용산더센트럴","161.48","32"
"14","2021","11","13","   265,000","11170"," 한강로3가","63-389","2007","용산시티파크(1단지)","146.53","10"
"15","2021","11","2","   178,000","11170"," 이촌동","404","1998","한가람","59.88","6"
"16","2021","11","2","   178,000","11170"," 이촌동","404","1998","한가람","59.88","6"
"17","2021","11","3","   259,500","11170"," 이촌동","402","1998","강촌","106.645","6"
"18","2021","11","3","   197,000","11170"," 이촌동","411","1999","동아그린","114.96","19"
"19","2021","11","3","   217,000","11170"," 이촌동","300-10","1974","점보","177.62","6"
"20","2021","11","11","   350,000","11170"," 이촌동","300-23","1971","한강맨숀","101.95","1"
"21","2021","11","16","   189,000","11170"," 이촌동","404","1998","한가람","59.88","15"
"22","2021","11","19","   234,000","11170"," 이촌동","402","1998","강촌","84.85","13"
"23","2021","11","20","   236,000","11170"," 이촌동","418","2001","동부센트레빌","100.8","17"
"24","2021","11","21","   170,000","11170"," 이촌동","400","1997","현대한강","59.55","20"
"25","2021","11","2","   165,000","11170"," 이태원동","352","2003","퍼시픽맨션골드","201.03","5"
"26","2021","11","25","    60,000","11170"," 이태원동","669","1969","용산동아파트","44.76","7"
"27","2021","11","8","    82,000","11170"," 한남동","644-2","1975","태성1","59.95","3"
"28","2021","11","12","   161,000","11170"," 한남동","808","2005","대림아르빌","132.89","2"
"29","2021","11","23","   120,000","11170"," 한남동","828","2017","한남아이파크애비뉴","49.6971","17"
"30","2021","11","24","   265,000","11170"," 한남동","810","2011","한남더힐","59.686","7"
"31","2021","11","24"," 1,150,000","11170"," 한남동","410","2020","파르크한남","268.95","3"
"32","2021","11","26"," 1,170,000","11170"," 한남동","410","2020","파르크한남","268.67","4"
"33","2021","11","3","   200,000","11170"," 서빙고동","296","2002","금호베스트빌1","156.58","11"
"34","2021","11","29","   272,000","11170"," 보광동","35-5","1995","카사빌라","143.08","5"
