"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","14","    69,600","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","59.895","12"
"2","2021","4","14","    69,600","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","59.895","12"
"3","2021","4","15","    80,000","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","84.951","5"
"4","2021","4","29","    85,000","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","84.951","6"
"5","2021","4","1","    43,000","11380"," 녹번동","83-16","2011","경원파발리안","56.5","6"
"6","2021","4","3","    43,000","11380"," 녹번동","100-32","2002","초우레디안아트빌","71.64","5"
"7","2021","4","3","   108,500","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","6"
"8","2021","4","9","    85,000","11380"," 녹번동","278-1","2001","녹번2현대","117.35","3"
"9","2021","4","9","    85,000","11380"," 녹번동","278-1","2001","녹번2현대","117.35","3"
"10","2021","4","12","    42,500","11380"," 녹번동","71-8","2005","청솔아파트","84.91","3"
"11","2021","4","24","   102,000","11380"," 녹번동","283","2019","래미안베라힐즈","59.98","3"
"12","2021","4","25","   117,000","11380"," 녹번동","282","2019","힐스테이트녹번","84.9","2"
"13","2021","4","26","   115,500","11380"," 녹번동","281","2015","북한산푸르지오","84.99","15"
"14","2021","4","27","    49,000","11380"," 녹번동","183-2","2019","거장메카","40.97","13"
"15","2021","4","29","    64,000","11380"," 녹번동","280-1","2002","녹번JR아파트","59.866","11"
"16","2021","4","29","    48,500","11380"," 녹번동","183-2","2019","거장메카","40.97","9"
"17","2021","4","1","    75,000","11380"," 불광동","629","1999","대호아파트","84.81","4"
"18","2021","4","3","   109,000","11380"," 불광동","637","2010","북한산래미안아파트(2단지)","114.9986","6"
"19","2021","4","7","    40,000","11380"," 불광동","632","2001","남해그린힐","59.87","8"
"20","2021","4","8","    45,000","11380"," 불광동","241-23","1995","신우아파트","59.97","8"
"21","2021","4","9","   115,000","11380"," 불광동","643","2011","북한산힐스테이트7차","84.99","5"
"22","2021","4","10","    12,000","11380"," 불광동","484-60","2013","제이타워","15.05","8"
"23","2021","4","13","    75,000","11380"," 불광동","248","1988","라이프미성","66.7","5"
"24","2021","4","14","    85,000","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","10"
"25","2021","4","15","    98,000","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","114.942","1"
"26","2021","4","17","    11,300","11380"," 불광동","484-60","2013","제이타워","13.36","6"
"27","2021","4","17","    84,700","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","6"
"28","2021","4","20","    67,000","11380"," 불광동","636","2006","북한산한양수자인아파트","59.69","13"
"29","2021","4","23","    96,500","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","84.96","3"
"30","2021","4","23","    27,700","11380"," 불광동","285-18","2018","경인에버빌(285-18)","29.47","8"
"31","2021","4","24","   106,000","11380"," 불광동","637","2010","북한산래미안아파트(2단지)","84.9929","15"
"32","2021","4","24","    80,000","11380"," 불광동","248","1988","라이프미성","66.7","4"
"33","2021","4","24","    32,500","11380"," 불광동","484-57","2002","삼흥아파트","63.85","2"
"34","2021","4","3","    44,500","11380"," 갈현동","267-1","1991","라이프시티","79.11","15"
"35","2021","4","3","    58,500","11380"," 갈현동","537","1997","갈현동현대","59.25","14"
"36","2021","4","8","    54,000","11380"," 갈현동","540","1998","우남","84.92","13"
"37","2021","4","10","    54,500","11380"," 갈현동","468-5","2017","베로니스","52.1","7"
"38","2021","4","11","    59,600","11380"," 갈현동","539","1997","한솔","84.93","4"
"39","2021","4","12","    40,000","11380"," 갈현동","463-16","2011","연서노벨(463-16)","67.79","9"
"40","2021","4","14","    21,000","11380"," 갈현동","539","1997","한솔","39.96","8"
"41","2021","4","17","    37,700","11380"," 갈현동","522-19","2004","웰빙존","81.18","4"
