"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","6","   155,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","126.34","1"
"2","2021","2","17","   169,000","11110"," 내수동","73","2004","경희궁의아침4단지","124.17","8"
"3","2021","2","24","    74,000","11110"," 수송동","85","2005","로얄팰리스스위트","83.26","13"
"4","2021","2","18","    32,000","11110"," 익선동","55","2003","현대뜨레비앙","46.64","3"
"5","2021","2","22","    87,500","11110"," 인의동","48-2","2006","효성쥬얼리시티","84.64","7"
"6","2021","2","5","    15,000","11110"," 충신동","62-2","2011","CS타워","22.17","13"
"7","2021","2","1","    66,500","11110"," 창신동","702","1992","창신쌍용1","54.7","4"
"8","2021","2","2","    79,400","11110"," 창신동","702","1992","창신쌍용1","79.87","6"
"9","2021","2","4","    77,800","11110"," 창신동","703","1993","창신쌍용2","79.87","14"
"10","2021","2","6","    68,000","11110"," 창신동","703","1993","창신쌍용2","64.66","8"
"11","2021","2","22","    74,800","11110"," 창신동","23-816","2003","창신이수","68.06","6"
"12","2021","2","28","    64,000","11110"," 창신동","702","1992","창신쌍용1","54.7","10"
"13","2021","2","28","    54,000","11110"," 창신동","702","1992","창신쌍용1","54.7","10"
"14","2021","2","4","   104,000","11110"," 숭인동","766","2009","종로청계힐스테이트","84.9478","14"
"15","2021","2","6","    92,400","11110"," 숭인동","766","2009","종로청계힐스테이트","59.9426","6"
"16","2021","2","27","    98,000","11110"," 숭인동","2-1","2008","종로센트레빌","59.92","8"
"17","2021","2","27","    10,300","11110"," 숭인동","296-19","2012","삼전솔하임2차","16.67","4"
"18","2021","2","27","    36,000","11110"," 숭인동","482","2002","동문(482-0)","60","-1"
"19","2021","2","15","   185,000","11110"," 평동","233","2017","경희궁자이(3단지)","84.836","17"
"20","2021","2","24","   185,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","84.836","21"
"21","2021","2","5","    85,500","11110"," 교북동","126","2017","경희궁자이(4단지)","37.2635","2"
"22","2021","2","6","    85,900","11110"," 교북동","126","2017","경희궁자이(4단지)","37.2635","8"
"23","2021","2","20","    89,500","11110"," 교북동","126","2017","경희궁자이(4단지)","37.2635","11"
"24","2021","2","16","    23,000","11110"," 행촌동","41-1","1971","대성아파트","45.39","1"
"25","2021","2","1","    74,000","11110"," 평창동","179-5","2017","밀레니엄","108.18","3"
"26","2021","2","9","    44,000","11110"," 평창동","33-1","2005","형우럭스빌(33-1)","91.87","5"
"27","2021","2","9","    54,000","11110"," 평창동","596","1998","삼성","59.97","10"
"28","2021","2","10","   105,000","11110"," 평창동","72","2001","롯데낙천대","133.34","5"
"29","2021","2","10","   108,000","11110"," 평창동","72","2001","롯데낙천대","110.53","8"
"30","2021","2","10","    50,000","11110"," 부암동","218-1","2004","부암스카이뷰","81.08","5"
"31","2021","2","2","   119,950","11110"," 무악동","82","2000","현대","84.92","15"
"32","2021","2","13","   119,960","11110"," 무악동","82","2000","현대","84.92","4"
"33","2021","2","16","   163,000","11110"," 무악동","89","2019","경희궁롯데캐슬","84.8792","5"
"34","2021","2","19","   126,000","11110"," 무악동","88","2015","인왕산2차아이파크","84.4541","12"
"35","2021","2","20","   140,000","11110"," 무악동","60","2008","인왕산아이파크","114.931","11"
"36","2021","2","20","   120,000","11110"," 무악동","60","2008","인왕산아이파크","84.858","2"
"37","2021","2","20","   124,950","11110"," 무악동","82","2000","현대","84.92","10"
"38","2021","2","25","   151,000","11110"," 무악동","89","2019","경희궁롯데캐슬","84.8792","1"
"39","2021","2","27","   120,000","11110"," 무악동","60","2008","인왕산아이파크","84.858","2"
"40","2021","2","28","   130,000","11110"," 무악동","60","2008","인왕산아이파크","84.858","13"
"41","2021","2","28","   144,000","11110"," 무악동","60","2008","인왕산아이파크","84.858","13"
