"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","10","25","   347,000","11140"," 회현동1가","206","2010","남산SKLEADERSVIEW","244.74","29"
"2","2021","10","28","   225,000","11140"," 회현동1가","206","2010","남산SKLEADERSVIEW","205.62","17"
"3","2021","10","4","    34,800","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","35.57","14"
"4","2021","10","19","    70,000","11140"," 을지로5가","39-1","2006","삼성파크빌(39-1)","84.85","9"
"5","2021","10","16","    44,000","11140"," 오장동","139-7","2021","오장동오팰리오","29.48","10"
"6","2021","10","18","    13,700","11140"," 오장동","145-1","2020","오렌지카운티을지로","12.26","15"
"7","2021","10","2","   124,000","11140"," 신당동","852","2011","청구e편한세상","59.89","1"
"8","2021","10","2","    17,000","11140"," 신당동","140-23","2016","신당역솔하임","14.08","15"
"9","2021","10","4","   125,000","11140"," 신당동","856","2019","신당KCC스위첸","59.7807","12"
"10","2021","10","5","   178,000","11140"," 신당동","844","2002","남산타운","114.88","17"
"11","2021","10","6","   172,000","11140"," 신당동","844","2002","남산타운","114.88","10"
"12","2021","10","8","   125,000","11140"," 신당동","843","1999","삼성","114.91","1"
"13","2021","10","11","   153,750","11140"," 신당동","432-1653","2002","노블레스2","94.38","5"
"14","2021","10","14","   153,000","11140"," 신당동","844","2002","남산타운","84.88","13"
"15","2021","10","17","    24,500","11140"," 신당동","857","2021","약수역더시티","18.86","8"
"16","2021","10","17","   138,000","11140"," 신당동","851","2011","래미안하이베르","84.98","8"
"17","2021","10","25","   131,000","11140"," 신당동","856","2019","신당KCC스위첸","72.2733","6"
"18","2021","10","28","    34,000","11140"," 신당동","432-479","1999","초원","59.97","3"
"19","2021","10","12","   169,000","11140"," 흥인동","13-1","2014","청계천두산위브더제니스","123.8073","30"
"20","2021","10","23","   148,000","11140"," 흥인동","13-1","2014","청계천두산위브더제니스","92.1357","17"
"21","2021","10","26","    92,500","11140"," 황학동","2545","2008","롯데캐슬","59.91","32"
"22","2021","10","13","    25,500","11140"," 중림동","149","1975","성요셉","41.32","5"
