"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","2","    58,500","11260"," 면목동","472-8","2009","아람플러스","84.955","7"
"2","2021","1","3","    60,000","11260"," 면목동","1529","2006","경남아너스빌","51.429","3"
"3","2021","1","3","    70,000","11260"," 면목동","1529","2006","경남아너스빌","59.981","9"
"4","2021","1","3","    69,000","11260"," 면목동","1508","2003","동원베네스트","84.86","2"
"5","2021","1","4","    64,400","11260"," 면목동","1513","2000","면목삼호101","83.08","10"
"6","2021","1","4","    36,000","11260"," 면목동","178-50","2003","다울101동","84.92","6"
"7","2021","1","5","    64,000","11260"," 면목동","1516","1997","면목삼익아파트","84.99","2"
"8","2021","1","6","    60,000","11260"," 면목동","1516","1997","면목삼익아파트","59.5","11"
"9","2021","1","8","    83,000","11260"," 면목동","715","2002","늘푸른동아","114.73","1"
"10","2021","1","8","    61,000","11260"," 면목동","1525","2006","용마산금호어울림","84.912","7"
"11","2021","1","8","    83,000","11260"," 면목동","715","2002","늘푸른동아","114.73","1"
"12","2021","1","11","    59,900","11260"," 면목동","472-8","2009","아람플러스","84.975","7"
"13","2021","1","11","    43,000","11260"," 면목동","193-1","1988","면목한신","44.5","3"
"14","2021","1","12","    21,000","11260"," 면목동","1278","2003","형제","41.4","3"
"15","2021","1","12","    74,500","11260"," 면목동","715","2002","늘푸른동아","84.97","19"
"16","2021","1","13","    62,400","11260"," 면목동","1077-1","1990","용마한신","82.39","13"
"17","2021","1","13","    75,000","11260"," 면목동","1502","1994","현대","84.81","20"
"18","2021","1","15","     9,000","11260"," 면목동","538","2013","신영","14.43","4"
"19","2021","1","15","    75,000","11260"," 면목동","1511","1995","두산3","84.77","8"
"20","2021","1","16","   104,000","11260"," 면목동","1544","2020","라온프라이빗","84.9814","16"
"21","2021","1","16","    68,000","11260"," 면목동","1502","1994","현대","74.79","3"
"22","2021","1","17","    68,000","11260"," 면목동","1502","1994","현대","84.81","1"
"23","2021","1","18","    33,800","11260"," 면목동","193-1","1988","면목한신","35.3","13"
"24","2021","1","18","    30,000","11260"," 면목동","1077-1","1990","용마한신","35.44","1"
"25","2021","1","18","    35,000","11260"," 면목동","193-1","1988","면목한신","35.3","6"
"26","2021","1","19","    83,000","11260"," 면목동","581","2003","대원칸타빌","102.634","18"
"27","2021","1","21","     9,000","11260"," 면목동","538","2013","신영","15.82","6"
"28","2021","1","21","    72,500","11260"," 면목동","1508","2003","동원베네스트","84.86","8"
"29","2021","1","25","    80,900","11260"," 면목동","1544","2020","라온프라이빗","68.1667","11"
"30","2021","1","25","    75,000","11260"," 면목동","1502","1994","현대","84.81","16"
"31","2021","1","26","    32,500","11260"," 면목동","193-1","1988","면목한신","35.3","15"
"32","2021","1","26","    70,000","11260"," 면목동","1508","2003","동원베네스트","84.86","3"
"33","2021","1","28","    70,000","11260"," 면목동","193-1","1988","면목한신","84.92","11"
"34","2021","1","28","    79,500","11260"," 면목동","1502","1994","현대","84.99","13"
"35","2021","1","30","    33,300","11260"," 면목동","193-1","1988","면목한신","35.3","2"
"36","2021","1","30","    51,000","11260"," 면목동","1514","1997","풍림","59.4","17"
"37","2021","1","31","    64,500","11260"," 면목동","715","2002","늘푸른동아","59.65","13"
"38","2021","1","2","    37,800","11260"," 상봉동","89-10","2020","레그노시티","37.583","14"
"39","2021","1","4","    70,800","11260"," 상봉동","497","2003","태영데시앙1","59.6772","5"
"40","2021","1","6","    36,800","11260"," 상봉동","89-10","2020","레그노시티","37.583","11"
"41","2021","1","8","   109,000","11260"," 상봉동","500","2013","프레미어스엠코","101.97","42"
"42","2021","1","9","    52,700","11260"," 상봉동","495","1999","동부아파트","54","3"
"43","2021","1","9","    60,000","11260"," 상봉동","63","1996","건영2차아파트","57.3","12"
"44","2021","1","9","    36,800","11260"," 상봉동","89-10","2020","레그노시티","37.583","8"
"45","2021","1","9","    69,500","11260"," 상봉동","496","2002","우정아파트","57.189","9"
"46","2021","1","10","    36,500","11260"," 상봉동","89-10","2020","레그노시티","37.583","3"
"47","2021","1","12","    44,000","11260"," 상봉동","210-2","2005","해동훼미리","84.77","4"
"48","2021","1","14","    45,000","11260"," 상봉동","84-39","2004","백운아파트","77.98","4"
"49","2021","1","15","    37,300","11260"," 상봉동","284-13","2010","동일스카이시티102동","62.62","6"
"50","2021","1","20","    43,000","11260"," 상봉동","87-27","2019","센트럴파크55","47.62","6"
"51","2021","1","20","    60,200","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","10"
"52","2021","1","21","    83,500","11260"," 상봉동","496","2002","우정아파트","81.783","15"
"53","2021","1","22","    52,000","11260"," 상봉동","495","1999","동부아파트","54","4"
"54","2021","1","23","    83,000","11260"," 상봉동","496","2002","우정아파트","81.783","10"
"55","2021","1","23","    85,000","11260"," 상봉동","496","2002","우정아파트","81.783","18"
"56","2021","1","23","    89,500","11260"," 상봉동","81-5","2003","한일써너스빌","84.602","4"
"57","2021","1","26","    50,000","11260"," 상봉동","63","1996","건영2차아파트","84.96","7"
"58","2021","1","27","    95,100","11260"," 상봉동","500","2013","프레미어스엠코","107.12","36"
"59","2021","1","28","   118,000","11260"," 상봉동","500","2013","프레미어스엠코","107.12","23"
"60","2021","1","28","    69,800","11260"," 상봉동","496","2002","우정아파트","57.189","5"
"61","2021","1","28","    35,000","11260"," 상봉동","284-13","2010","동일스카이시티102동","63.82","6"
"62","2021","1","29","   118,500","11260"," 상봉동","501","2016","상봉듀오트리스","117.07","22"
"63","2021","1","30","    28,000","11260"," 상봉동","104-10","2019","리더스","29.57","9"
"64","2021","1","30","    27,800","11260"," 상봉동","333-1","2004","그랑아파트","63.6","4"
"65","2021","1","30","    52,500","11260"," 상봉동","495","1999","동부아파트","54","8"
"66","2021","1","30","    73,000","11260"," 상봉동","1","1997","건영1","84.96","12"
"67","2021","1","30","    57,800","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","1"
"68","2021","1","30","    28,800","11260"," 상봉동","89-10","2020","레그노시티","26.908","10"
