date,oil
1994/01,8047
1994/02,7173
1994/03,8156
1994/04,6527
1994/05,6364
1994/06,6169
1994/07,6273
1994/08,6256
1994/09,6498
1994/10,7329
1994/11,8057
1994/12,9494
1995/01,9381
1995/02,8262
1995/03,8242
1995/04,7790
1995/05,6734
1995/06,6319
1995/07,6464
1995/08,6951
1995/09,6833
1995/10,7615
1995/11,9116
1995/12,10248
1996/01,10054
1996/02,8729
1996/03,9548
1996/04,8231
1996/05,6823
1996/06,6853
1996/07,6827
1996/08,7269
1996/09,7369
1996/10,8543
1996/11,8582
1996/12,11071
1997/01,10688
1997/02,8989
1997/03,9731
1997/04,8666
1997/05,8286
1997/06,7222
1997/07,7893
1997/08,8490
1997/09,8294
1997/10,9690
1997/11,9776
1997/12,11354
1998/01,8016
1998/02,7212
1998/03,8420
1998/04,7302
1998/05,7173
1998/06,6616
1998/07,6760
1998/08,6760
1998/09,7414
1998/10,7447
1998/11,7922
1998/12,9541
1999/01,9007
1999/02,8165
1999/03,9189
1999/04,8214
1999/05,6889
1999/06,6838
1999/07,7705
1999/08,7582
1999/09,7696
1999/10,8062
1999/11,8395
1999/12,9529
2000/01,9319
2000/02,8911
2000/03,9166
2000/04,8044
2000/05,8283
2000/06,7490
2000/07,7357
2000/08,7913
2000/09,7828
2000/10,8001
2000/11,8667
2000/12,9301
2001/01,9781
2001/02,8287
2001/03,9034
2001/04,7706
2001/05,7997
2001/06,7923
2001/07,7112
2001/08,7640
2001/09,8362
2001/10,7644
2001/11,8689
2001/12,10210
2002/01,9665
2002/02,8527
2002/03,9291
2002/04,8513
2002/05,7702
2002/06,7260
2002/07,7463
2002/08,7868
2002/09,8254
2002/10,8412
2002/11,9105
2002/12,10353
2003/01,10137
2003/02,8835
2003/03,8758
2003/04,7541
2003/05,8013
2003/06,8045
2003/07,7558
2003/08,7807
2003/09,7699
2003/10,8869
2003/11,9059
2003/12,10059
2004/01,9480
2004/02,8362
2004/03,9049
2004/04,7860
2004/05,7925
2004/06,7822
2004/07,7505
2004/08,8059
2004/09,7906
2004/10,8447
2004/11,8530
2004/12,9695
2005/01,9664
2005/02,8362
2005/03,9634
2005/04,8343
2005/05,7769
2005/06,7977
2005/07,7530
2005/08,8058
2005/09,7922
2005/10,7675
2005/11,8647
2005/12,9944
2006/01,9466
2006/02,8191
2006/03,8946
2006/04,8001
2006/05,8077
2006/06,7910
2006/07,7471
2006/08,8341
2006/09,7921
2006/10,8173
2006/11,9190
2006/12,10144
2007/01,9779
2007/02,8734
2007/03,9215
2007/04,8687
2007/05,8630
2007/06,8157
2007/07,8231
2007/08,8304
2007/09,8292
2007/10,8819
2007/11,9136
2007/12,9511
2008/01,9507
2008/02,8557
2008/03,9018
2008/04,7949
2008/05,8459
2008/06,7632
2008/07,7936
2008/08,7937
2008/09,8053
2008/10,7906
2008/11,7968
2008/12,9250
2009/01,8906
2009/02,8580
2009/03,8819
2009/04,8610
2009/05,8628
2009/06,8097
2009/07,7951
2009/08,8170
2009/09,7834
2009/10,8674
2009/11,8570
2009/12,9499
2010/01,9158
2010/02,8205
2010/03,8793
2010/04,8621
2010/05,8543
2010/06,8215
2010/07,8183
2010/08,8653
2010/09,8265
2010/10,8711
2010/11,9077
2010/12,9878
2011/01,9631
2011/02,8476
2011/03,9140
2011/04,7595
2011/05,8149
2011/06,8271
2011/07,8699
2011/08,8873
2011/09,8735
2011/10,8862
2011/11,8917
2011/12,9798
2012/01,9363
2012/02,8845
2012/03,8578
2012/04,8069
2012/05,8846
2012/06,8930
2012/07,8823
2012/08,8709
2012/09,8581
2012/10,8836
2012/11,9139
2012/12,9447
2013/01,9367
2013/02,8197
2013/03,8730
2013/04,8413
2013/05,8575
2013/06,8673
2013/07,8822
2013/08,9047
2013/09,8345
2013/10,8819
2013/11,9143
2013/12,9680
2014/01,9002
2014/02,8196
2014/03,8943
2014/04,8404
2014/05,8773
2014/06,8434
2014/07,8659
2014/08,8997
2014/09,8413
2014/10,8773
2014/11,8738
2014/12,9612
2015/01,9461
2015/02,8741
2015/03,9373
2015/04,8855
2015/05,8517
2015/06,8533
2015/07,8697
2015/08,9415
2015/09,8831
2015/10,9385
2015/11,9511
2015/12,10246
2016/01,9988
2016/02,9655
2016/03,9686
2016/04,8952
