Date,Open,High,Low,Close,Volume,Adj Close
8/11/2015,29.01,29.889999,21.01,27.790001,22217400,27.790001
9/1/2015,27.23,29,24.6,26.940001,16538600,26.940001
10/1/2015,26.469999,31.870001,24.34,28.459999,32488300,28.459999
11/2/2015,28.540001,30.15,24.9,25.4,15563200,25.4
12/1/2015,25.389999,26.25,21.99,23.139999,18956100,23.139999
1/4/2016,22.639999,23,15.48,16.799999,25328600,16.799999
2/1/2016,17.889999,18.959999,13.91,18.120001,28425100,18.120001
3/1/2016,18.469999,20.32,15.33,16.549999,20224400,16.549999
4/1/2016,16.41,17.98,14.32,14.62,27427300,14.62
5/2/2016,14.73,15.49,13.73,15.22,22036600,15.22
6/1/2016,15.22,17.07,14,16.91,23272200,16.91
7/1/2016,16.93,18.9,15.69,16.639999,26558900,16.639999
8/1/2016,16.65,19.83,16.200001,19.780001,30990300,19.780001
