Flow,TSS
156.00 ,17.00 
230.50 ,26.00 
291.30 ,22.00 
337.49 ,99.00 
360.23 ,43.00 
391.72 ,25.00 
368.01 ,44.00 
490.09 ,31.00 
928.22 ,47.00 
1363.66 ,44.00 
1776.73 ,104.00 
1213.96 ,63.00 
581.38 ,62.00 
257.85 ,52.00 
375.40 ,143.00 
400.70 ,72.00 
385.00 ,50.00 
300.00 ,27.00 
284.00 ,28.00 
347.00 ,36.00 
447.09 ,41.00 
835.79 ,111.00 
1061.43 ,152.00 
1157.21 ,345.00 
1223.65 ,430.00 
1187.55 ,330.00 
1039.60 ,294.00 
920.05 ,192.00 
416.12 ,56.00 
384.07 ,54.00 
357.00 ,39.00 
287.53 ,26.00 
