"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","1","   325,000","11680"," 역삼동","713-7","2007","래미안펜타빌","157.37","4"
"2","2021","4","1","    31,000","11680"," 역삼동","720-25","2002","대우디오빌","30.03","7"
"3","2021","4","2","    89,900","11680"," 역삼동","707-15","2004","우정에쉐르3","63.67","7"
"4","2021","4","3","    86,000","11680"," 역삼동","713-11","2006","역삼I'PARK","28.246","13"
"5","2021","4","5","    43,000","11680"," 역삼동","706-20","2001","한화진넥스빌","43.58","20"
"6","2021","4","6","   275,000","11680"," 역삼동","711-3","2016","역삼자이","84.993","6"
"7","2021","4","8","   193,000","11680"," 역삼동","755-4","2005","e-편한세상","59.606","5"
"8","2021","4","8","   310,000","11680"," 역삼동","713-7","2007","래미안펜타빌","136.28","8"
"9","2021","4","9","    74,500","11680"," 역삼동","707-18","2004","역삼우정에쉐르2","49.38","3"
"10","2021","4","9","    45,000","11680"," 역삼동","720-25","2002","대우디오빌","36.96","17"
"11","2021","4","14","    38,000","11680"," 역삼동","836","1996","한스빌(836)","39.89","4"
"12","2021","4","15","    43,500","11680"," 역삼동","824-25","2004","대우디오빌플러스","43.99","12"
"13","2021","4","16","    23,500","11680"," 역삼동","606-18","1999","현대휴먼터치빌","25.92","13"
"14","2021","4","17","   259,000","11680"," 역삼동","755-4","2005","e-편한세상","84.991","10"
"15","2021","4","17","   270,000","11680"," 역삼동","709-5","2014","테헤란아이파크","92.6232","19"
"16","2021","4","18","    39,500","11680"," 역삼동","836","1996","한스빌(836)","39.89","3"
"17","2021","4","21","    22,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.1","1"
"18","2021","4","23","    18,000","11680"," 역삼동","727-2","2012","대명벨리온","17.684","3"
"19","2021","4","23","   139,000","11680"," 역삼동","826-37","2007","쌍용플레티넘밸류","84.9","12"
"20","2021","4","24","    18,000","11680"," 역삼동","706-10","2003","우림루미아트2","24","5"
"21","2021","4","27","   310,000","11680"," 역삼동","763-16","2009","래미안그레이튼","142.06","9"
"22","2021","4","27","   320,000","11680"," 역삼동","713-11","2006","역삼I'PARK","144.431","16"
"23","2021","4","29","    53,000","11680"," 역삼동","783-28","2002","갤러리아트","53.65","2"
"24","2021","4","30","   235,000","11680"," 역삼동","757","2005","역삼래미안","80.87","9"
"25","2021","4","30","    18,000","11680"," 역삼동","727-9","2012","요진와이시티미니","12.1","7"
"26","2021","4","30","   307,000","11680"," 역삼동","754","2006","개나리래미안","129.8","20"
"27","2021","4","1","   214,500","11680"," 개포동","1280","2019","래미안블레스티지","59.967","5"
"28","2021","4","4","   266,000","11680"," 개포동","138","2019","디에이치아너힐즈","84.357","20"
"29","2021","4","9","   127,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","11"
"30","2021","4","12","    74,800","11680"," 개포동","1164-13","2000","새롬(1164-13)","59.67","6"
"31","2021","4","12","   325,000","11680"," 개포동","649","1984","경남2차","182.2","3"
"32","2021","4","13","   323,000","11680"," 개포동","652","1984","개포우성3차","161","3"
"33","2021","4","13","   204,500","11680"," 개포동","1280","2019","래미안블레스티지","59.837","14"
"34","2021","4","14","   268,000","11680"," 개포동","1280","2019","래미안블레스티지","84.94","25"
"35","2021","4","15","   168,000","11680"," 개포동","12","1992","삼익대청아파트","60","14"
"36","2021","4","15","   174,000","11680"," 개포동","655-2","1988","개포2차현대아파트(220)","77.75","9"
"37","2021","4","20","   325,000","11680"," 개포동","653","1984","현대1차101동~106동","177.19","12"
"38","2021","4","21","   206,000","11680"," 개포동","185","1983","개포주공7단지","53.46","9"
"39","2021","4","23","   259,000","11680"," 개포동","138","2019","디에이치아너힐즈","76.1709","6"
"40","2021","4","24","   290,000","11680"," 개포동","177","1986","현대3","131.83","3"
"41","2021","4","26","   270,000","11680"," 개포동","187","1983","개포주공5단지","83.17","9"
"42","2021","4","26","   303,000","11680"," 개포동","649","1984","경남2차","149.21","14"
"43","2021","4","26","   303,000","11680"," 개포동","649","1984","경남2차","149.21","14"
"44","2021","4","27","   244,000","11680"," 개포동","138","2019","디에이치아너힐즈","76.1709","15"
"45","2021","4","30","   225,000","11680"," 개포동","652","1984","개포우성3차","104.43","14"
"46","2021","4","2","   530,000","11680"," 청담동","130-7","2010","마크힐스이스트윙","192.86","11"
"47","2021","4","8","   550,000","11680"," 청담동","64-1","2019","청담어퍼하우스","197.73","4"
"48","2021","4","9","   197,000","11680"," 청담동","43","1999","청담우방아파트","118.53","9"
"49","2021","4","10","   425,000","11680"," 청담동","102-7","1997","연세리버빌","236.42","10"
"50","2021","4","16","   315,000","11680"," 청담동","134-15","1981","청담삼익아파트","109.49","7"
"51","2021","4","28","   150,500","11680"," 청담동","60","1999","삼성청담공원아파트","107.22","5"
"52","2021","4","28","   400,000","11680"," 청담동","134-15","1981","청담삼익아파트","161.75","5"
"53","2021","4","29","   207,000","11680"," 청담동","43","1999","청담우방아파트","118.53","10"
"54","2021","4","30","   167,000","11680"," 청담동","28-13","2000","골든아트빌","153.33","4"
"55","2021","4","30","   182,000","11680"," 청담동","134-38","2011","청담자이","49.593","9"
"56","2021","4","9","   203,000","11680"," 삼성동","53-2","1984","진흥아파트","104.31","2"
"57","2021","4","10","   205,000","11680"," 삼성동","57-9","2005","현대삼성동1차","159.69","1"
"58","2021","4","12","   282,000","11680"," 삼성동","11","2007","롯데캐슬프레미어","121.931","13"
"59","2021","4","16","    80,000","11680"," 삼성동","144-10","2004","우정에쉐르2","59.54","6"
"60","2021","4","20","    36,500","11680"," 삼성동","142-3","2004","LG선릉에클라트(B)","36.35","9"
"61","2021","4","21","    38,500","11680"," 삼성동","142-3","2004","LG선릉에클라트(B)","36.35","10"
"62","2021","4","23","    39,000","11680"," 삼성동","142-3","2004","LG선릉에클라트(B)","36.35","9"
"63","2021","4","26","    32,000","11680"," 삼성동","142-3","2004","LG선릉에클라트(B)","36.35","13"
"64","2021","4","29","    75,000","11680"," 삼성동","47-18","2003","삼성동드림하우스","115.89","2"
"65","2021","4","30","   170,000","11680"," 삼성동","106","1998","풍림(1차)","59.7","17"
"66","2021","4","1","   535,000","11680"," 대치동","1027","2015","래미안대치팰리스","151.31","25"
"67","2021","4","1","   248,000","11680"," 대치동","316","1979","은마","84.43","9"
"68","2021","4","6","   217,500","11680"," 대치동","316","1979","은마","76.79","8"
"69","2021","4","7","    30,000","11680"," 대치동","891-23","2004","대우아이빌명문가(891-23)","33.06","11"
"70","2021","4","7","   210,000","11680"," 대치동","316","1980","은마","76.79","14"
"71","2021","4","8","   235,000","11680"," 대치동","316","1980","은마","84.43","5"
"72","2021","4","8","   259,500","11680"," 대치동","511","1985","한보미도맨션2","84.96","5"
"73","2021","4","8","   233,000","11680"," 대치동","63","1984","대치우성아파트1동,2동,3동,5동,6동,7동","84.69","8"
"74","2021","4","9","   344,500","11680"," 대치동","511","1983","한보미도맨션1","128.01","11"
"75","2021","4","9","    38,000","11680"," 대치동","891-6","2004","테헤란로대우아이빌(891-6)","33.11","16"
"76","2021","4","10","   228,000","11680"," 대치동","63","1984","대치우성아파트1동,2동,3동,5동,6동,7동","84.69","6"
"77","2021","4","14","    65,000","11680"," 대치동","891-26","2003","대우아이빌멤버스(891-26)","54.966","12"
"78","2021","4","16","    82,000","11680"," 대치동","891-6","2004","테헤란로대우아이빌(891-6)","59.83","9"
"79","2021","4","16","   190,000","11680"," 대치동","992","1990","현대1","84.89","5"
"80","2021","4","17","   335,000","11680"," 대치동","888","2008","대치아이파크","119.58","12"
"81","2021","4","17","    68,000","11680"," 대치동","891-28","2004","대치동우정에쉐르1","59.98","9"
"82","2021","4","19","    28,000","11680"," 대치동","891-23","2004","대우아이빌명문가(891-23)","33.06","8"
"83","2021","4","20","   295,000","11680"," 대치동","500","1984","개포우성2","84.69","13"
"84","2021","4","21","    23,500","11680"," 대치동","890-49","2004","선릉역대우아이빌(890-49)","28.34","15"
"85","2021","4","22","   164,000","11680"," 대치동","929-8","2002","세연파크뷰","83.58","3"
"86","2021","4","22","   215,200","11680"," 대치동","316","1979","은마","84.43","1"
"87","2021","4","23","   250,000","11680"," 대치동","316","1980","은마","84.43","13"
"88","2021","4","27","   224,500","11680"," 대치동","316","1980","은마","76.79","6"
"89","2021","4","28","   300,000","11680"," 대치동","503","1983","개포우성1","84.81","5"
"90","2021","4","29","    28,000","11680"," 대치동","891-6","2004","테헤란로대우아이빌(891-6)","29.63","12"
"91","2021","4","30","   285,000","11680"," 대치동","985","1989","래미안대치하이스턴","110.39","10"
"92","2021","4","30","   265,000","11680"," 대치동","511","1985","한보미도맨션2","84.96","6"
"93","2021","4","30","    54,000","11680"," 대치동","894","2016","현대썬앤빌테헤란","35.61","6"
"94","2021","4","16","   140,000","11680"," 신사동","658","1998","로데오현대","84.96","8"
"95","2021","4","23","   470,000","11680"," 신사동","632","2004","압구정하이츠파크","213.05","20"
"96","2021","4","29","   131,000","11680"," 신사동","550-7","2003","체리빌","102.02","6"
"97","2021","4","1","    35,000","11680"," 논현동","58-2","2004","마일스디오빌","36.29","10"
"98","2021","4","5","   180,000","11680"," 논현동","261-8","1997","현대넥서스A동","242.48","6"
"99","2021","4","13","   128,000","11680"," 논현동","205-2","2005","논현동한화꿈에그린","67.671","10"
"100","2021","4","15","    34,500","11680"," 논현동","58-2","2004","마일스디오빌","36.29","6"
"101","2021","4","18","   101,000","11680"," 논현동","214-2","2002","논현베르빌","113.84","2"
"102","2021","4","20","   180,000","11680"," 논현동","105","1986","동현아파트1~6","84.92","2"
"103","2021","4","23","   446,000","11680"," 논현동","252","2012","논현라폴리움","240.03","6"
"104","2021","4","23","   111,000","11680"," 논현동","108","2009","논현웰스톤","83.64","2"
"105","2021","4","24","   315,000","11680"," 논현동","245","2004","동양파라곤","180.07","3"
"106","2021","4","24","   285,000","11680"," 논현동","245","2004","동양파라곤","157.41","3"
"107","2021","4","24","    98,000","11680"," 논현동","44-8","2003","지고하임(101동)","80.4","1"
"108","2021","4","27","   173,500","11680"," 논현동","22","1997","신동아(22)","84.69","9"
"109","2021","4","27","    90,000","11680"," 논현동","22","1997","신동아(22)","35.73","4"
"110","2021","4","28","   120,000","11680"," 논현동","108","2009","논현웰스톤","101.04","5"
"111","2021","4","29","   111,000","11680"," 논현동","103","1996","쌍용","59.91","6"
"112","2021","4","29","    92,000","11680"," 논현동","22","1997","신동아(22)","35.73","5"
"113","2021","4","29","   186,000","11680"," 논현동","105","1986","동현아파트1~6","84.92","7"
"114","2021","4","1","   318,000","11680"," 압구정동","447","1987","현대14차(203,204,205,206동)","84.98","3"
"115","2021","4","1","   325,000","11680"," 압구정동","434","1982","신현대12차","110.82","8"
"116","2021","4","5","   477,000","11680"," 압구정동","434","1982","신현대12차","155.52","12"
"117","2021","4","5","   800,000","11680"," 압구정동","456","1979","현대7차(73~77,82,85동)","245.2","11"
"118","2021","4","5","   543,000","11680"," 압구정동","369-1","1976","현대2차(10,11,20,23,24,25동)","160.29","8"
"119","2021","4","6","   345,000","11680"," 압구정동","397","1987","미성2차","118.63","10"
"120","2021","4","7","   282,000","11680"," 압구정동","443","1976","현대3차(61~64동)","82.5","7"
"121","2021","4","9","   303,000","11680"," 압구정동","443","1976","현대3차(61~64동)","82.5","7"
"122","2021","4","12","   305,000","11680"," 압구정동","528","1981","한양7","106.22","12"
"123","2021","4","12","   527,000","11680"," 압구정동","433","1983","신현대11차","171.43","8"
"124","2021","4","12","   305,000","11680"," 압구정동","528","1981","한양7","106.22","12"
"125","2021","4","13","   537,000","11680"," 압구정동","369-1","1976","현대1차(12,13,21,22,31,32,33동)","161.18","8"
"126","2021","4","13","   417,500","11680"," 압구정동","462","1977","현대4차저층(51~56동)","117.9","4"
"127","2021","4","14","   243,000","11680"," 압구정동","397","1987","미성2차","74.4","3"
"128","2021","4","14","   628,000","11680"," 압구정동","456","1978","현대6차(78~81,83,84,86,87동)","196.7","9"
"129","2021","4","15","   455,000","11680"," 압구정동","456","1978","현대6차(78~81,83,84,86,87동)","144.2","13"
"130","2021","4","16","   550,000","11680"," 압구정동","434","1982","신현대12차","155.52","12"
"131","2021","4","17","   270,000","11680"," 압구정동","490","1977","한양1차(영동한양)","78.05","12"
"132","2021","4","20","   545,000","11680"," 압구정동","433","1983","신현대11차","171.43","7"
"133","2021","4","20","   545,000","11680"," 압구정동","433","1983","신현대11차","171.43","7"
"134","2021","4","21","   340,000","11680"," 압구정동","447","1987","현대14차(203,204,205,206동)","84.56","12"
"135","2021","4","21","   340,000","11680"," 압구정동","447","1987","현대14차(203,204,205,206동)","84.56","12"
"136","2021","4","22","   305,000","11680"," 압구정동","443","1976","현대3차(61~64동)","82.5","2"
"137","2021","4","22","   319,000","11680"," 압구정동","484","1980","한양6","106.71","2"
"138","2021","4","23","   400,000","11680"," 압구정동","369-1","1976","현대1차(12,13,21,22,31,32,33동)","131.48","9"
"139","2021","4","23","   398,000","11680"," 압구정동","397","1987","미성2차","140.9","12"
"140","2021","4","24","   350,000","11680"," 압구정동","433","1983","신현대11차","115.23","4"
"141","2021","4","24","   320,000","11680"," 압구정동","528","1981","한양7","106.22","11"
"142","2021","4","24","   350,000","11680"," 압구정동","455","1977","현대5차(71,72동)","82.23","13"
"143","2021","4","26","   215,000","11680"," 압구정동","490","1977","한양1차(영동한양)","49.98","1"
"144","2021","4","26","   310,000","11680"," 압구정동","490","1977","한양1차(영동한양)","91.21","7"
"145","2021","4","26","   447,000","11680"," 압구정동","493","1978","한양2","147.41","2"
"146","2021","4","26","   530,000","11680"," 압구정동","414","1982","미성1차","180.56","13"
"147","2021","4","26","   321,000","11680"," 압구정동","414","1982","미성1차","105.62","6"
"148","2021","4","26","   529,000","11680"," 압구정동","369-1","1976","현대2차(10,11,20,23,24,25동)","161.19","2"
"149","2021","4","26","   498,000","11680"," 압구정동","426","1982","신현대9차","152.39","4"
"150","2021","4","6","   165,000","11680"," 세곡동","579","2013","강남엘에이치1단지","74.74","8"
"151","2021","4","6","   165,000","11680"," 세곡동","579","2013","강남엘에이치1단지","74.74","8"
"152","2021","4","8","   142,700","11680"," 세곡동","579","2013","강남엘에이치1단지","59.86","6"
"153","2021","4","19","   154,800","11680"," 세곡동","579","2013","강남엘에이치1단지","84.83","1"
"154","2021","4","24","   173,000","11680"," 세곡동","533","2012","세곡푸르지오","84.83","15"
"155","2021","4","1","   149,000","11680"," 자곡동","602","2014","엘에이치강남아이파크","59.96","4"
"156","2021","4","5","   163,000","11680"," 자곡동","686","2014","강남한양수자인(4단지)","84.89","5"
"157","2021","4","9","   169,600","11680"," 자곡동","602","2014","엘에이치강남아이파크","74.89","2"
"158","2021","4","12","   144,800","11680"," 자곡동","602","2014","엘에이치강남아이파크","59.96","3"
"159","2021","4","16","   165,000","11680"," 자곡동","602","2014","엘에이치강남아이파크","74.97","10"
"160","2021","4","26","   153,000","11680"," 자곡동","611","2014","래미안강남힐즈","91.95","13"
"161","2021","4","26","   153,000","11680"," 자곡동","611","2014","래미안강남힐즈","91.95","13"
"162","2021","4","28","   130,000","11680"," 자곡동","686","2014","강남한양수자인(4단지)","84.99","7"
"163","2021","4","17","   172,500","11680"," 율현동","513","2015","강남한신휴플러스8단지","114.91","3"
"164","2021","4","6","   237,500","11680"," 일원동","716","1993","목련타운","99.79","13"
"165","2021","4","7","   183,000","11680"," 일원동","719","1994","푸른마을아파트101동~111동","84.93","14"
"166","2021","4","7","   150,000","11680"," 일원동","719","1994","푸른마을아파트101동~111동","59.76","14"
"167","2021","4","9","   175,000","11680"," 일원동","719","1994","푸른마을아파트101동~111동","84.93","15"
"168","2021","4","10","   247,000","11680"," 일원동","718","1994","샘터마을","134.438","13"
"169","2021","4","16","   235,000","11680"," 일원동","735","1993","가람","84.95","2"
"170","2021","4","22","   148,000","11680"," 일원동","719","1994","푸른마을아파트101동~111동","59.76","11"
"171","2021","4","27","   155,000","11680"," 일원동","626","1986","삼성","84.67","1"
"172","2021","4","3","   183,000","11680"," 수서동","795","2014","강남데시앙포레","84.92","9"
"173","2021","4","3","    86,000","11680"," 수서동","736","1992","신동아","33.18","2"
"174","2021","4","5","   117,000","11680"," 수서동","736","1992","신동아","49.96","2"
"175","2021","4","6","   158,000","11680"," 수서동","795","2014","강남데시앙포레","59.97","9"
"176","2021","4","6","   158,000","11680"," 수서동","795","2014","강남데시앙포레","59.97","9"
"177","2021","4","7","    90,500","11680"," 수서동","746","1993","까치마을","34.44","12"
"178","2021","4","9","   178,100","11680"," 수서동","747","1997","삼성","84.97","4"
"179","2021","4","9","   178,100","11680"," 수서동","747","1997","삼성","84.97","4"
"180","2021","4","10","    89,900","11680"," 수서동","736","1992","신동아","33.18","13"
"181","2021","4","11","    92,500","11680"," 수서동","736","1992","신동아","33.18","8"
"182","2021","4","14","   327,000","11680"," 수서동","799","2016","강남 더샵 포레스트","146.7139","11"
"183","2021","4","16","   133,000","11680"," 수서동","746","1993","까치마을","49.5","1"
"184","2021","4","17","    91,000","11680"," 수서동","736","1992","신동아","33.18","7"
"185","2021","4","19","   110,000","11680"," 수서동","736","1992","신동아","39.53","14"
"186","2021","4","19","   117,700","11680"," 수서동","736","1992","신동아","49.96","6"
"187","2021","4","20","   179,000","11680"," 수서동","747","1997","삼성","84.97","15"
"188","2021","4","21","   118,000","11680"," 수서동","736","1992","신동아","49.96","8"
"189","2021","4","23","    87,300","11680"," 수서동","746","1993","까치마을","34.44","5"
"190","2021","4","24","   137,000","11680"," 수서동","708","1992","삼익","60","15"
"191","2021","4","24","   135,000","11680"," 수서동","708","1992","삼익","60","5"
"192","2021","4","26","   117,000","11680"," 수서동","736","1992","신동아","39.53","11"
"193","2021","4","28","    68,000","11680"," 수서동","746","1993","까치마을","39.6","10"
"194","2021","4","29","   190,000","11680"," 수서동","712","1993","수서한아름","129.45","1"
"195","2021","4","1","   179,000","11680"," 도곡동","949-2","2006","도곡푸르지오102동","147.21","4"
"196","2021","4","1","   179,000","11680"," 도곡동","949-2","2006","도곡푸르지오102동","147.21","4"
"197","2021","4","1","    40,200","11680"," 도곡동","467-19","1999","현대비젼21","32.65","12"
"198","2021","4","2","    39,800","11680"," 도곡동","467-19","1999","현대비젼21","33.1","21"
"199","2021","4","3","   303,000","11680"," 도곡동","467","2002","타워팰리스1","137.24","42"
