"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","1","   174,000","11740"," 명일동","56","1986","현대(고덕)","131.83","11"
"2","2021","2","1","   127,800","11740"," 명일동","359","2019","래미안솔베뉴","59.11","9"
"3","2021","2","3","   138,000","11740"," 명일동","257","1985","고덕주공9","83.52","2"
"4","2021","2","6","    94,300","11740"," 명일동","251-1","1988","현대(명일)","84.66","15"
"5","2021","2","9","   146,000","11740"," 명일동","270","1984","삼익가든","117.76","10"
"6","2021","2","10","    73,800","11740"," 명일동","352-18","2004","태천해오름102동B","94.64","6"
"7","2021","2","15","   110,000","11740"," 명일동","332","1999","명일엘지","84.9","21"
"8","2021","2","16","   165,000","11740"," 명일동","44","1986","신동아","112.93","6"
"9","2021","2","16","   108,000","11740"," 명일동","270","1984","삼익가든","66.87","10"
"10","2021","2","22","    82,700","11740"," 명일동","332","1999","명일엘지","59.79","3"
"11","2021","2","22","   165,000","11740"," 명일동","15","1983","삼익그린2차","107.555","2"
"12","2021","2","23","   129,000","11740"," 명일동","15","1984","삼익그린2차","66.87","14"
"13","2021","2","25","   137,000","11740"," 명일동","359","2019","래미안솔베뉴","59.11","33"
"14","2021","2","26","   133,000","11740"," 명일동","359","2019","래미안솔베뉴","59.11","15"
"15","2021","2","27","   130,000","11740"," 명일동","15","1983","삼익그린2차","66.87","14"
"16","2021","2","27","   117,000","11740"," 명일동","15","1984","삼익그린2차","54.81","14"
"17","2021","2","1","   143,000","11740"," 고덕동","693","2019","고덕그라시움","59.785","27"
"18","2021","2","1","   114,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.14","12"
"19","2021","2","6","   138,500","11740"," 고덕동","312","1995","배재현대","84.9","19"
"20","2021","2","8","   176,000","11740"," 고덕동","693","2019","고덕그라시움","84.24","12"
"21","2021","2","15","   133,500","11740"," 고덕동","499","2011","고덕 아이파크","59.99","7"
"22","2021","2","16","   133,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","59.35","28"
"23","2021","2","17","   131,000","11740"," 고덕동","693","2019","고덕그라시움","59.785","19"
"24","2021","2","20","   106,000","11740"," 고덕동","312","1995","배재현대","59.94","1"
"25","2021","2","20","   125,000","11740"," 고덕동","486","1996","아남1","84.91","5"
"26","2021","2","20","   189,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","97.26","13"
"27","2021","2","20","   140,000","11740"," 고덕동","693","2019","고덕그라시움","59.028","4"
"28","2021","2","22","   118,700","11740"," 고덕동","486","1996","아남1","84.91","6"
"29","2021","2","22","   111,500","11740"," 고덕동","486","1996","아남1","78.3","13"
"30","2021","2","25","   125,000","11740"," 고덕동","486","1996","아남1","84.91","5"
"31","2021","2","26","   149,000","11740"," 고덕동","693","2019","고덕그라시움","59.785","19"
"32","2021","2","27","   112,000","11740"," 고덕동","486","1996","아남1","78.3","10"
"33","2021","2","27","   122,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.09","12"
"34","2021","2","3","   130,700","11740"," 상일동","513","2019","고덕센트럴IPARK","59.97","13"
"35","2021","2","4","   158,500","11740"," 상일동","513","2019","고덕센트럴IPARK","84.91","22"
"36","2021","2","6","   155,000","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.923","10"
"37","2021","2","6","   135,000","11740"," 상일동","519","2020","고덕아르테온","59.96","10"
"38","2021","2","18","   173,000","11740"," 상일동","519","2020","고덕아르테온","84.94","25"
"39","2021","2","19","   159,000","11740"," 상일동","519","2020","고덕아르테온","84.97","11"
"40","2021","2","20","   174,000","11740"," 상일동","519","2020","고덕아르테온","84.97","12"
"41","2021","2","21","   140,000","11740"," 상일동","513","2019","고덕센트럴IPARK","59.97","6"
"42","2021","2","23","   186,500","11740"," 상일동","519","2020","고덕아르테온","84.97","12"
"43","2021","2","23","   141,000","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","59.981","6"
"44","2021","2","1","    39,500","11740"," 길동","387-4","2018","다성이즈빌(387-4)","32.4","16"
"45","2021","2","1","   105,000","11740"," 길동","400","1994","길동우성","84.75","17"
"46","2021","2","1","    90,000","11740"," 길동","365-1","1998","라인","105.71","5"
"47","2021","2","2","    30,000","11740"," 길동","388-7","2015","다성이즈빌","36.35","13"
"48","2021","2","3","    90,500","11740"," 길동","160","1983","신동아","61.12","1"
"49","2021","2","4","     9,500","11740"," 길동","456-3","2013","강동큐브","12.49","15"
"50","2021","2","4","     9,500","11740"," 길동","456-3","2013","강동큐브","12.49","15"
"51","2021","2","6","    71,800","11740"," 길동","100","2005","형인허브빌아파트","83.73","10"
"52","2021","2","6","   145,000","11740"," 길동","474","2003","강동LG자이","126.43","13"
