"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","5","    65,500","11305"," 미아동","1354","2004","벽산라이브파크","59.67","18"
"2","2021","8","5","    77,000","11305"," 미아동","1354","2004","벽산라이브파크","84.89","16"
"3","2021","8","5","    79,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","18"
"4","2021","8","6","    69,000","11305"," 미아동","1354","2004","벽산라이브파크","60","13"
"5","2021","8","7","    88,000","11305"," 미아동","797","2006","미아1차래미안","84.58","1"
"6","2021","8","9","   106,000","11305"," 미아동","811","2011","두산위브트레지움","84.95","17"
"7","2021","8","10","    71,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","8"
"8","2021","8","10","    80,000","11305"," 미아동","811","2011","두산위브트레지움","59.99","12"
"9","2021","8","11","   149,500","11305"," 미아동","461","2010","송천센트레빌","114.475","6"
"10","2021","8","11","    86,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","59.33","6"
"11","2021","8","11","   105,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.29","5"
"12","2021","8","12","    86,500","11305"," 미아동","812","2010","삼성래미안트리베라2단지","59.33","8"
"13","2021","8","12","    94,500","11305"," 미아동","1353","2004","에스케이북한산시티","114.85","16"
"14","2021","8","13","    72,500","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","12"
"15","2021","8","13","    58,000","11305"," 미아동","1361","2013","이너스내안에","84.63","3"
"16","2021","8","13","    82,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.71","19"
"17","2021","8","14","    69,800","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","19"
"18","2021","8","14","    85,000","11305"," 미아동","1357","2003","삼각산아이원","84.705","9"
"19","2021","8","14","    85,000","11305"," 미아동","1354","2004","벽산라이브파크","114.68","4"
"20","2021","8","14","    69,000","11305"," 미아동","1354","2004","벽산라이브파크","60","20"
"21","2021","8","14","   113,000","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","84.67","1"
"22","2021","8","14","   126,500","11305"," 미아동","813","2010","래미안트리베라1단지","114.98","20"
"23","2021","8","16","    89,000","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","7"
"24","2021","8","16","    80,000","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","4"
"25","2021","8","16","    73,000","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","1"
"26","2021","8","16","    84,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","13"
"27","2021","8","17","    99,000","11305"," 미아동","461","2010","송천센트레빌","59.762","11"
"28","2021","8","18","    73,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","18"
