"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","2","    80,000","11500"," 염창동","288","1994","현대1","84.34","3"
"2","2021","6","3","    80,000","11500"," 염창동","263","1994","태진한솔","58.87","12"
"3","2021","6","3","    83,500","11500"," 염창동","240-32","1999","금호타운","59.88","5"
"4","2021","6","3","    74,900","11500"," 염창동","66-9","1990","염창동한강우성","65.88","3"
"5","2021","6","3","   102,000","11500"," 염창동","263","1994","태진한솔","84.97","11"
"6","2021","6","5","   106,500","11500"," 염창동","300","2005","강변한솔솔파크","84.97","7"
"7","2021","6","6","    88,300","11500"," 염창동","268","1997","관음삼성","59.96","14"
"8","2021","6","7","    77,000","11500"," 염창동","292","1998","동아","59.97","7"
"9","2021","6","7","   115,500","11500"," 염창동","308","2014","강서쌍용예가","84.9025","17"
"10","2021","6","10","   141,000","11500"," 염창동","257","2001","리버펠리스1동","142.42","9"
"11","2021","6","12","    68,500","11500"," 염창동","255","1999","무학","59.38","1"
"12","2021","6","12","    84,500","11500"," 염창동","288","1994","현대1","84.34","2"
"13","2021","6","12","    82,000","11500"," 염창동","248-3","1994","삼성하나로","84.78","3"
"14","2021","6","12","    75,000","11500"," 염창동","295","2001","성원","59.91","7"
"15","2021","6","13","    91,800","11500"," 염창동","308","2014","강서쌍용예가","59.9194","7"
"16","2021","6","14","    76,000","11500"," 염창동","255","1999","무학","59.38","12"
"17","2021","6","16","    79,800","11500"," 염창동","292","1998","동아","59.97","16"
"18","2021","6","18","   105,500","11500"," 염창동","281-22","2005","염창1차한화꿈에그린","59.94","2"
"19","2021","6","21","    77,000","11500"," 염창동","294","1999","길훈","59.94","1"
"20","2021","6","21","    73,200","11500"," 염창동","289","1995","신동아","59.82","4"
"21","2021","6","22","    78,500","11500"," 염창동","271-4","2005","염창2차보람","59.87","11"
"22","2021","6","22","    78,500","11500"," 염창동","271-4","2005","염창2차보람","59.87","11"
"23","2021","6","23","   145,000","11500"," 염창동","309","2019","e편한세상염창","84.9529","12"
"24","2021","6","23","    63,000","11500"," 염창동","267-4","2007","노블레스2(267-4)","83.29","3"
"25","2021","6","23","   112,500","11500"," 염창동","303","2007","강변코아루","84.77","12"
"26","2021","6","23","   111,800","11500"," 염창동","300","2005","강변한솔솔파크","84.97","13"
"27","2021","6","24","   112,500","11500"," 염창동","302","2006","염창2차한화꿈에그린","84.99","7"
"28","2021","6","24","    77,000","11500"," 염창동","244-2","1995","삼성한마음","59.94","9"
"29","2021","6","24","    85,000","11500"," 염창동","291","1996","현대3","83.71","7"
"30","2021","6","26","   158,700","11500"," 염창동","272-11","2005","롯데캐슬","134.5767","6"
"31","2021","6","26","    83,500","11500"," 염창동","262-2","1999","대림","59.94","7"
"32","2021","6","26","    83,000","11500"," 염창동","290","1998","벽산늘푸른","84.94","4"
"33","2021","6","28","    54,500","11500"," 염창동","263-2","1995","주상복합태진가람","58.86","9"
"34","2021","6","29","    76,500","11500"," 염창동","270-1","1999","태영","59.97","5"
"35","2021","6","30","    77,300","11500"," 염창동","292","1998","동아","59.97","5"
"36","2021","6","30","    98,000","11500"," 염창동","258-1","1999","동아3","59.83","17"
"37","2021","6","1","    78,000","11500"," 등촌동","695","1995","주공5","58.14","8"
"38","2021","6","2","    63,000","11500"," 등촌동","695","1995","주공5","37.67","2"
"39","2021","6","3","    80,000","11500"," 등촌동","695","1995","주공5","58.14","13"
"40","2021","6","3","    62,500","11500"," 등촌동","687","1995","등촌1,2단지주공아파트","41.85","6"
"41","2021","6","4","    80,300","11500"," 등촌동","640","2002","보람(640)","83.07","2"
"42","2021","6","4","    80,000","11500"," 등촌동","695","1995","주공5","58.14","12"
"43","2021","6","5","    78,000","11500"," 등촌동","642","1999","제일(코오롱)","84.83","7"
"44","2021","6","5","    83,000","11500"," 등촌동","688","1995","주공3","58.14","7"
"45","2021","6","5","    60,000","11500"," 등촌동","687","1995","등촌1,2단지주공아파트","41.85","12"
"46","2021","6","7","    53,200","11500"," 등촌동","630-3","1992","우성","47.38","14"
"47","2021","6","8","    55,500","11500"," 등촌동","653-13","1997","우당","84.64","1"
"48","2021","6","8","    59,000","11500"," 등촌동","695","1995","주공5","37.67","11"
"49","2021","6","8","    75,800","11500"," 등촌동","628-15","1997","등촌라인(조합)","59.91","13"
"50","2021","6","8","    82,700","11500"," 등촌동","702","1995","주공10","58.14","13"
"51","2021","6","11","    60,000","11500"," 등촌동","695","1995","주공5","37.67","15"
"52","2021","6","11","    88,500","11500"," 등촌동","701","1994","진로,미주아파트","84.96","5"
"53","2021","6","12","    60,000","11500"," 등촌동","702","1995","주공10","37.67","2"
"54","2021","6","12","    77,500","11500"," 등촌동","655-27","1995","현대","84.62","7"
"55","2021","6","12","    60,000","11500"," 등촌동","687","1995","등촌1,2단지주공아파트","41.85","2"
"56","2021","6","12","    79,000","11500"," 등촌동","695","1995","주공5","58.14","10"
"57","2021","6","13","    78,500","11500"," 등촌동","695","1995","주공5","58.14","5"
"58","2021","6","14","   102,500","11500"," 등촌동","691-3","1994","부영","80.64","6"
"59","2021","6","15","    68,500","11500"," 등촌동","632-4","1997","삼성한사랑1","59.73","8"
"60","2021","6","15","   114,420","11500"," 등촌동","694","1995","대림","123.72","4"
"61","2021","6","15","    79,300","11500"," 등촌동","695","1995","주공5","58.14","9"
"62","2021","6","16","    63,000","11500"," 등촌동","695","1995","주공5","37.67","10"
"63","2021","6","17","    86,000","11500"," 등촌동","634-2","1999","한사랑2삼성","84.96","3"
"64","2021","6","18","    74,200","11500"," 등촌동","655-27","1995","현대","84.62","1"
"65","2021","6","18","    65,000","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","10"
"66","2021","6","18","    62,000","11500"," 등촌동","695","1995","주공5","37.67","13"
"67","2021","6","18","    70,000","11500"," 등촌동","688","1995","주공3","58.14","5"
"68","2021","6","20","    78,500","11500"," 등촌동","702","1995","주공10","58.14","15"
"69","2021","6","21","    79,800","11500"," 등촌동","695","1995","주공5","58.14","10"
"70","2021","6","21","    65,000","11500"," 등촌동","510-7","2009","해태골든팰리스","84.55","3"
"71","2021","6","21","   108,500","11500"," 등촌동","715","2005","등촌동아이파크","84.7556","17"
"72","2021","6","21","    73,000","11500"," 등촌동","632-2","1998","태영","59.97","12"
"73","2021","6","22","    73,500","11500"," 등촌동","632-2","1998","태영","59.97","5"
"74","2021","6","23","    80,500","11500"," 등촌동","695","1995","주공5","58.14","11"
"75","2021","6","23","   109,500","11500"," 등촌동","715","2004","등촌동아이파크","84.9958","12"
"76","2021","6","24","    32,200","11500"," 등촌동","725","2021","마곡루나플라체","22.05","14"
"77","2021","6","25","    60,000","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","12"
"78","2021","6","25","    78,000","11500"," 등촌동","655-27","1995","현대","84.62","7"
"79","2021","6","25","    64,900","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","12"
"80","2021","6","25","    63,490","11500"," 등촌동","642","1999","제일(코오롱)","59.99","9"
"81","2021","6","26","    61,000","11500"," 등촌동","707","1994","등촌7,8단지주공아파트","41.85","5"
"82","2021","6","26","    70,700","11500"," 등촌동","628-15","1997","등촌라인(조합)","59.91","1"
"83","2021","6","26","    87,000","11500"," 등촌동","712","2002","코오롱오투빌2","84.96","13"
