"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","    88,000","11620"," 봉천동","1712","2003","관악드림(동아)","60","21"
"2","2021","5","1","    82,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","15"
"3","2021","5","1","    86,800","11620"," 봉천동","1712","2003","관악드림(동아)","60","25"
"4","2021","5","1","    79,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","19"
"5","2021","5","1","    59,990","11620"," 봉천동","729-32","1996","해태보라매타워","59.94","14"
"6","2021","5","1","   110,000","11620"," 봉천동","1717","2004","관악푸르지오","84.2","16"
"7","2021","5","1","    70,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","59.93","13"
"8","2021","5","1","    98,500","11620"," 봉천동","859-17","2010","관악위버폴리스","107.08","12"
"9","2021","5","1","    91,800","11620"," 봉천동","1708","2000","두산","59.92","12"
"10","2021","5","1","    93,000","11620"," 봉천동","1708","2000","두산","59.92","8"
"11","2021","5","1","   115,000","11620"," 봉천동","1703","2000","봉천동아","114.69","14"
"12","2021","5","1","   107,500","11620"," 봉천동","1712","2003","관악드림(삼성)","84.96","3"
"13","2021","5","3","    22,000","11620"," 봉천동","463-1","2013","WS타워","19.63","6"
"14","2021","5","3","    80,800","11620"," 봉천동","1716","2003","벽산타운II","79.28","2"
"15","2021","5","3","    82,000","11620"," 봉천동","1707","2001","은천1","84.65","15"
"16","2021","5","3","    29,500","11620"," 봉천동","893-1","2014","프라비다M","30.12","13"
"17","2021","5","3","    86,000","11620"," 봉천동","1708","2000","두산","59.89","6"
"18","2021","5","3","   113,000","11620"," 봉천동","1708","2000","두산","84.87","10"
"19","2021","5","4","    73,000","11620"," 봉천동","1715","2002","부미아띠랑스힐","83.95","6"
"20","2021","5","4","   104,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","17"
"21","2021","5","5","    92,000","11620"," 봉천동","1708","2000","두산","59.92","2"
"22","2021","5","5","    85,000","11620"," 봉천동","1716","2003","벽산타운II","79.28","8"
"23","2021","5","5","   105,500","11620"," 봉천동","1717","2004","관악푸르지오","84.75","4"
"24","2021","5","6","   134,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","84.93","14"
"25","2021","5","6","    29,500","11620"," 봉천동","30-8","2016","관악태우미소가","29.1","8"
"26","2021","5","6","    71,500","11620"," 봉천동","148-139","2004","경원로얄시티","91.41","3"
"27","2021","5","7","    57,000","11620"," 봉천동","1531-39","1998","무학","82.43","2"
"28","2021","5","7","   112,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","59.96","3"
"29","2021","5","7","   103,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","10"
"30","2021","5","7","    93,000","11620"," 봉천동","1708","2000","두산","59.92","13"
"31","2021","5","8","   117,500","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","59.9","7"
"32","2021","5","8","    84,500","11620"," 봉천동","1712","2003","관악드림(동아)","59.83","17"
"33","2021","5","8","    69,000","11620"," 봉천동","1690-159","2006","낙성대늘푸른2차","74.89","8"
"34","2021","5","8","    94,000","11620"," 봉천동","1708","2000","두산","59.92","17"
"35","2021","5","8","    88,000","11620"," 봉천동","1000","1992","현대(관악)","68.8","10"
"36","2021","5","9","    66,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","59.93","12"
"37","2021","5","10","    18,800","11620"," 봉천동","463-1","2013","WS타워","19.63","14"
"38","2021","5","10","    75,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","6"
"39","2021","5","10","   105,000","11620"," 봉천동","1717","2004","관악푸르지오","84.75","17"
"40","2021","5","11","    68,500","11620"," 봉천동","1707-1","2000","은천2단지아파트","59.93","2"
"41","2021","5","12","    20,000","11620"," 봉천동","867-12","2013","프라비다2","19.85","7"
"42","2021","5","12","    80,900","11620"," 봉천동","1718","2005","벽산블루밍","59.99","15"
"43","2021","5","12","    83,500","11620"," 봉천동","1728","2014","관악파크푸르지오","59.98","4"
"44","2021","5","12","    98,500","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","12"
"45","2021","5","12","    91,500","11620"," 봉천동","1708","2000","두산","59.92","13"
"46","2021","5","12","    88,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","8"
"47","2021","5","13","    81,000","11620"," 봉천동","1000","1992","현대(관악)","58.59","11"
"48","2021","5","14","   112,000","11620"," 봉천동","1712","2003","관악드림(동아)","84.96","15"
"49","2021","5","14","    77,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","3"
"50","2021","5","14","   105,000","11620"," 봉천동","1718","2005","벽산블루밍","114.97","17"
"51","2021","5","14","    80,000","11620"," 봉천동","1522-32","2010","금강아미움(105동)","71.3453","8"
"52","2021","5","14","   106,000","11620"," 봉천동","1712","2003","관악드림(동아)","84.96","7"
"53","2021","5","14","    81,500","11620"," 봉천동","1718","2005","벽산블루밍","59.99","8"
"54","2021","5","15","    89,000","11620"," 봉천동","1707","2001","은천1","84.65","6"
"55","2021","5","15","    90,000","11620"," 봉천동","1707","2001","은천1","84.65","12"
"56","2021","5","15","    90,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","17"
"57","2021","5","17","    53,000","11620"," 봉천동","1725","1998","인헌","59.75","4"
"58","2021","5","18","    98,900","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","9"
