"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","14","    54,000","11215"," 중곡동","190-26","1976","중곡2단지","55.9","2"
"2","2021","1","15","    41,000","11215"," 중곡동","90-18","2002","욱현","76.26","2"
"3","2021","1","20","    14,500","11215"," 중곡동","699","2012","욱현하이브Ⅲ","18.12","3"
"4","2021","1","23","    46,800","11215"," 중곡동","191-77","1976","중곡1단지","48.46","5"
"5","2021","1","3","   146,000","11215"," 구의동","610","1994","구의현대6단지","84.92","20"
"6","2021","1","4","   110,000","11215"," 구의동","631-1","1997","현대프라임","59.82","24"
"7","2021","1","5","   151,500","11215"," 구의동","199-18","2001","삼성쉐르빌","132.08","20"
"8","2021","1","5","   112,500","11215"," 구의동","631-1","1997","현대프라임","59.82","26"
"9","2021","1","5","   108,000","11215"," 구의동","631-1","1997","현대프라임","59.82","2"
"10","2021","1","8","   177,000","11215"," 구의동","199-18","2001","삼성쉐르빌","161.87","22"
"11","2021","1","11","   158,000","11215"," 구의동","631-1","1997","현대프라임","84.99","12"
"12","2021","1","13","   129,500","11215"," 구의동","668","2018","래미안파크스위트","59.98","22"
"13","2021","1","13","   187,000","11215"," 구의동","631-1","1997","현대프라임","183.87","3"
"14","2021","1","14","   141,000","11215"," 구의동","658","2002","세양","84.32","21"
"15","2021","1","16","    60,000","11215"," 구의동","670","2020","광진파크프라이빗","56.76","3"
"16","2021","1","19","   125,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","20"
"17","2021","1","20","   149,500","11215"," 구의동","668","2018","래미안파크스위트","84.98","9"
"18","2021","1","22","    94,000","11215"," 구의동","587-54","1997","구의현대7단지현대홈타운","59.97","13"
"19","2021","1","23","   137,000","11215"," 구의동","610","1994","구의현대6단지","84.92","18"
"20","2021","1","25","   114,700","11215"," 구의동","631-1","1997","현대프라임","59.82","9"
"21","2021","1","25","   130,000","11215"," 구의동","667","2017","강변에스케이뷰","84.81","8"
"22","2021","1","27","   128,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","22"
"23","2021","1","28","   143,000","11215"," 구의동","610","1994","구의현대6단지","84.92","17"
"24","2021","1","28","   133,500","11215"," 구의동","667","2017","강변에스케이뷰","84.9","13"
"25","2021","1","29","   149,900","11215"," 구의동","611","1996","구의현대2단지","84.86","10"
"26","2021","1","30","   148,000","11215"," 구의동","199-18","2001","삼성쉐르빌","132.77","7"
"27","2021","1","30","   124,500","11215"," 구의동","610","1994","구의현대6단지","84.92","1"
"28","2021","1","31","   145,000","11215"," 구의동","668","2018","래미안파크스위트","84.98","10"
"29","2021","1","5","   123,000","11215"," 광장동","148-4","1987","워커힐푸르지오","92.4","6"
"30","2021","1","7","   148,000","11215"," 광장동","453-1","1989","삼성광장2","84.93","7"
"31","2021","1","8","   121,000","11215"," 광장동","576","1999","광장현대9단지","59.97","21"
"32","2021","1","8","   183,000","11215"," 광장동","145-8","1981","워커힐","162.41","3"
"33","2021","1","9","   149,000","11215"," 광장동","484","1990","현대3","84.97","7"
"34","2021","1","9","   121,000","11215"," 광장동","577","2000","현대파크빌","59.76","14"
"35","2021","1","9","    89,000","11215"," 광장동","148-4","1987","워커힐푸르지오","65.66","3"
