"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","1","    77,500","11530"," 신도림동","640","1997","신성은하수","59.88","11"
"2","2021","1","4","   149,000","11530"," 신도림동","692","2011","디큐브시티","128.41","42"
"3","2021","1","4","    88,500","11530"," 신도림동","642","1999","대림1","59.88","4"
"4","2021","1","4","   139,500","11530"," 신도림동","646","2003","대림e-편한세상4","84.78","17"
"5","2021","1","4","    99,900","11530"," 신도림동","643","1999","동아1","59.978","23"
"6","2021","1","11","    89,950","11530"," 신도림동","642","1999","대림1","59.93","11"
"7","2021","1","11","    59,000","11530"," 신도림동","290","1989","미성","37.91","7"
"8","2021","1","12","   100,000","11530"," 신도림동","645","2000","동아3","84.99","15"
"9","2021","1","14","   102,500","11530"," 신도림동","645","2000","동아3","60","25"
"10","2021","1","15","   116,500","11530"," 신도림동","432-1","2006","SKVIEW","84.98","19"
"11","2021","1","16","    76,200","11530"," 신도림동","290","1987","미성","66.03","3"
"12","2021","1","17","   107,900","11530"," 신도림동","639","1996","우성2","84.82","9"
"13","2021","1","18","   100,000","11530"," 신도림동","692","2011","디큐브시티","59.16","4"
"14","2021","1","21","    63,000","11530"," 신도림동","290","1989","미성","37.91","4"
"15","2021","1","22","    98,500","11530"," 신도림동","641","1999","현대홈타운아파트","83.76","17"
"16","2021","1","22","   157,000","11530"," 신도림동","646","2003","대림e-편한세상4","152.07","2"
"17","2021","1","24","   106,000","11530"," 신도림동","645","2000","동아3","60","4"
"18","2021","1","25","   107,900","11530"," 신도림동","639","1996","우성2","84.82","12"
"19","2021","1","26","    95,000","11530"," 신도림동","644","2000","동아2","59.595","7"
"20","2021","1","29","   123,700","11530"," 신도림동","691","2001","대림3","114.55","21"
"21","2021","1","30","   109,500","11530"," 신도림동","639","1996","우성2","84.82","7"
"22","2021","1","30","    95,000","11530"," 신도림동","644","2000","동아2","59.595","8"
"23","2021","1","30","   174,000","11530"," 신도림동","646","2003","대림e-편한세상4","152.07","22"
"24","2021","1","30","   116,000","11530"," 신도림동","642","2001","대림2","84.95","21"
"25","2021","1","2","    98,000","11530"," 구로동","42","2004","신도림LG자이","84.952","18"
"26","2021","1","2","    68,500","11530"," 구로동","1281","2006","한일유앤아이","84.962","6"
"27","2021","1","2","    70,000","11530"," 구로동","1281","2006","한일유앤아이","84.962","13"
"28","2021","1","2","    15,300","11530"," 구로동","807-37","1996","(807-37)","31.11","4"
"29","2021","1","2","    15,500","11530"," 구로동","807-37","1996","(807-37)","31.11","3"
"30","2021","1","2","    49,700","11530"," 구로동","1265","1998","구로두산","44.64","14"
"31","2021","1","3","    77,000","11530"," 구로동","1269","2001","중앙하이츠(1269)","82.3019","14"
"32","2021","1","3","   110,000","11530"," 구로동","501","2007","신구로자이","133.78","22"
"33","2021","1","4","    47,000","11530"," 구로동","685-223","1987","주공2","32.39","3"
"34","2021","1","4","    70,450","11530"," 구로동","43-4","1995","다솜금호","84.35","19"
"35","2021","1","4","    51,500","11530"," 구로동","1278","2006","구로두산위브","36.88","9"
"36","2021","1","4","    73,000","11530"," 구로동","1259","1998","구일우성","84.49","8"
"37","2021","1","4","    63,400","11530"," 구로동","1260","1998","이화우성","59.82","4"
"38","2021","1","4","   103,000","11530"," 구로동","501","2007","신구로자이","133.78","35"
"39","2021","1","5","    38,900","11530"," 구로동","120","1987","대림우성2","43.79","5"
"40","2021","1","5","    59,900","11530"," 구로동","1256","1992","구로현대","56.49","9"
"41","2021","1","5","    21,000","11530"," 구로동","770-59","1996","(770-59)","44.46","4"
"42","2021","1","5","    58,000","11530"," 구로동","1265","1998","구로두산","51.84","15"
"43","2021","1","5","    53,500","11530"," 구로동","1259","1998","구일우성","59.44","21"
"44","2021","1","5","    68,500","11530"," 구로동","1280","2007","한신휴플러스(1280-0)","50.03","10"
"45","2021","1","5","     9,950","11530"," 구로동","800-2","2000","조성빌라","21.96","4"
"46","2021","1","5","    74,700","11530"," 구로동","1262","1998","월드","84.94","21"
"47","2021","1","6","    38,900","11530"," 구로동","120","1987","대림우성2","43.79","5"
"48","2021","1","6","    10,800","11530"," 구로동","107-4","2012","비즈트위트블루","16.04","8"
"49","2021","1","6","    50,500","11530"," 구로동","1278","2006","구로두산위브","36.88","12"
"50","2021","1","6","    48,000","11530"," 구로동","1278","2006","구로두산위브","36.88","4"
"51","2021","1","6","    52,500","11530"," 구로동","1278","2006","구로두산위브","36.88","4"
"52","2021","1","6","    19,500","11530"," 구로동","792-9","1984","(792-9)","47.19","3"
"53","2021","1","6","    70,000","11530"," 구로동","1270","2002","뉴홍현솔레디움","84.69","4"
"54","2021","1","7","    79,000","11530"," 구로동","685-222","1986","주공1","73.08","13"
"55","2021","1","8","    50,600","11530"," 구로동","642-9","1988","한신","44.78","4"
"56","2021","1","8","    22,500","11530"," 구로동","752-6","1996","(752-6)","28.56","4"
"57","2021","1","8","    22,000","11530"," 구로동","749-44","1996","(749-44)","37.47","4"
"58","2021","1","8","    54,300","11530"," 구로동","1259","1998","구일우성","59.44","10"
"59","2021","1","8","    73,500","11530"," 구로동","1265","1998","구로두산","84.9","12"
"60","2021","1","9","    66,900","11530"," 구로동","1256","1992","구로현대","63.98","4"
"61","2021","1","9","    49,400","11530"," 구로동","1278","2006","구로두산위브","36.88","20"
"62","2021","1","9","    50,450","11530"," 구로동","1278","2006","구로두산위브","36.88","4"
"63","2021","1","9","    11,950","11530"," 구로동","780-31","1997","(780-31)","36.48","5"
"64","2021","1","9","    70,000","11530"," 구로동","1058","1995","우성(1058)","84.38","5"
"65","2021","1","9","    47,300","11530"," 구로동","685-223","1987","주공2","32.39","5"
"66","2021","1","9","    55,500","11530"," 구로동","108-2","1996","새솔금호","59.9","6"
"67","2021","1","9","    17,000","11530"," 구로동","796-35","1997","일심빌리지","46.32","4"
"68","2021","1","9","    16,000","11530"," 구로동","807-37","1996","(807-37)","31.11","2"
"69","2021","1","10","    17,400","11530"," 구로동","794-22","1997","(794-22)","59.3","1"
"70","2021","1","10","    11,750","11530"," 구로동","107-4","2012","비즈트위트블루","16.04","6"
"71","2021","1","11","    79,700","11530"," 구로동","685-222","1986","주공1","73.08","14"
"72","2021","1","11","    26,000","11530"," 구로동","792-2","1996","(792-2)","53.82","3"
"73","2021","1","11","    71,000","11530"," 구로동","685-223","1987","주공2","54.9","1"
"74","2021","1","12","    20,500","11530"," 구로동","744-16","1995","(744-16)","57.81","3"
"75","2021","1","12","    75,000","11530"," 구로동","1256","1992","구로현대","84.57","15"
"76","2021","1","12","    22,000","11530"," 구로동","744-16","1995","(744-16)","57.81","5"
"77","2021","1","12","    27,000","11530"," 구로동","746-3","2000","(746-3)","53.1","3"
"78","2021","1","12","    46,900","11530"," 구로동","1278","2006","구로두산위브","36.88","2"
"79","2021","1","12","    27,000","11530"," 구로동","746-3","2000","(746-3)","53.1","1"
"80","2021","1","12","    45,000","11530"," 구로동","1278","2006","구로두산위브","36.88","2"
"81","2021","1","12","    26,900","11530"," 구로동","746-3","2000","(746-3)","53.1","1"
"82","2021","1","13","    50,000","11530"," 구로동","642-9","1988","한신","44.78","4"
"83","2021","1","13","    89,500","11530"," 구로동","685-222","1986","주공1","84.87","11"
"84","2021","1","13","    92,500","11530"," 구로동","685-222","1986","주공1","84.165","6"
"85","2021","1","13","    60,000","11530"," 구로동","110-9","2001","우원그린빌","79.325","14"
"86","2021","1","13","    91,000","11530"," 구로동","560","1994","신도림현대","80.01","21"
"87","2021","1","13","    84,500","11530"," 구로동","560","1994","신도림현대","80.01","3"
"88","2021","1","14","    87,000","11530"," 구로동","1278","2006","구로두산위브","83.39","21"
"89","2021","1","14","    60,000","11530"," 구로동","685-222","1986","주공1","73.08","1"
"90","2021","1","14","    60,000","11530"," 구로동","685-222","1986","주공1","73.08","1"
"91","2021","1","14","    12,000","11530"," 구로동","44-8","2013","비즈트위트오렌지","15.6","2"
"92","2021","1","14","    41,800","11530"," 구로동","120","1987","대림우성2","43.79","12"
"93","2021","1","14","    27,000","11530"," 구로동","777-3","2002","(777-3)두암호은리버빌","54.48","1"
"94","2021","1","15","    14,800","11530"," 구로동","807-37","1996","(807-37)","31.11","1"
"95","2021","1","15","    53,000","11530"," 구로동","1259","1998","구일우성","59.44","12"
"96","2021","1","15","    89,500","11530"," 구로동","560","1994","신도림현대","80.01","20"
"97","2021","1","15","    92,000","11530"," 구로동","685-222","1986","주공1","83.805","6"
"98","2021","1","15","    18,000","11530"," 구로동","716-22","2000","(716-22)우진빌라C","48.4","5"
"99","2021","1","15","    15,000","11530"," 구로동","750-7","1994","(750-7)","45","1"
"100","2021","1","15","    22,000","11530"," 구로동","797-22","1995","(797-22)","42.48","1"
"101","2021","1","16","    73,000","11530"," 구로동","1281","2006","한일유앤아이","84.962","18"
"102","2021","1","16","    49,800","11530"," 구로동","1265","1998","구로두산","44.64","14"
"103","2021","1","16","    20,000","11530"," 구로동","104-9","2002","성호메이플라워멤버스빌","41.4","9"
"104","2021","1","16","    82,500","11530"," 구로동","1269","2001","중앙하이츠(1269)","82.3019","17"
"105","2021","1","16","    58,000","11530"," 구로동","1265","1998","구로두산","51.84","16"
"106","2021","1","16","    55,800","11530"," 구로동","1259","1998","구일우성","59.44","10"
"107","2021","1","16","    67,500","11530"," 구로동","1280","2007","한신휴플러스(1280-0)","50.03","15"
"108","2021","1","16","     8,300","11530"," 구로동","97-8","2014","코원","12.49","7"
"109","2021","1","17","    48,000","11530"," 구로동","1277","2004","우리유앤미","53.51","4"
"110","2021","1","18","    68,650","11530"," 구로동","685-147","1987","현대상선","79.98","12"
"111","2021","1","18","    54,000","11530"," 구로동","1278","2006","구로두산위브","36.88","6"
"112","2021","1","19","    69,900","11530"," 구로동","108","1999","현대파크빌","138.358","25"
"113","2021","1","19","    49,500","11530"," 구로동","1265","1998","구로두산","44.64","15"
"114","2021","1","20","    39,800","11530"," 구로동","120","1987","대림우성2","43.79","9"
"115","2021","1","20","    67,500","11530"," 구로동","1261","1998","일신건영","60","19"
"116","2021","1","20","    47,800","11530"," 구로동","97-2","2005","순영웰라이빌2차","64.45","9"
"117","2021","1","20","    54,500","11530"," 구로동","1278","2006","구로두산위브","36.88","13"
"118","2021","1","21","    55,200","11530"," 구로동","1265","1998","구로두산","51.84","4"
"119","2021","1","21","    59,500","11530"," 구로동","1262","1998","월드","59.92","13"
"120","2021","1","21","    49,000","11530"," 구로동","685-223","1987","주공2","32.39","10"
"121","2021","1","21","    79,000","11530"," 구로동","1261","1998","일신건영","84.66","17"
"122","2021","1","21","    39,000","11530"," 구로동","120","1987","대림우성2","43.79","7"
"123","2021","1","22","    55,300","11530"," 구로동","1259","1998","구일우성","59.44","13"
"124","2021","1","22","    73,700","11530"," 구로동","1259","1998","구일우성","84.49","10"
"125","2021","1","22","    68,500","11530"," 구로동","1271","2003","보람쉬움","81.0944","6"
"126","2021","1","22","    58,000","11530"," 구로동","1256","1992","구로현대","63.98","1"
"127","2021","1","23","    66,500","11530"," 구로동","1260","1998","이화우성","59.82","15"
"128","2021","1","23","    51,000","11530"," 구로동","701-76","1987","현대로얄","79.79","1"
