"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","2","    10,000","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","13.34","13"
"2","2021","4","3","    10,000","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","13.34","9"
"3","2021","4","7","    65,800","11545"," 가산동","769","1998","두산","59.84","25"
"4","2021","4","12","    13,000","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","8"
"5","2021","4","13","    10,650","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","14"
"6","2021","4","13","    11,800","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","13"
"7","2021","4","14","    11,000","11545"," 가산동","141-2","2013","가산양우내안에애플","12.04","17"
"8","2021","4","14","    10,900","11545"," 가산동","141-2","2013","가산양우내안에애플","12.04","17"
"9","2021","4","14","    10,850","11545"," 가산동","141-2","2013","가산양우내안에애플","12.04","17"
"10","2021","4","17","    41,200","11545"," 가산동","148-1","1995","덕산","59.97","10"
"11","2021","4","19","    41,500","11545"," 가산동","148-1","1995","덕산","59.97","4"
"12","2021","4","19","     9,600","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","14"
"13","2021","4","23","    10,000","11545"," 가산동","141-2","2013","가산양우내안에애플","12.04","17"
"14","2021","4","24","    22,800","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","30.37","15"
"15","2021","4","26","    12,900","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","18.47","13"
"16","2021","4","27","    17,000","11545"," 가산동","143-6","2018","가산지웰에스테이트2차","14.12","6"
"17","2021","4","29","    14,400","11545"," 가산동","140-9","2013","가산지웰에스테이트","15.96","7"
"18","2021","4","1","    44,500","11545"," 독산동","994-76","2004","삼성로얄","82.025","4"
"19","2021","4","3","    99,800","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9672","34"
"20","2021","4","5","    71,300","11545"," 독산동","1144","2011","독산동한양수자인","68.307","13"
"21","2021","4","5","    25,000","11545"," 독산동","333-24","1989","중앙아파트","35.61","5"
"22","2021","4","6","    38,700","11545"," 독산동","1088","1990","독산주공14단지","38.64","8"
"23","2021","4","7","    43,000","11545"," 독산동","1088","1990","독산주공14단지","44.89","13"
"24","2021","4","8","    79,000","11545"," 독산동","1140","2004","독산동중앙하이츠빌","84.8768","9"
"25","2021","4","10","    45,000","11545"," 독산동","965-1","2003","예전이룸(965-1)","82.395","3"
"26","2021","4","11","    73,000","11545"," 독산동","1093-4","1991","한신아파트","89.46","17"
"27","2021","4","12","    42,500","11545"," 독산동","1088","1990","독산주공14단지","44.89","8"
"28","2021","4","12","   126,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","84.3963","27"
"29","2021","4","15","    44,000","11545"," 독산동","1088","1990","독산주공14단지","44.94","8"
"30","2021","4","15","    98,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","59.9384","14"
"31","2021","4","17","    50,000","11545"," 독산동","1131","1996","라이프","84.74","17"
"32","2021","4","19","    35,800","11545"," 독산동","1088","1990","독산주공14단지","38.64","7"
"33","2021","4","22","    33,000","11545"," 독산동","965-1","2003","예전이룸(965-1)","49.154","1"
"34","2021","4","24","    39,990","11545"," 독산동","1088","1990","독산주공14단지","44.89","2"
"35","2021","4","24","    42,500","11545"," 독산동","1088","1990","독산주공14단지","44.94","11"
"36","2021","4","24","    98,500","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","59.9384","24"
"37","2021","4","25","   119,000","11545"," 독산동","1150","2017","금천롯데캐슬골드파크2차201동202동","84.97","16"
"38","2021","4","26","    45,000","11545"," 독산동","994-33","2004","한아101(994-33)","84.87","3"
"39","2021","4","28","   100,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","59.9384","20"
"40","2021","4","28","   127,000","11545"," 독산동","1147","2016","금천롯데캐슬골드파크1차","84.8114","21"
"41","2021","4","28","    32,500","11545"," 독산동","184-4","2003","동심","48.1749","7"
"42","2021","4","3","    47,000","11545"," 시흥동","1008","2000","금강","59.95","12"
"43","2021","4","4","    56,700","11545"," 시흥동","1010","2000","벽산","84.99","7"
"44","2021","4","4","    71,000","11545"," 시흥동","1013","2004","관악산벽산타운5","114.84","19"
"45","2021","4","6","    79,000","11545"," 시흥동","1026","2014","남서울힐스테이트","59.87","12"
"46","2021","4","6","    59,900","11545"," 시흥동","5-13","1999","삼익","84.96","4"
"47","2021","4","9","     8,750","11545"," 시흥동","882-61","2012","와이즈플레이스","14.22","18"
"48","2021","4","10","    43,300","11545"," 시흥동","1010","2000","벽산","59.94","14"
"49","2021","4","10","    48,500","11545"," 시흥동","1013","2004","관악산벽산타운5","59.34","9"
"50","2021","4","10","    64,800","11545"," 시흥동","1013","2004","관악산벽산타운5","84.97","13"
"51","2021","4","10","    51,500","11545"," 시흥동","1012","2003","백운한비치","76.0537","6"
"52","2021","4","10","   105,000","11545"," 시흥동","1026","2014","남서울힐스테이트","115.801","28"
