"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","1","    61,900","11320"," 쌍문동","56","1988","삼익세라믹","79.98","15"
"2","2021","7","1","    62,000","11320"," 쌍문동","53","1989","성원","84.98","14"
"3","2021","7","1","    43,500","11320"," 쌍문동","56","1988","삼익세라믹","42.93","13"
"4","2021","7","3","    69,500","11320"," 쌍문동","158","1993","한양7","84.92","10"
"5","2021","7","3","    35,000","11320"," 쌍문동","73","1988","경남","44.5","1"
"6","2021","7","3","    83,000","11320"," 쌍문동","159","1999","대우파크빌","169.55","3"
"7","2021","7","6","    60,000","11320"," 쌍문동","195","1996","청구","84.63","4"
"8","2021","7","6","    56,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","13"
"9","2021","7","6","    69,700","11320"," 쌍문동","59-5","2002","한양6","83.86","10"
"10","2021","7","6","    38,000","11320"," 쌍문동","59","1989","한양2","35.1","12"
"11","2021","7","7","    63,000","11320"," 쌍문동","199-1","1990","금호1","84.88","5"
"12","2021","7","7","    28,700","11320"," 쌍문동","574-1","2004","성원하이츠(B동)","71.24","3"
"13","2021","7","8","    58,200","11320"," 쌍문동","59","1988","한양2","76.92","5"
"14","2021","7","8","    60,750","11320"," 쌍문동","59-5","2002","한양6","83.86","2"
"15","2021","7","9","    60,000","11320"," 쌍문동","59-3","1991","한양5","76.405","8"
"16","2021","7","9","    68,000","11320"," 쌍문동","725","2002","쌍문동삼성래미안","59.9899","13"
"17","2021","7","9","    43,000","11320"," 쌍문동","59","1988","한양2","48.96","15"
"18","2021","7","9","    68,800","11320"," 쌍문동","195","1996","청구","84.63","15"
"19","2021","7","10","    49,200","11320"," 쌍문동","719","1995","현대3","84.93","2"
"20","2021","7","12","    61,900","11320"," 쌍문동","59-5","2002","한양6","83.86","2"
"21","2021","7","12","    66,000","11320"," 쌍문동","50","1993","현대2","85","10"
"22","2021","7","13","    65,800","11320"," 쌍문동","산69-1","1991","금호2","84.46","3"
"23","2021","7","13","    58,200","11320"," 쌍문동","54","1990","현대1","70.3","10"
"24","2021","7","14","    74,500","11320"," 쌍문동","729","2006","브라운스톤쌍문","84.99","1"
"25","2021","7","15","    45,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","14"
"26","2021","7","15","    35,900","11320"," 쌍문동","73","1988","경남","46.3","4"
"27","2021","7","16","    87,800","11320"," 쌍문동","732","2014","북한산코오롱하늘채","84.98","6"
"28","2021","7","17","    43,000","11320"," 쌍문동","54","1990","현대1","44.55","12"
"29","2021","7","17","    54,500","11320"," 쌍문동","54","1990","현대1","56.7","11"
"30","2021","7","17","    42,000","11320"," 쌍문동","575","2003","시그마팰리스","71.74","13"
"31","2021","7","17","    42,000","11320"," 쌍문동","575","2003","시그마팰리스","71.74","13"
"32","2021","7","17","    59,900","11320"," 쌍문동","59","1988","한양2","76.92","3"
"33","2021","7","17","    37,800","11320"," 쌍문동","13-2","1989","대웅","55.5","1"
"34","2021","7","19","    61,700","11320"," 쌍문동","53","1989","성원","84.98","5"
"35","2021","7","19","    45,000","11320"," 쌍문동","285-5","1987","동익미라벨","65.42","11"
"36","2021","7","19","    39,000","11320"," 쌍문동","277-5","2003","신일라이프(B동)","84.35","3"
