"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","11","   105,300","11230"," 용두동","791","2009","용두두산위브","59.99","12"
"2","2021","6","12","    45,800","11230"," 용두동","790","2009","롯데캐슬피렌체","30.4","12"
"3","2021","6","13","    92,000","11230"," 용두동","255-66","2007","청계천대성스카이렉스2","84.99","8"
"4","2021","6","19","    12,500","11230"," 용두동","112-8","2014","한양아이클래스","16.57","3"
"5","2021","6","19","    38,000","11230"," 용두동","790","2009","롯데캐슬피렌체","26.08","7"
"6","2021","6","19","   120,000","11230"," 용두동","792","2011","래미안 허브리츠","59.98","11"
"7","2021","6","22","    83,000","11230"," 용두동","779","1994","신동아","71.01","12"
"8","2021","6","23","    88,000","11230"," 용두동","779","1994","신동아","84.63","13"
"9","2021","6","30","    72,000","11230"," 용두동","779","1994","신동아","58.59","2"
"10","2021","6","10","   110,000","11230"," 제기동","1212","2004","한신아파트","114.885","10"
"11","2021","6","16","    97,000","11230"," 제기동","892-66","1999","현대","90.95","25"
"12","2021","6","19","    83,800","11230"," 제기동","1212","2004","한신아파트","59.84","2"
"13","2021","6","24","    79,000","11230"," 제기동","1212","2004","한신아파트","59.84","1"
"14","2021","6","28","    97,000","11230"," 제기동","153","2003","안암골벽산","84.98","11"
"15","2021","6","29","    96,000","11230"," 제기동","252","2005","이수브라운스톤","84.9","17"
"16","2021","6","1","   175,000","11230"," 전농동","690","2014","래미안크레시티","121.93","13"
"17","2021","6","1","    95,000","11230"," 전농동","6","1992","전농우성","126.63","5"
"18","2021","6","5","   100,000","11230"," 전농동","687","2005","전농동신성미소지움","55.371","5"
"19","2021","6","9","    60,000","11230"," 전농동","6","1992","전농우성","44.24","12"
"20","2021","6","10","   128,000","11230"," 전농동","688","2012","래미안아름숲","84.96","13"
"21","2021","6","12","   182,000","11230"," 전농동","690","2014","래미안크레시티","121.93","19"
"22","2021","6","12","    63,000","11230"," 전농동","6","1992","전농우성","59.78","6"
"23","2021","6","13","    91,500","11230"," 전농동","6","1992","전농우성","126.63","2"
