"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","4","   126,000","11590"," 노량진동","325","2001","신동아리버파크","84.88","14"
"2","2021","9","5","   114,700","11590"," 노량진동","323","1997","우성","84.96","4"
"3","2021","9","15","    91,000","11590"," 노량진동","323","1997","우성","59.82","1"
"4","2021","9","16","   142,500","11590"," 노량진동","325","2001","신동아리버파크","114.75","19"
"5","2021","9","17","    18,000","11590"," 노량진동","57-1","2015","메가스터디타워","16.01","15"
"6","2021","9","18","   100,000","11590"," 노량진동","325","2001","신동아리버파크","59.67","15"
"7","2021","9","24","    17,300","11590"," 노량진동","57-1","2015","메가스터디타워","16.01","10"
"8","2021","9","25","   135,000","11590"," 노량진동","323","1997","우성","124.77","10"
"9","2021","9","25","   105,000","11590"," 노량진동","324","1997","건영(103동-106동)","84.94","2"
"10","2021","9","25","   129,000","11590"," 노량진동","227-5","1974","노량진맨션","57.06","1"
"11","2021","9","28","    99,700","11590"," 노량진동","325","2001","신동아리버파크","59.67","16"
"12","2021","9","2","    21,500","11590"," 상도동","283-68","2009","파크뷰","56.72","6"
"13","2021","9","3","   129,000","11590"," 상도동","521","2007","포스코더샵","59.99","5"
"14","2021","9","3","    41,500","11590"," 상도동","159-41","2003","백촌빌라트","68.37","1"
"15","2021","9","4","   114,000","11590"," 상도동","421","2003","삼성래미안2","84.796","3"
"16","2021","9","4","   160,000","11590"," 상도동","900","2016","상도파크자이","71.252","11"
"17","2021","9","4","   104,500","11590"," 상도동","407","1992","현대(관악)","84.78","6"
"18","2021","9","6","    38,000","11590"," 상도동","126-31","2004","진성그린","76.02","1"
"19","2021","9","6","   158,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","14"
"20","2021","9","7","    87,000","11590"," 상도동","211-1","1980","약수맨션","108.63","2"
"21","2021","9","8","    13,500","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","4"
"22","2021","9","9","    19,000","11590"," 상도동","363-164","2016","상도휴엔하임","16.84","14"
"23","2021","9","11","   133,000","11590"," 상도동","529","2010","상도두산위브","84.99","2"
"24","2021","9","11","   133,000","11590"," 상도동","529","2010","상도두산위브","84.99","2"
"25","2021","9","13","   114,500","11590"," 상도동","408","1994","상도동삼호아파트","114.63","8"
