"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","3","   158,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9452","12"
"2","2021","5","6","    77,900","11440"," 아현동","692","1998","서서울삼성","48.92","11"
"3","2021","5","15","   132,000","11440"," 아현동","738","2008","마포트라팰리스2차","99.56","5"
"4","2021","5","21","   211,500","11440"," 아현동","777","2014","마포래미안푸르지오4단지","114.2802","6"
"5","2021","5","22","   237,000","11440"," 아현동","777","2014","마포래미안푸르지오2단지","114.2802","19"
"6","2021","5","25","   155,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","23"
"7","2021","5","27","   190,000","11440"," 아현동","777","2014","마포래미안푸르지오2단지","114.7267","1"
"8","2021","5","27","    37,300","11440"," 아현동","780","2016","애오개아이파크","20.75","4"
"9","2021","5","1","   116,000","11440"," 공덕동","370-9","1989","공덕현대","84.61","15"
"10","2021","5","1","   114,000","11440"," 공덕동","370-9","1989","공덕현대","84.61","15"
"11","2021","5","3","   143,000","11440"," 공덕동","469","2011","래미안공덕5차","59.959","13"
"12","2021","5","4","   125,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","1"
"13","2021","5","5","   104,000","11440"," 공덕동","188-108","1988","마포현대","59.95","13"
"14","2021","5","5","   171,000","11440"," 공덕동","476","2015","공덕파크자이","84.996","10"
"15","2021","5","6","   150,000","11440"," 공덕동","43","2004","공덕2삼성래미안","84.94","11"
"16","2021","5","7","   149,000","11440"," 공덕동","371","1999","공덕1삼성래미안","84.94","15"
"17","2021","5","7","    89,000","11440"," 공덕동","111-416","2004","로즈빌B","84.98","2"
"18","2021","5","11","   240,000","11440"," 공덕동","467","2009","롯데캐슬프레지던트","191.872","32"
"19","2021","5","11","   123,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","4"
"20","2021","5","11","   138,000","11440"," 공덕동","457","2004","공덕3삼성래미안","59.97","19"
"21","2021","5","13","   124,500","11440"," 공덕동","464","2005","래미안공덕4차","59.9","12"
"22","2021","5","13","   116,000","11440"," 공덕동","371","1999","공덕1삼성래미안","59.74","22"
"23","2021","5","15","   117,500","11440"," 공덕동","371","1999","공덕1삼성래미안","59.74","10"
"24","2021","5","17","   150,800","11440"," 공덕동","43","2004","공덕2삼성래미안","84.94","16"
"25","2021","5","18","   175,000","11440"," 공덕동","476","2015","공덕파크자이","84.996","11"
"26","2021","5","18","   175,000","11440"," 공덕동","476","2015","공덕파크자이","84.996","11"
"27","2021","5","26","    20,000","11440"," 공덕동","30-10","2018","솔리스타","14.29","12"
"28","2021","5","28","   163,000","11440"," 공덕동","43","2004","공덕2삼성래미안","114.87","12"
"29","2021","5","29","   128,000","11440"," 공덕동","464","2005","래미안공덕4차","59.9","5"
"30","2021","5","29","    17,300","11440"," 공덕동","30-10","2018","솔리스타","16.99","17"
"31","2021","5","29","    17,000","11440"," 공덕동","30-10","2018","솔리스타","16.99","16"
"32","2021","5","5","   138,000","11440"," 신공덕동","159","2000","신공덕래미안2차","84.73","7"
"33","2021","5","7","   114,000","11440"," 신공덕동","168","2007","신공덕e편한세상","59.85","9"
"34","2021","5","8","   177,500","11440"," 신공덕동","170","2009","브라운스톤공덕","114.74","12"
"35","2021","5","9","   123,000","11440"," 신공덕동","155","2000","신공덕1차삼성래미안1아파트","59.76","8"
"36","2021","5","11","    86,000","11440"," 신공덕동","167","2005","대우메트로디오빌","58.62","29"
"37","2021","5","13","   174,000","11440"," 신공덕동","172","2011","펜트라우스","115.04","17"
"38","2021","5","15","   155,000","11440"," 신공덕동","171","2011","kcc웰츠","107.42","14"
