"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","4","    50,700","11410"," 충정로3가","465","2004","충정리시온","41.48","6"
"2","2021","9","14","    60,000","11410"," 충정로3가","250-5","1969","충정","90.91","1"
"3","2021","9","28","    51,400","11410"," 충정로3가","465","2004","충정리시온","41.48","8"
"4","2021","9","6","   149,000","11410"," 냉천동","261","2011","돈의문센트레빌","84.99","3"
"5","2021","9","11","   104,000","11410"," 냉천동","260","2002","동부센트레빌","84.93","6"
"6","2021","9","11","   143,000","11410"," 냉천동","261","2011","돈의문센트레빌","84.99","4"
"7","2021","9","2","    95,000","11410"," 천연동","145","2006","천연뜨란채","56.08","16"
"8","2021","9","17","    92,000","11410"," 천연동","145","2006","천연뜨란채","56.08","5"
"9","2021","9","15","   118,000","11410"," 영천동","100","1995","독립문삼호","84.78","10"
"10","2021","9","23","   119,700","11410"," 영천동","100","1995","독립문삼호","84.78","8"
"11","2021","9","4","   124,500","11410"," 현저동","200","1998","독립문극동(200-0)","84.87","11"
"12","2021","9","11","    65,000","11410"," 현저동","1019","2000","독립문파크빌","59.4","6"
"13","2021","9","25","    69,500","11410"," 현저동","1019","2000","독립문파크빌","59.4","7"
"14","2021","9","26","   120,000","11410"," 현저동","200","1998","독립문극동(200-0)","84.96","23"
"15","2021","9","27","   104,000","11410"," 현저동","200","1998","독립문극동(200-0)","59.58","16"
"16","2021","9","28","   120,000","11410"," 현저동","200","1998","독립문극동(200-0)","84.87","5"
"17","2021","9","1","    91,000","11410"," 북아현동","1009","1999","두산","59.96","10"
"18","2021","9","2","   166,200","11410"," 북아현동","1011","2015","신촌푸르지오","84.9572","11"
"19","2021","9","4","    90,000","11410"," 북아현동","1009","1999","두산","59.96","5"
"20","2021","9","4","   178,700","11410"," 북아현동","1013","2018","이편한세상신촌(4단지)","84.89","8"
"21","2021","9","10","    90,900","11410"," 북아현동","1009","1999","두산","59.96","12"
"22","2021","9","11","    90,800","11410"," 북아현동","1009","1999","두산","59.96","5"
"23","2021","9","11","   159,800","11410"," 북아현동","1011","2015","신촌푸르지오","84.9953","1"
"24","2021","9","13","   160,000","11410"," 북아현동","1011","2015","신촌푸르지오","84.9892","6"
"25","2021","9","15","   139,000","11410"," 북아현동","1011","2015","신촌푸르지오","59.9093","4"
