"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","1","   149,000","11650"," 방배동","889-5","2005","방배CJ나인빌1차","145.76","1"
"2","2021","3","2","   210,000","11650"," 방배동","888-53","2003","방배자이","164.96","9"
"3","2021","3","2","   213,000","11650"," 방배동","988-1","1981","신동아","105.86","15"
"4","2021","3","2","   132,250","11650"," 방배동","2626","2003","삼성래미안1","59.9","1"
"5","2021","3","2","   300,000","11650"," 방배동","797-30","2006","방배3차e-편한세상","198.5315","5"
"6","2021","3","5","   265,000","11650"," 방배동","798-10","2015","르가든6차","181.08","2"
"7","2021","3","5","   183,000","11650"," 방배동","906-13","2010","서리풀e편한세상","59.94","4"
"8","2021","3","6","   172,000","11650"," 방배동","3279","2019","방배 서리풀 그랑블","84.9969","5"
"9","2021","3","6","   149,900","11650"," 방배동","444-3","2006","SK리더스뷰(파스텔시티)","84.8","13"
"10","2021","3","6","   189,800","11650"," 방배동","899-16","2005","브라운스톤방배","84.96","13"
"11","2021","3","6","    40,500","11650"," 방배동","866-20","2005","방배대우디오빌","36.63","7"
"12","2021","3","6","   152,000","11650"," 방배동","484-5","2005","방배아트e-편한세상102","74.87","5"
"13","2021","3","6","   216,500","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.9145","9"
"14","2021","3","9","   168,000","11650"," 방배동","755-14","2010","리첸시아방배","150.03","6"
"15","2021","3","9","   310,000","11650"," 방배동","800-1","2005","빌라일두오모","199.83","5"
"16","2021","3","9","   135,500","11650"," 방배동","970-13","2003","방배승원아트빌","137.25","2"
"17","2021","3","10","   228,000","11650"," 방배동","3278","2018","방배아트자이","84.9152","10"
"18","2021","3","10","   230,000","11650"," 방배동","906-13","2010","서리풀e편한세상","84.97","7"
"19","2021","3","11","   172,000","11650"," 방배동","3278","2018","방배아트자이","59.9775","9"
"20","2021","3","12","    80,000","11650"," 방배동","866-10","2019","방배마에스트로","35.53","13"
"21","2021","3","13","   216,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.9145","15"
"22","2021","3","17","   180,500","11650"," 방배동","865-24","1996","신구하이텍빌리지","204.69","2"
"23","2021","3","17","   170,000","11650"," 방배동","3279","2019","방배 서리풀 그랑블","84.9969","4"
"24","2021","3","17","   325,000","11650"," 방배동","1-21","2006","방배롯데캐슬OSCAR","270.6","1"
"25","2021","3","19","   229,000","11650"," 방배동","725","1983","방배신삼호","105.04","8"
"26","2021","3","19","   286,000","11650"," 방배동","906-13","2010","서리풀e편한세상","121.48","7"
"27","2021","3","20","    42,000","11650"," 방배동","866-20","2005","방배대우디오빌","37.67","4"
"28","2021","3","20","    42,000","11650"," 방배동","866-20","2005","방배대우디오빌","37.67","4"
"29","2021","3","20","   205,000","11650"," 방배동","1008-2","2004","래미안방배아트힐(1008-2)","127.61","12"
"30","2021","3","20","   171,000","11650"," 방배동","3278","2018","방배아트자이","59.9938","6"
"31","2021","3","20","   280,000","11650"," 방배동","725","1983","방배신삼호","164.97","11"
"32","2021","3","20","   250,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","147.7221","2"
"33","2021","3","22","   182,500","11650"," 방배동","754-1","2006","롯데캐슬헤론","174.89","3"
"34","2021","3","23","   198,000","11650"," 방배동","754-1","2006","롯데캐슬헤론","168.81","23"
"35","2021","3","24","   312,500","11650"," 방배동","1-57","2004","부에나비스타","244.89","6"
"36","2021","3","24","   249,000","11650"," 방배동","884-21","2003","대림e-편한세상1","164.38","10"
"37","2021","3","27","    33,000","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","21"
"38","2021","3","28","   288,000","11650"," 방배동","847-34","2002","방배대우유로카운티","202.4","4"
"39","2021","3","29","   285,000","11650"," 방배동","12-1","2012","UPPERHOUSE","233.44","3"
"40","2021","3","29","   178,000","11650"," 방배동","906-13","2010","서리풀e편한세상","59.97","8"
"41","2021","3","29","   136,700","11650"," 방배동","3001-1","2006","디오수페리움2","84.94","7"
"42","2021","3","30","    70,000","11650"," 방배동","816-1","2004","한신트리플","61.16","6"
"43","2021","3","31","   205,000","11650"," 방배동","424-28","2013","롯데캐슬아르떼","84.974","16"
"44","2021","3","3","   130,000","11650"," 양재동","19-1","2004","해청파인빌","129.4","2"
"45","2021","3","2","    69,500","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","8"
"46","2021","3","3","   115,500","11650"," 우면동","59","1995","동고","84.96","2"
"47","2021","3","3","    61,000","11650"," 우면동","764","2014","계룡리슈빌S","44.4883","6"
"48","2021","3","3","    57,600","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","11"
"49","2021","3","3","    70,700","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","12"
"50","2021","3","3","    67,400","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","3"
"51","2021","3","5","    58,100","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","20"
"52","2021","3","5","    56,550","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","9"
"53","2021","3","5","    55,800","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","3"
"54","2021","3","8","   115,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","3"
"55","2021","3","8","   115,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","3"
"56","2021","3","8","    66,500","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","2"
"57","2021","3","8","    57,100","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","5"
"58","2021","3","8","   160,000","11650"," 우면동","717","2013","서초네이처힐3단지","84.84","13"
"59","2021","3","9","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","21"
"60","2021","3","9","    56,550","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","8"
"61","2021","3","10","   109,250","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","20"
"62","2021","3","10","    58,100","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","10"
"63","2021","3","10","   123,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","8"
"64","2021","3","10","    58,350","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","11"
"65","2021","3","10","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","20"
"66","2021","3","12","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","23"
"67","2021","3","12","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","15"
"68","2021","3","12","    70,100","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","7"
"69","2021","3","15","    67,400","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","3"
"70","2021","3","15","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","22"
"71","2021","3","16","    57,100","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","10"
"72","2021","3","16","    57,600","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","8"
"73","2021","3","17","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","18"
"74","2021","3","17","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","14"
"75","2021","3","19","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","16"
"76","2021","3","20","   126,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","14"
"77","2021","3","23","    56,300","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","8"
"78","2021","3","23","    57,600","11650"," 우면동","788","2013","엘에이치서초4단지","51.89","7"
"79","2021","3","27","   100,000","11650"," 우면동","70","1994","코오롱","52.47","3"
"80","2021","3","30","    71,000","11650"," 우면동","788","2013","엘에이치서초4단지","59.93","18"
