"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","4","   184,500","11200"," 상왕십리동","811","2014","텐즈힐(2구역)","127.44","10"
"2","2021","3","1","   124,000","11200"," 하왕십리동","1070","2016","센트라스","59.99","3"
"3","2021","3","1","   137,000","11200"," 하왕십리동","1070","2016","센트라스","59.93","19"
"4","2021","3","3","   110,000","11200"," 하왕십리동","1058","2001","극동미라주","84.33","10"
"5","2021","3","3","   110,000","11200"," 하왕십리동","1058","2001","극동미라주","84.33","10"
"6","2021","3","6","    76,500","11200"," 하왕십리동","1052","2001","금호베스트빌","59.79","1"
"7","2021","3","10","    90,000","11200"," 하왕십리동","990","1989","한신무학","62.41","3"
"8","2021","3","12","   123,500","11200"," 하왕십리동","1002","2016","왕십리KCC스위첸","68.733","9"
"9","2021","3","12","   127,900","11200"," 하왕십리동","1070","2016","센트라스","59.59","4"
"10","2021","3","13","   132,000","11200"," 하왕십리동","1070","2016","센트라스","59.59","10"
"11","2021","3","14","   127,000","11200"," 하왕십리동","1002","2016","왕십리KCC스위첸","84.897","9"
"12","2021","3","20","   116,500","11200"," 하왕십리동","1071","2017","왕십리자이","59.99","3"
"13","2021","3","22","   124,000","11200"," 하왕십리동","1071","2017","왕십리자이","59.99","10"
"14","2021","3","22","   135,000","11200"," 하왕십리동","1070","2016","센트라스","59.95","23"
"15","2021","3","24","   114,500","11200"," 하왕십리동","1058","2001","극동미라주","114.63","15"
"16","2021","3","24","   210,000","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","148.94","23"
"17","2021","3","27","   100,300","11200"," 하왕십리동","1061","2004","왕십리풍림아이원","59.936","8"
"18","2021","3","27","    93,500","11200"," 하왕십리동","1070","2016","센트라스","40.94","10"
"19","2021","3","30","   136,000","11200"," 하왕십리동","1070","2016","센트라스","59.95","19"
"20","2021","3","30","   108,000","11200"," 하왕십리동","1058","2001","극동미라주","84.33","14"
"21","2021","3","11","    87,700","11200"," 도선동","69","2006","삼성쉐르빌","71.34","23"
"22","2021","3","12","   107,000","11200"," 도선동","69","2006","삼성쉐르빌","84.93","15"
"23","2021","3","8","    18,000","11200"," 마장동","834","2015","삼성홈타운","15.77","5"
"24","2021","3","9","    83,700","11200"," 마장동","818","1998","현대","59.94","2"
"25","2021","3","20","    80,500","11200"," 마장동","784","1986","세림","40.86","6"
"26","2021","3","28","    81,000","11200"," 마장동","830","2005","신명스카이뷰","84.038","7"
"27","2021","3","2","    70,500","11200"," 사근동","314","2000","벽산","59.84","6"
"28","2021","3","21","    70,000","11200"," 사근동","199","1989","중앙하이츠","71.85","3"
"29","2021","3","2","   143,000","11200"," 행당동","346","2000","행당한진타운","114.62","13"
"30","2021","3","6","   127,500","11200"," 행당동","347","2000","대림e-편한세상","84.87","15"
"31","2021","3","6","   125,500","11200"," 행당동","346","2000","행당한진타운","84.71","3"
"32","2021","3","6","   108,000","11200"," 행당동","346","2000","행당한진타운","59.96","15"
"33","2021","3","6","   106,000","11200"," 행당동","346","2000","행당한진타운","59.96","13"
"34","2021","3","9","   124,300","11200"," 행당동","344","1995","신동아","114.96","15"
"35","2021","3","16","   165,000","11200"," 행당동","147","1998","서울숲삼부아파트","122.01","7"
"36","2021","3","20","    98,000","11200"," 행당동","347","2000","대림e-편한세상","59.96","1"
"37","2021","3","22","   104,500","11200"," 행당동","346","2000","행당한진타운","59.96","6"
"38","2021","3","26","   131,000","11200"," 행당동","376","2011","서울숲행당푸르지오","84.74","11"
"39","2021","3","27","   126,000","11200"," 행당동","346","2000","행당한진타운","84.71","2"
"40","2021","3","27","   118,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","14"
"41","2021","3","31","   109,900","11200"," 행당동","346","2000","행당한진타운","59.96","19"
"42","2021","3","31","   137,300","11200"," 행당동","346","2000","행당한진타운","114.62","1"
"43","2021","3","6","    85,000","11200"," 응봉동","98","1990","금호현대","59.91","1"
"44","2021","3","6","   145,000","11200"," 응봉동","15","2001","대림강변타운","84.42","6"
"45","2021","3","6","   105,000","11200"," 응봉동","15","2001","대림강변타운","59.76","2"
"46","2021","3","7","    94,500","11200"," 응봉동","97","1989","대림(2차)","59.91","13"
"47","2021","3","13","   115,000","11200"," 응봉동","15","2001","대림강변타운","59.76","4"
"48","2021","3","13","   148,000","11200"," 응봉동","15","2001","대림강변타운","84.42","5"
"49","2021","3","18","   156,000","11200"," 응봉동","15","2001","대림강변타운","114.88","8"
"50","2021","3","23","   151,000","11200"," 응봉동","15","2001","대림강변타운","114.88","12"
"51","2021","3","23","   130,000","11200"," 응봉동","15","2001","대림강변타운","84.42","5"
"52","2021","3","24","    87,500","11200"," 응봉동","275","1996","신동아","59.97","10"
"53","2021","3","27","   114,500","11200"," 응봉동","98","1990","금호현대","79.8","12"
"54","2021","3","29","   143,500","11200"," 응봉동","276","2003","서울숲리버그린동아아파트","84.83","19"
"55","2021","3","31","    91,500","11200"," 응봉동","97","1989","대림(2차)","59.91","12"
"56","2021","3","31","   108,000","11200"," 응봉동","276","2003","서울숲리버그린동아아파트","59.98","23"
"57","2021","3","11","   131,500","11200"," 금호동1가","633","2001","벽산","84.82","12"
"58","2021","3","18","   201,000","11200"," 금호동1가","280","2019","이편한세상금호파크힐스","116.134","13"
"59","2021","3","19","   137,500","11200"," 금호동1가","633","2001","벽산","114.57","3"
"60","2021","3","19","   141,500","11200"," 금호동1가","280","2019","이편한세상금호파크힐스","59.949","21"
"61","2021","3","19","   137,500","11200"," 금호동1가","633","2001","벽산","114.57","3"
"62","2021","3","2","   173,000","11200"," 금호동2가","1","2016","신금호파크자이","84.98","9"
"63","2021","3","4","   129,000","11200"," 금호동2가","1217","2012","래미안하이리버","59.99","10"
