"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","3","   128,000","11290"," 돈암동","609-1","1998","한신","132.96","12"
"2","2021","11","3","   128,000","11290"," 돈암동","609-1","1998","한신","132.96","12"
"3","2021","11","4","    85,000","11290"," 돈암동","609-1","1998","한신","68.13","13"
"4","2021","11","5","   101,000","11290"," 돈암동","633","2003","동부센트레빌","80.54","13"
"5","2021","11","13","    72,500","11290"," 돈암동","631","1998","범양","59.79","5"
"6","2021","11","13","    73,500","11290"," 돈암동","631","1998","범양","59.79","11"
"7","2021","11","13","    59,300","11290"," 돈암동","1","1991","돈암현대아파트","41.58","3"
"8","2021","11","13","    72,500","11290"," 돈암동","631","1998","범양","59.79","5"
"9","2021","11","13","    86,000","11290"," 돈암동","609-1","1998","한신","68.13","19"
"10","2021","11","21","   117,000","11290"," 돈암동","609-1","1998","한신","113.67","11"
"11","2021","11","21","   119,800","11290"," 돈암동","609-1","1998","한진(609-1)","113.67","15"
"12","2021","11","25","    98,500","11290"," 돈암동","609-1","1998","한신","84.87","3"
"13","2021","11","27","   115,000","11290"," 돈암동","609-1","1998","한신","132.96","9"
"14","2021","11","27","   103,800","11290"," 돈암동","633","2003","동부센트레빌","80.54","11"
"15","2021","11","30","    90,000","11290"," 돈암동","631","1998","범양","84.92","14"
"16","2021","11","17","    79,700","11290"," 동소문동7가","23","2004","한신플러스C","59.91","10"
"17","2021","11","16","   126,000","11290"," 삼선동2가","425","2008","삼선푸르지오","114.65","15"
"18","2021","11","13","   107,000","11290"," 삼선동3가","116","2012","삼선에스케이뷰","59.94","6"
"19","2021","11","20","    80,700","11290"," 삼선동4가","73","1999","코오롱","59.94","4"
"20","2021","11","20","    97,000","11290"," 삼선동4가","73","1999","코오롱","84.87","14"
"21","2021","11","27","    38,000","11290"," 안암동3가","136-1","1971","대광","60.89","2"
"22","2021","11","4","    67,400","11290"," 보문동6가","36-2","1994","아남","84.9","1"
"23","2021","11","2","   112,500","11290"," 보문동3가","2","2003","현대I-PARK","84.57","14"
"24","2021","11","13","    58,500","11290"," 보문동3가","214","2004","코지아뜨리에","74.16","4"
"25","2021","11","1","    94,000","11290"," 정릉동","1031","2008","정릉힐스테이트3차","84.97","1"
"26","2021","11","4","    59,700","11290"," 정릉동","239","2005","정릉풍림아이원","59.88","1"
"27","2021","11","4","    58,000","11290"," 정릉동","1016","1999","우방","59.94","16"
"28","2021","11","6","   101,000","11290"," 정릉동","1034","2008","라온유","84.65","9"
"29","2021","11","9","    75,000","11290"," 정릉동","494","2004","중앙하이츠빌1단지","84.98","5"
"30","2021","11","10","    85,000","11290"," 정릉동","1015","1999","길음뉴타운경남아너스빌","84.88","7"
"31","2021","11","13","    92,000","11290"," 정릉동","1028","2006","정릉e-편한세상","85","14"
"32","2021","11","13","    90,000","11290"," 정릉동","1031","2008","정릉힐스테이트3차","84.97","9"
"33","2021","11","15","    58,000","11290"," 정릉동","1028","2006","정릉e-편한세상","114.56","20"
"34","2021","11","20","    63,000","11290"," 정릉동","239","2005","정릉풍림아이원","59.88","7"
"35","2021","11","25","    15,000","11290"," 정릉동","727-7","1975","동우","44.45","1"
"36","2021","11","29","    69,900","11290"," 정릉동","1032","2008","정릉2차대주피오레","84.9819","3"
"37","2021","11","1","   126,000","11290"," 길음동","1280","2005","길음뉴타운2단지푸르지오","143.43","7"
"38","2021","11","3","   109,000","11290"," 길음동","1287-1","2019","롯데캐슬골든힐스","73.9713","10"
"39","2021","11","10","   117,000","11290"," 길음동","498","2019","래미안길음센터피스","59.97","3"
"40","2021","11","12","   115,000","11290"," 길음동","1282","2006","길음뉴타운5단지(래미안)","84.96","15"
"41","2021","11","13","    89,000","11290"," 길음동","1281","2005","길음뉴타운4단지(e편한세상)","59.97","7"
"42","2021","11","13","    78,000","11290"," 길음동","1281","2005","길음뉴타운4단지(e편한세상)","59.97","1"
"43","2021","11","19","   105,000","11290"," 길음동","1280","2005","길음뉴타운2단지푸르지오","84.97","16"
"44","2021","11","25","   108,000","11290"," 길음동","1284","2010","길음뉴타운8단지(래미안)","84.82","2"
"45","2021","11","1","    65,500","11290"," 종암동","128","2000","극동","59.67","2"
"46","2021","11","2","   130,000","11290"," 종암동","133","2009","래미안세레니티","114.99","2"
"47","2021","11","4","    79,000","11290"," 종암동","104-1","1999","종암에스케이","59.86","11"
"48","2021","11","8","    67,000","11290"," 종암동","80","2004","삼성래미안","59.99","14"
"49","2021","11","8","    87,900","11290"," 종암동","80","2004","삼성래미안","59.99","13"
"50","2021","11","13","    82,000","11290"," 종암동","80","2004","삼성래미안","59.99","5"
"51","2021","11","13","    85,000","11290"," 종암동","80","2004","삼성래미안","59.99","17"
"52","2021","11","15","   132,800","11290"," 종암동","134","2011","래미안라센트","84.99","3"
"53","2021","11","17","   139,000","11290"," 종암동","134","2011","래미안라센트","114.98","11"
"54","2021","11","26","    99,000","11290"," 종암동","131","2005","아이파크종암동2차","84.73","2"
"55","2021","11","26","    84,000","11290"," 종암동","80","2004","삼성래미안","59.99","10"
"56","2021","11","26","    85,500","11290"," 종암동","80","2004","삼성래미안","59.99","11"
"57","2021","11","26","    89,500","11290"," 종암동","130","2004","아이파크종암동1차","59.73","6"
"58","2021","11","27","   114,000","11290"," 종암동","130","2004","아이파크종암동1차","84.98","11"
"59","2021","11","2","    12,700","11290"," 하월곡동","88-510","2013","삼전솔하임3차","15.62","12"
