"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","2","   168,000","11710"," 잠실동","101-1","1981","우성아파트","80.76","1"
"2","2021","1","4","   310,000","11710"," 잠실동","86","1986","아시아선수촌아파트","139.668","1"
"3","2021","1","5","   100,000","11710"," 잠실동","22","2008","리센츠","27.68","5"
"4","2021","1","5","   215,000","11710"," 잠실동","35","2007","트리지움","84.95","14"
"5","2021","1","7","   246,600","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","9"
"6","2021","1","8","   226,300","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","8"
"7","2021","1","8","   218,500","11710"," 잠실동","22","2008","리센츠","84.99","6"
"8","2021","1","8","   228,000","11710"," 잠실동","22","2008","리센츠","84.99","10"
"9","2021","1","9","   248,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","15"
"10","2021","1","9","   248,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","9"
"11","2021","1","13","   185,000","11710"," 잠실동","19","2008","잠실엘스","59.96","10"
"12","2021","1","13","   215,000","11710"," 잠실동","40","2005","갤러리아팰리스","137.036","20"
"13","2021","1","13","   210,000","11710"," 잠실동","35","2007","트리지움","84.83","18"
"14","2021","1","14","   240,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","8"
"15","2021","1","15","   223,000","11710"," 잠실동","22","2008","리센츠","84.99","23"
"16","2021","1","15","   238,800","11710"," 잠실동","22","2008","리센츠","84.99","20"
"17","2021","1","15","   215,000","11710"," 잠실동","35","2007","트리지움","84.83","12"
"18","2021","1","16","   218,000","11710"," 잠실동","35","2007","트리지움","84.83","22"
"19","2021","1","16","   340,000","11710"," 잠실동","86","1986","아시아선수촌아파트","151.008","12"
"20","2021","1","16","   219,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","16"
"21","2021","1","18","   220,000","11710"," 잠실동","35","2007","트리지움","84.95","16"
"22","2021","1","19","   248,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.51","5"
"23","2021","1","19","   264,000","11710"," 잠실동","35","2007","트리지움","114.7","14"
"24","2021","1","20","   230,000","11710"," 잠실동","27","1978","주공아파트 5단지","82.51","3"
"25","2021","1","20","   237,000","11710"," 잠실동","19","2008","잠실엘스","84.8","21"
"26","2021","1","20","   114,000","11710"," 잠실동","175-4","2005","잠실월드메르디앙","59.23","10"
"27","2021","1","20","   237,100","11710"," 잠실동","27","1978","주공아파트 5단지","81.75","4"
"28","2021","1","20","   241,350","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","2"
"29","2021","1","22","   185,000","11710"," 잠실동","19","2008","잠실엘스","59.96","9"
"30","2021","1","23","   118,000","11710"," 잠실동","22","2008","리센츠","27.68","20"
"31","2021","1","23","   229,000","11710"," 잠실동","22","2008","리센츠","84.99","21"
"32","2021","1","23","   218,000","11710"," 잠실동","35","2007","트리지움","84.83","19"
"33","2021","1","23","   235,000","11710"," 잠실동","22","2008","리센츠","84.99","17"
"34","2021","1","24","   228,300","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","15"
"35","2021","1","25","   269,000","11710"," 잠실동","35","2007","트리지움","114.7","10"
"36","2021","1","25","   231,000","11710"," 잠실동","40","2005","갤러리아팰리스","163.935","6"
"37","2021","1","25","   243,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","3"
"38","2021","1","26","   193,000","11710"," 잠실동","22","2008","리센츠","59.99","18"
"39","2021","1","26","   233,100","11710"," 잠실동","27","1978","주공아파트 5단지","81.75","1"
