"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","9","   114,000","11560"," 영등포동","647","2002","영등포푸르지오","84.908","5"
"2","2021","1","9","    94,500","11560"," 영등포동","649","2004","두산위브","83.98","7"
"3","2021","1","13","    26,000","11560"," 영등포동","618-83","1969","영일","41.32","3"
"4","2021","1","16","   108,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","19"
"5","2021","1","16","   109,500","11560"," 영등포동","647","2002","영등포푸르지오","73.133","10"
"6","2021","1","23","   110,000","11560"," 영등포동","647","2002","영등포푸르지오","73.133","22"
"7","2021","1","23","    99,800","11560"," 영등포동","647","2002","영등포푸르지오","73.133","1"
"8","2021","1","25","   109,500","11560"," 영등포동","647","2002","영등포푸르지오","73.133","5"
"9","2021","1","29","   135,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","20"
"10","2021","1","29","   135,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","20"
"11","2021","1","8","    12,000","11560"," 영등포동1가","145","2012","내이처해밀","14.24","7"
"12","2021","1","8","    12,000","11560"," 영등포동1가","145","2012","내이처해밀","14.24","4"
"13","2021","1","9","    11,500","11560"," 영등포동1가","144","2011","헤렌어반","13.331","6"
"14","2021","1","20","    12,400","11560"," 영등포동1가","113-1","2013","여의도시티아이","12.59","17"
"15","2021","1","21","    21,000","11560"," 영등포동1가","94-2","2020","여의도더리브스타일","14.8376","9"
"16","2021","1","22","    14,500","11560"," 영등포동1가","144","2011","헤렌어반","13.216","2"
"17","2021","1","14","    12,000","11560"," 영등포동3가","19-2","2014","포레스트힐시티","13.53","8"
"18","2021","1","22","    14,000","11560"," 영등포동4가","103","2012","영등포그랑그루","12.1","8"
"19","2021","1","4","   120,000","11560"," 영등포동7가","208","2020","포레나영등포센트럴","59.8976","21"
"20","2021","1","6","    52,000","11560"," 영등포동7가","29-130","2010","근상프리즘","82.79","9"
"21","2021","1","9","    83,000","11560"," 영등포동7가","46-1","1998","경남아너스빌","59.9","12"
"22","2021","1","9","   146,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.69","14"
"23","2021","1","9","   148,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","71.98","24"
"24","2021","1","10","   152,500","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.75","7"
"25","2021","1","21","   105,000","11560"," 영등포동7가","46-1","1998","경남아너스빌","84.93","21"
