"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","3","    92,000","11170"," 산천동","204","2001","한강타운","59.69","5"
"2","2021","12","4","   120,000","11170"," 산천동","193","2001","리버힐삼성","59.55","6"
"3","2021","12","9","   150,500","11170"," 효창동","287","2019","용산롯데캐슬센터포레","59.8677","5"
"4","2021","12","15","    70,000","11170"," 도원동","23","2001","삼성래미안","59.94","12"
"5","2021","12","17","   145,000","11170"," 용문동","90","2011","브라운스톤","84.76","10"
"6","2021","12","4","    19,900","11170"," 문배동","24-4","2013","용산큐브","13.01","18"
"7","2021","12","10","   220,000","11170"," 문배동","40-31","2010","리첸시아용산B","145.78","23"
"8","2021","12","19","    20,000","11170"," 문배동","24-4","2013","용산큐브","13.01","15"
"9","2021","12","27","    17,600","11170"," 문배동","24-4","2013","용산큐브","13.01","20"
"10","2021","12","30","    19,300","11170"," 문배동","24-4","2013","용산큐브","13.01","15"
"11","2021","12","30","    70,000","11170"," 한강로1가","216-11","2021","센트럴파크","27.82","6"
"12","2021","12","30","    69,900","11170"," 한강로1가","216-11","2021","센트럴파크","29.84","3"
"13","2021","12","14","   310,000","11170"," 용산동5가","24","2009","용산파크타워(24-0)","134.02","14"
"14","2021","12","18","   330,000","11170"," 용산동5가","24","2009","용산파크타워(24-0)","124.8","36"
"15","2021","12","8","   300,000","11170"," 한강로3가","65-230","2004","한강대우트럼프월드3","159.77","20"
"16","2021","12","13","   189,000","11170"," 이촌동","404","1998","한가람","59.88","10"
"17","2021","12","15","   445,000","11170"," 이촌동","300-23","1971","한강맨숀","120.33","3"
"18","2021","12","29","   400,000","11170"," 이태원동","124-1","2008","준아트빌","228.02","14"
"19","2021","12","1","   370,000","11170"," 한남동","805","2002","현대하이페리온","197.22","12"
"20","2021","12","2","   900,000","11170"," 한남동","829","2019","나인원한남","244.3478","2"
"21","2021","12","13"," 1,200,000","11170"," 한남동","410","2020","파르크한남","268.95","2"
"22","2021","12","15","    80,000","11170"," 한남동","72-1","2004","한남동리첸시아","37.53","11"
"23","2021","12","15","    59,500","11170"," 한남동","29-4","1974","한성1","32.17","5"
"24","2021","12","22","   270,000","11170"," 한남동","810","2011","한남더힐","59.686","2"
"25","2021","12","28","    40,000","11170"," 한남동","29-4","1974","한성1","24.76","-1"
