"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","4","   108,000","11380"," 수색동","413","2000","청구","84.76","14"
"2","2021","8","8","    92,700","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","84.951","15"
"3","2021","8","11","    79,600","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","59.895","6"
"4","2021","8","7","    68,700","11380"," 녹번동","280-1","2002","녹번JR아파트","59.866","5"
"5","2021","8","7","   110,000","11380"," 녹번동","283","2019","래미안베라힐즈","59.98","8"
"6","2021","8","7","   110,000","11380"," 녹번동","283","2019","래미안베라힐즈","59.98","8"
"7","2021","8","8","    79,000","11380"," 녹번동","280-1","2002","녹번JR아파트","84.923","12"
"8","2021","8","10","   138,000","11380"," 녹번동","283","2019","래미안베라힐즈","84.98","5"
"9","2021","8","13","   104,500","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","1"
"10","2021","8","14","   111,000","11380"," 녹번동","283","2019","래미안베라힐즈","59.99","5"
"11","2021","8","14","   117,800","11380"," 녹번동","281","2015","북한산푸르지오","84.99","14"
"12","2021","8","15","   107,000","11380"," 녹번동","283","2019","래미안베라힐즈","59.98","9"
"13","2021","8","17","   128,000","11380"," 녹번동","281","2015","북한산푸르지오","84.99","8"
"14","2021","8","21","   144,500","11380"," 녹번동","281","2015","북한산푸르지오","114.98","4"
"15","2021","8","21","   128,000","11380"," 녹번동","283","2019","래미안베라힐즈","84.95","2"
"16","2021","8","23","   119,500","11380"," 녹번동","281","2015","북한산푸르지오","84.99","8"
"17","2021","8","24","   105,500","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","1"
"18","2021","8","28","   114,000","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","13"
"19","2021","8","4","    11,600","11380"," 불광동","484-60","2013","제이타워","15.05","10"
"20","2021","8","5","    30,000","11380"," 불광동","486-17","2019","베로니스","27.97","4"
"21","2021","8","5","    38,500","11380"," 불광동","484-73","2021","효민아크로뷰","27.02","15"
"22","2021","8","5","    36,000","11380"," 불광동","484-73","2021","효민아크로뷰","27.02","19"
"23","2021","8","7","    96,000","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","84.96","1"
"24","2021","8","7","    90,500","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","6"
"25","2021","8","8","    95,000","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","15"
"26","2021","8","9","   106,000","11380"," 불광동","643","2011","북한산힐스테이트7차","59.981","18"
"27","2021","8","10","    67,500","11380"," 불광동","71-16","2004","북한산대창센시티","59.85","16"
"28","2021","8","10","   107,000","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","84.98","11"
"29","2021","8","11","    39,500","11380"," 불광동","484-73","2021","효민아크로뷰","27.02","10"
"30","2021","8","11","    29,000","11380"," 불광동","486-17","2019","베로니스","28.84","12"
"31","2021","8","12","    45,000","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","7"
"32","2021","8","14","   124,500","11380"," 불광동","643","2011","북한산힐스테이트7차","84.947","7"
"33","2021","8","16","    90,900","11380"," 불광동","638","2010","북한산래미안아파트(1단지)","59.9932","8"
"34","2021","8","17","    67,000","11380"," 불광동","636","2006","북한산한양수자인아파트","59.69","10"
"35","2021","8","19","    90,000","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","11"
"36","2021","8","20","   108,500","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","84.96","9"
"37","2021","8","24","    38,500","11380"," 불광동","484-73","2021","효민아크로뷰","27.02","14"
"38","2021","8","28","    57,700","11380"," 불광동","12-3","2002","선우아파트","109.88","4"
"39","2021","8","28","    57,700","11380"," 불광동","12-3","2002","선우아파트","109.88","4"
"40","2021","8","30","   144,000","11380"," 불광동","643","2011","북한산힐스테이트7차","114.977","8"
"41","2021","8","1","    44,000","11380"," 갈현동","267-1","1991","라이프시티","76.34","10"
"42","2021","8","8","    42,000","11380"," 갈현동","541-1","2001","갈현건영","59.99","5"
"43","2021","8","12","    63,000","11380"," 갈현동","539","1997","한솔","84.93","6"
"44","2021","8","13","    65,000","11380"," 갈현동","538","1997","미미","59.595","10"
"45","2021","8","14","    36,000","11380"," 갈현동","526-2","2005","아름(526-2)","69.45","7"
"46","2021","8","14","    74,500","11380"," 갈현동","539","1997","한솔","114.98","8"
"47","2021","8","14","    57,000","11380"," 갈현동","267-1","1991","라이프시티","79.11","8"
"48","2021","8","23","    39,500","11380"," 갈현동","499-18","2003","선구","69.54","1"
"49","2021","8","24","    37,000","11380"," 갈현동","474-4","2002","행운","75.25","3"
"50","2021","8","3","    44,700","11380"," 구산동","321-28","2021","벨뷰아파트","48.84","8"
"51","2021","8","6","    77,000","11380"," 구산동","159-10","2006","브라운스톤구산","84.89","6"
"52","2021","8","10","    44,700","11380"," 구산동","321-28","2021","벨뷰아파트","48.84","5"
"53","2021","8","13","    44,700","11380"," 구산동","321-28","2021","벨뷰아파트","48.84","5"
"54","2021","8","14","    64,800","11380"," 구산동","224","2004","경남아너스빌","84.69","3"
"55","2021","8","18","    40,000","11380"," 구산동","24-59","2004","송학","77.92","1"
"56","2021","8","20","    44,700","11380"," 구산동","321-28","2021","벨뷰아파트","48.84","4"
"57","2021","8","21","    78,000","11380"," 구산동","159-10","2006","브라운스톤구산","84.89","6"
"58","2021","8","27","    70,500","11380"," 구산동","224","2004","경남아너스빌","84.69","8"
"59","2021","8","1","    31,450","11380"," 대조동","186-12","2017","정익제이원6차","29.99","12"
"60","2021","8","4","    27,000","11380"," 대조동","179-16","2021","북한산포레스트","19.08","13"
"61","2021","8","4","    37,000","11380"," 대조동","179-16","2021","북한산포레스트","29.02","8"
"62","2021","8","5","    37,700","11380"," 대조동","6-26","2014","정익제이원","40.51","12"
"63","2021","8","9","    16,000","11380"," 대조동","197-1","2019","유진아이디움","14.03","11"
"64","2021","8","10","    17,000","11380"," 대조동","9-31","2014","주주베B","28.24","11"
"65","2021","8","14","    38,800","11380"," 대조동","6-13","2012","예가크레시아","49.64","8"
"66","2021","8","17","    39,400","11380"," 대조동","14-320","2014","유성아이비아파트","40.76","10"
"67","2021","8","17","    66,700","11380"," 대조동","231","1997","삼성타운","59.4","17"
"68","2021","8","17","    36,700","11380"," 대조동","179-16","2021","북한산포레스트","29.02","6"
"69","2021","8","19","    67,000","11380"," 대조동","231","1997","삼성타운","59.4","4"
"70","2021","8","22","    37,800","11380"," 대조동","179-16","2021","북한산포레스트","29.02","3"
"71","2021","8","25","    21,000","11380"," 대조동","15-114","2015","정익제이원아파트(15-114)","20.89","9"
"72","2021","8","27","    42,000","11380"," 대조동","4-18","2012","아이안빌","37.62","13"
"73","2021","8","27","    42,000","11380"," 대조동","4-18","2012","아이안빌","37.62","13"
"74","2021","8","31","    27,300","11380"," 대조동","179-16","2021","북한산포레스트","19.08","9"
"75","2021","8","31","    36,500","11380"," 대조동","179-16","2021","북한산포레스트","29.02","10"
"76","2021","8","31","    31,500","11380"," 대조동","186-21","2017","서경아파트","30.03","7"
"77","2021","8","2","    41,500","11380"," 응암동","763","2016","모아아파트","45.02","7"
"78","2021","8","4","    90,800","11380"," 응암동","764","2018","백련산힐스테이트4차","59.98","4"
"79","2021","8","4","   128,000","11380"," 응암동","759","2011","백련산힐스테이트1차","141.04","8"
"80","2021","8","4","    49,500","11380"," 응암동","197-78","1990","신동아","52.71","10"
"81","2021","8","4","    50,000","11380"," 응암동","197-78","1990","신동아","52.71","13"
"82","2021","8","5","    69,000","11380"," 응암동","739","1998","응암동금호","59.82","17"
"83","2021","8","5","    88,500","11380"," 응암동","669-1","2003","대주피오레","108.8","14"
"84","2021","8","7","    51,000","11380"," 응암동","117-35","2017","미소세상","59.96","8"
"85","2021","8","7","    42,000","11380"," 응암동","427-113","2014","밝은문","43.82","7"
"86","2021","8","9","   117,600","11380"," 응암동","766","2021","백련산파크자이","84.901","4"
"87","2021","8","9","    93,000","11380"," 응암동","766","2021","백련산파크자이","59.789","1"
