"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","16","    88,000","11110"," 당주동","100","1983","세종","91.46","10"
"2","2021","11","1","    34,700","11110"," 익선동","55","2003","현대뜨레비앙","45.5","7"
"3","2021","11","8","    35,500","11110"," 효제동","126-2","2021","이지마루종로","26.65","8"
"4","2021","11","22","    35,000","11110"," 효제동","126-2","2021","이지마루종로","26.65","4"
"5","2021","11","22","    34,800","11110"," 효제동","126-2","2021","이지마루종로","26.33","7"
"6","2021","11","23","    34,800","11110"," 효제동","126-2","2021","이지마루종로","24.44","6"
"7","2021","11","27","    28,500","11110"," 효제동","65-2","2017","포레스트힐시티","18.505","9"
"8","2021","11","10","    19,900","11110"," 연건동","195-10","2014","이화에수풀","16.98","8"
"9","2021","11","22","    14,000","11110"," 충신동","62-2","2011","CS타워","21.94","6"
"10","2021","11","26","   116,000","11110"," 명륜2가","4","1995","아남1","84.9","10"
"11","2021","11","3","    50,000","11110"," 창신동","639-20","1994","창림","58.62","3"
"12","2021","11","12","    69,000","11110"," 창신동","703","1993","창신쌍용2","54.7","13"
"13","2021","11","27","    52,000","11110"," 창신동","638-45","1996","삼흥","57.42","1"
"14","2021","11","6","    97,500","11110"," 숭인동","766","2009","종로청계힐스테이트","59.9426","5"
"15","2021","11","6","    10,200","11110"," 숭인동","296-19","2012","삼전솔하임2차","16.67","5"
"16","2021","11","10","    12,000","11110"," 숭인동","1392-1","2013","종로아인스빌","12.15","11"
"17","2021","11","19","    61,000","11110"," 숭인동","56-135","2014","할리우드파크아파트","68.77","2"
"18","2021","11","26","    11,300","11110"," 숭인동","318-2","2014","삼전솔하임4차","15.09","17"
"19","2021","11","26","   128,500","11110"," 숭인동","76","2004","롯데캐슬천지인","112.54","11"
"20","2021","11","27","   170,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","59.895","5"
"21","2021","11","5","    65,000","11110"," 평창동","145-5","1996","일성빌라트","59.82","5"
"22","2021","11","16","    46,000","11110"," 신영동","105-22","2002","구암하이빌","84.94","1"
"23","2021","11","12","   134,000","11110"," 무악동","88","2015","인왕산2차아이파크","84.0283","7"
"24","2021","11","29","   137,990","11110"," 무악동","82","2000","현대","84.92","19"
