"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","13","   175,000","11140"," 회현동1가","206","2010","남산SKLEADERSVIEW","137.53","17"
"2","2021","12","16","    45,000","11140"," 회현동1가","146-1","1975","삼풍","47.54","9"
"3","2021","12","31","    45,500","11140"," 충무로5가","90","2018","충무로헤센스마트","40.65","6"
"4","2021","12","31","    45,500","11140"," 충무로5가","90","2018","충무로헤센스마트","40.65","6"
"5","2021","12","23","    89,500","11140"," 예장동","9","1999","삼익","115.17","1"
"6","2021","12","27","    15,000","11140"," 오장동","145-1","2020","오렌지카운티을지로","12.43","14"
"7","2021","12","1","   129,000","11140"," 신당동","852","2011","청구e편한세상","59.89","3"
"8","2021","12","11","   146,000","11140"," 신당동","844","2002","남산타운","84.88","6"
"9","2021","12","11","   116,000","11140"," 신당동","844","2002","남산타운","59.94","11"
"10","2021","12","20","    27,100","11140"," 신당동","857","2021","약수역더시티","20.73","11"
"11","2021","12","21","   119,000","11140"," 신당동","844","2002","남산타운","59.94","17"
"12","2021","12","30","    20,000","11140"," 신당동","432-2000","2001","스위스빌라","52.09","1"
"13","2021","12","3","    99,300","11140"," 황학동","2545","2008","롯데캐슬","59.91","24"
"14","2021","12","4","   120,000","11140"," 황학동","2523","2010","황학아크로타워","109.146","6"
"15","2021","12","9","    28,500","11140"," 황학동","1743","2017","골드캐슬Ⅲ","33.47","13"
"16","2021","12","15","    32,300","11140"," 황학동","1743","2017","골드캐슬Ⅲ","32.75","10"
"17","2021","12","2","    80,000","11140"," 순화동","217","2016","덕수궁롯데캐슬","42.3686","5"
"18","2021","12","14","   183,000","11140"," 만리동2가","176-1","2017","서울역센트럴자이","84.9791","14"
