"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","2","    76,000","11260"," 면목동","494","1992","용마금호타운","84.9","9"
"2","2021","8","3","    83,000","11260"," 면목동","1529","2006","경남아너스빌","59.981","8"
"3","2021","8","3","    67,300","11260"," 면목동","1501","1993","두산6","59.55","21"
"4","2021","8","5","   119,000","11260"," 면목동","1543","2019","한양수자인사가정파크","84.6068","12"
"5","2021","8","5","    84,000","11260"," 면목동","581","2003","대원칸타빌","79.5359","6"
"6","2021","8","5","    39,000","11260"," 면목동","193-1","1988","면목한신","35.3","13"
"7","2021","8","7","    75,000","11260"," 면목동","1522","2000","두산4","59.97","7"
"8","2021","8","7","    42,000","11260"," 면목동","1077-1","1990","용마한신","35.44","6"
"9","2021","8","9","   112,000","11260"," 면목동","1543","2019","한양수자인사가정파크","84.6068","1"
"10","2021","8","10","    31,000","11260"," 면목동","126-1","2018","킴스아파트","35.75","4"
"11","2021","8","11","    74,000","11260"," 면목동","1511","1995","두산3","84.77","2"
"12","2021","8","12","    56,700","11260"," 면목동","1514","1997","풍림","59.4","9"
"13","2021","8","12","    64,500","11260"," 면목동","1515","1997","성원상떼빌","59.91","15"
"14","2021","8","12","    46,500","11260"," 면목동","1339-2","2001","동성네스트빌101","75.76","2"
"15","2021","8","13","    71,500","11260"," 면목동","715","2002","늘푸른동아","59.65","15"
"16","2021","8","13","    75,000","11260"," 면목동","494","1992","용마금호타운","84.9","6"
"17","2021","8","13","    42,000","11260"," 면목동","193-1","1988","면목한신","35.3","3"
"18","2021","8","16","    29,500","11260"," 면목동","193-1","1988","면목한신","27","1"
"19","2021","8","17","    58,000","11260"," 면목동","1514","1997","풍림","59.4","7"
"20","2021","8","18","    54,000","11260"," 면목동","193-1","1988","면목한신","44.5","3"
"21","2021","8","18","    45,000","11260"," 면목동","1286-1","2007","동일스카이씨티(37차)","84.85","2"
"22","2021","8","19","    73,500","11260"," 면목동","1519","1998","신성","84.98","13"
"23","2021","8","19","    86,500","11260"," 면목동","1508","2003","동원베네스트","84.86","4"
"24","2021","8","19","    84,700","11260"," 면목동","581","2003","대원칸타빌","79.5359","13"
"25","2021","8","19","    82,650","11260"," 면목동","1502","1994","현대","72.63","20"
"26","2021","8","20","    40,000","11260"," 면목동","193-1","1988","면목한신","35.3","15"
"27","2021","8","21","    58,900","11260"," 면목동","1514","1997","풍림","59.4","8"
"28","2021","8","21","    69,000","11260"," 면목동","1516","1997","면목삼익아파트","59.5","19"
"29","2021","8","21","    80,000","11260"," 면목동","1519","1998","신성","103.11","9"
"30","2021","8","21","    70,500","11260"," 면목동","1522-1","2000","두산5","60","22"
"31","2021","8","23","    60,000","11260"," 면목동","1514","1997","풍림","59.4","8"
"32","2021","8","25","    40,000","11260"," 면목동","193-1","1988","면목한신","35.3","1"
"33","2021","8","27","    87,700","11260"," 면목동","1513","2000","면목삼호101","113.49","1"
"34","2021","8","28","    73,000","11260"," 면목동","715","2002","늘푸른동아","59.65","17"
"35","2021","8","28","    86,800","11260"," 면목동","1515","1997","성원상떼빌","114.75","2"
"36","2021","8","30","    84,800","11260"," 면목동","1522","2000","두산4","84.87","3"
"37","2021","8","30","    52,800","11260"," 면목동","193-1","1988","면목한신","44.5","3"
"38","2021","8","30","    73,900","11260"," 면목동","1527","2004","신성미소지움","80.1913","12"
"39","2021","8","31","   109,000","11260"," 면목동","1544","2020","라온프라이빗","59.9841","10"
"40","2021","8","2","   163,000","11260"," 상봉동","500","2013","프레미어스엠코","134.87","35"
"41","2021","8","5","    61,000","11260"," 상봉동","63","1996","건영2차아파트","84.96","4"
"42","2021","8","7","    28,700","11260"," 상봉동","104-10","2019","리더스","29.57","6"
"43","2021","8","7","    76,500","11260"," 상봉동","497","2003","태영데시앙1","59.6772","6"
"44","2021","8","7","    98,500","11260"," 상봉동","499","2006","건영캐스빌","84.6475","7"
"45","2021","8","10","    73,000","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","12"
"46","2021","8","10","    87,000","11260"," 상봉동","63","1996","건영2차아파트","84.96","18"
"47","2021","8","12","    82,500","11260"," 상봉동","1","1997","건영1","84.96","16"
"48","2021","8","12","    78,000","11260"," 상봉동","496","2002","우정아파트","57.189","14"
"49","2021","8","14","    95,000","11260"," 상봉동","81-5","2003","한일써너스빌","84.914","10"
"50","2021","8","14","    65,800","11260"," 상봉동","495","1999","동부아파트","54","14"
"51","2021","8","14","    79,500","11260"," 상봉동","1","1997","건영1","84.96","9"
"52","2021","8","14","    39,800","11260"," 상봉동","284-13","2010","동일스카이시티102동","62.62","1"
"53","2021","8","20","    94,500","11260"," 상봉동","499","2006","건영캐스빌","84.6475","12"
"54","2021","8","20","    87,000","11260"," 상봉동","498","2003","태영데시앙2(1411동)","84.6","10"
"55","2021","8","21","    62,800","11260"," 상봉동","495","1999","동부아파트","54","2"
"56","2021","8","24","    94,500","11260"," 상봉동","81-5","2003","한일써너스빌","84.914","8"
"57","2021","8","26","    94,000","11260"," 상봉동","497","2003","태영데시앙1","84.9353","25"
"58","2021","8","27","   136,000","11260"," 상봉동","500","2013","프레미어스엠코","107.12","42"
"59","2021","8","30","    89,000","11260"," 상봉동","498","2003","태영데시앙2(1411동)","84.6","12"
"60","2021","8","3","    77,000","11260"," 중화동","450","1998","한신아파트(103~109)","59.76","4"
"61","2021","8","4","    90,000","11260"," 중화동","454","2013","동양엔파트2차","84.63","8"
"62","2021","8","10","    45,300","11260"," 중화동","42","1998","중화동건영아파트","59.94","15"
"63","2021","8","14","    78,500","11260"," 중화동","450","1998","한신아파트(101~102)","59.76","18"
"64","2021","8","18","    12,200","11260"," 중화동","208-4","2012","범양프레체","17.94","15"
"65","2021","8","20","    12,000","11260"," 중화동","208-4","2012","범양프레체","17.94","8"
"66","2021","8","20","    61,500","11260"," 중화동","274-76","2003","한영(103)","104.93","7"
"67","2021","8","21","    88,000","11260"," 중화동","450","1998","한신아파트(101~102)","84.03","3"
"68","2021","8","24","    49,000","11260"," 중화동","314-1","2005","태능에셈빌","84.843","11"
