"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","1","   103,000","11680"," 역삼동","777-2","2004","역삼이안애에이","84.28","2"
"2","2021","7","3","    90,000","11680"," 역삼동","713-11","2006","역삼I'PARK","28.246","11"
"3","2021","7","4","   259,000","11680"," 역삼동","755-4","2005","e-편한세상","84.991","15"
"4","2021","7","5","   205,000","11680"," 역삼동","755-4","2005","e-편한세상","59.606","3"
"5","2021","7","7","   280,000","11680"," 역삼동","716-3","2012","개나리SK뷰","84.99","5"
"6","2021","7","10","   260,000","11680"," 역삼동","762-3","2010","래미안그레이튼(진달래2차)","84.81","10"
"7","2021","7","10","   208,000","11680"," 역삼동","754-1","2006","역삼푸르지오","59.8848","5"
"8","2021","7","12","    80,000","11680"," 역삼동","783-30","2003","공간쉐르빌","75.45","5"
"9","2021","7","13","   181,500","11680"," 역삼동","794-28","1996","거평빌라트","210.15","3"
"10","2021","7","13","   203,000","11680"," 역삼동","757","2005","역삼래미안","59.4","12"
"11","2021","7","14","    33,000","11680"," 역삼동","706-20","2001","한화진넥스빌","34.82","10"
"12","2021","7","16","    86,000","11680"," 역삼동","713-11","2006","역삼I'PARK","28.246","14"
"13","2021","7","17","   260,000","11680"," 역삼동","762-3","2010","래미안그레이튼(진달래2차)","84.81","6"
"14","2021","7","22","   204,000","11680"," 역삼동","757","2005","역삼래미안","59.53","6"
"15","2021","7","22","   120,000","11680"," 역삼동","656-31","2005","역삼엔스위트102동","107.3","2"
"16","2021","7","24","   204,500","11680"," 역삼동","757","2005","역삼래미안","59.4","4"
"17","2021","7","26","    60,000","11680"," 역삼동","766-8","2002","트레벨","33.48","4"
"18","2021","7","31","    32,000","11680"," 역삼동","720-25","2002","대우디오빌","30.03","14"
"19","2021","7","31","   348,000","11680"," 역삼동","713-7","2007","래미안펜타빌","157.37","17"
"20","2021","7","31","   220,000","11680"," 역삼동","716","1998","동부센트레빌","84.97","10"
"21","2021","7","5","   137,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","15"
"22","2021","7","5","   155,000","11680"," 개포동","12","1992","삼익대청아파트","51.12","4"
