"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","   143,000","11740"," 명일동","257","1985","고덕주공9","83.21","6"
"2","2021","5","1","    50,000","11740"," 명일동","344-16","2004","한강훼미리","84.86","5"
"3","2021","5","3","    89,500","11740"," 명일동","332","1999","명일엘지","59.79","20"
"4","2021","5","5","   136,000","11740"," 명일동","257","1985","고덕주공9","83.52","5"
"5","2021","5","5","    81,500","11740"," 명일동","332","1999","명일엘지","59.79","1"
"6","2021","5","6","    83,000","11740"," 명일동","326-9","2001","중앙","84.86","2"
"7","2021","5","8","   162,000","11740"," 명일동","15","1983","삼익그린2차","84.755","11"
"8","2021","5","10","   142,500","11740"," 명일동","257","1985","고덕주공9","83.52","7"
"9","2021","5","11","    80,000","11740"," 명일동","326-9","2001","중앙","82.54","3"
"10","2021","5","13","   124,000","11740"," 명일동","15","1984","삼익그린2차","54.81","5"
"11","2021","5","15","    89,990","11740"," 명일동","251-1","1988","현대(명일)","57.09","8"
"12","2021","5","15","   130,000","11740"," 명일동","47","1992","삼환","84.93","4"
"13","2021","5","15","    72,750","11740"," 명일동","48-12","1995","동양타워","77.46","10"
"14","2021","5","17","   138,000","11740"," 명일동","47","1992","삼환","84.92","14"
"15","2021","5","21","   173,800","11740"," 명일동","42","1986","명일우성","133.65","11"
"16","2021","5","22","   137,000","11740"," 명일동","15","1983","삼익그린2차","66.87","2"
"17","2021","5","29","   142,000","11740"," 명일동","257","1985","고덕주공9","83.21","2"
"18","2021","5","29","    64,500","11740"," 명일동","312-165","2004","우성103동","84.61","1"
"19","2021","5","29","    86,000","11740"," 명일동","332","1999","명일엘지","59.79","4"
"20","2021","5","31","   182,000","11740"," 명일동","44","1986","신동아","127.33","5"
"21","2021","5","1","   116,000","11740"," 고덕동","312","1995","배재현대","59.94","14"
"22","2021","5","4","   143,000","11740"," 고덕동","693","2019","고덕그라시움","59.028","5"
"23","2021","5","6","   151,000","11740"," 고덕동","693","2019","고덕그라시움","73.873","5"
"24","2021","5","7","   108,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.14","26"
"25","2021","5","7","   132,000","11740"," 고덕동","693","2019","고덕그라시움","73.566","21"
"26","2021","5","8","   126,700","11740"," 고덕동","486","1996","아남1","84.91","8"
"27","2021","5","9","   115,000","11740"," 고덕동","312","1995","배재현대","59.94","13"
"28","2021","5","11","   159,000","11740"," 고덕동","499","2011","고덕 아이파크","84.98","15"
"29","2021","5","12","   115,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.14","17"
"30","2021","5","12","   124,000","11740"," 고덕동","486","1996","아남1","84.91","5"
"31","2021","5","12","   115,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.14","17"
"32","2021","5","12","   110,000","11740"," 고덕동","693","2019","고덕그라시움","59.028","11"
"33","2021","5","13","   136,500","11740"," 고덕동","693","2019","고덕그라시움","84.24","12"
"34","2021","5","13","   156,500","11740"," 고덕동","688","2016","래미안힐스테이트고덕","84.88","10"
"35","2021","5","15","   150,000","11740"," 고덕동","499","2011","고덕 아이파크","84.98","9"
"36","2021","5","19","   137,800","11740"," 고덕동","693","2019","고덕그라시움","59.508","7"
"37","2021","5","19","   110,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.09","10"
"38","2021","5","20","   156,000","11740"," 고덕동","499","2011","고덕 아이파크","84.98","6"
"39","2021","5","22","   154,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","84.9","19"
"40","2021","5","25","   113,000","11740"," 고덕동","210-1","2020","고덕센트럴푸르지오","59.14","20"
"41","2021","5","26","   129,000","11740"," 고덕동","499","2011","고덕 아이파크","59.99","11"
"42","2021","5","30","   189,000","11740"," 고덕동","688","2016","래미안힐스테이트고덕","97.26","11"
"43","2021","5","1","   158,000","11740"," 상일동","519","2020","고덕아르테온","84.97","8"
"44","2021","5","1","   128,000","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","59.981","17"
"45","2021","5","8","   115,000","11740"," 상일동","490","2011","고덕리엔파크3단지","84.98","1"
"46","2021","5","10","   175,000","11740"," 상일동","519","2020","고덕아르테온","84.93","4"
"47","2021","5","11","   155,500","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.923","7"
"48","2021","5","11","   156,000","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.923","22"
"49","2021","5","13","   131,000","11740"," 상일동","519","2020","고덕아르테온","59.98","12"
"50","2021","5","15","   120,000","11740"," 상일동","515","2018","고덕숲아이파크","59.93","9"
"51","2021","5","18","    90,000","11740"," 상일동","476","1992","중앙하이츠","59.94","6"
"52","2021","5","25","   139,000","11740"," 상일동","513","2019","고덕센트럴IPARK","74.88","16"
"53","2021","5","25","   130,000","11740"," 상일동","521","2021","고덕자이","59.9398","21"
"54","2021","5","25","   125,000","11740"," 상일동","514","2019","고덕롯데캐슬베네루체","84.146","3"
"55","2021","5","29","   131,000","11740"," 상일동","521","2021","고덕자이","59.9398","10"
"56","2021","5","31","   160,000","11740"," 상일동","519","2020","고덕아르테온","84.95","18"
"57","2021","5","1","    80,000","11740"," 길동","247","2006","광남캐스빌(247-0)","84.44","6"
"58","2021","5","1","    13,500","11740"," 길동","343-1","2012","현대웰하임(101동)","16.959","14"
"59","2021","5","3","    13,500","11740"," 길동","457-1","2014","강동렘브란트","15.86","7"
"60","2021","5","3","    13,000","11740"," 길동","415-16","2014","청광플러스원큐브3차","13.265","12"
"61","2021","5","3","    12,000","11740"," 길동","415-16","2014","청광플러스원큐브3차","13.265","13"
"62","2021","5","3","    12,500","11740"," 길동","415-13","2013","강동큐브(2차)","12.52","6"
"63","2021","5","4","   129,000","11740"," 길동","53","1983","삼익파크맨션","95.96","7"
"64","2021","5","6","   121,000","11740"," 길동","474","2003","강동LG자이","84.88","14"
"65","2021","5","6","     8,000","11740"," 길동","343-2","2012","현대웰하임(201동)","14.468","4"
"66","2021","5","7","     7,900","11740"," 길동","343-2","2012","현대웰하임(201동)","13.109","5"
"67","2021","5","8","    28,500","11740"," 길동","388-7","2015","다성이즈빌","39.92","15"
"68","2021","5","11","    54,000","11740"," 길동","353-40","2003","유덕휴먼빌","81.94","4"
"69","2021","5","14","    32,500","11740"," 길동","152-3","2004","엠프라자아파트","45.02","7"
"70","2021","5","15","   104,000","11740"," 길동","53","1982","삼익파크맨션","72.3","6"
"71","2021","5","15","   132,500","11740"," 길동","474","2003","강동LG자이","84.88","18"
"72","2021","5","15","    87,000","11740"," 길동","400","1994","길동우성","57.1","8"
"73","2021","5","15","    60,000","11740"," 길동","228","2005","해맞이에이동","83.8","2"
"74","2021","5","16","   120,000","11740"," 길동","477","2020","이편한세상강동에코포레","59.99","18"
"75","2021","5","18","    54,000","11740"," 길동","348-4","2008","다성이즈빌","57.46","8"
"76","2021","5","19","    13,100","11740"," 길동","343-1","2012","현대웰하임(101동)","16.959","13"
"77","2021","5","20","    13,300","11740"," 길동","349-1","2012","다성이즈빌(349-1)","17.2","8"
"78","2021","5","21","     9,900","11740"," 길동","387-5","2012","청광플러스원(큐브1차)","16.685","7"
"79","2021","5","22","   127,000","11740"," 길동","474","2003","강동LG자이","84.88","10"
"80","2021","5","22","   159,000","11740"," 길동","474","2003","강동LG자이","147.17","11"
"81","2021","5","25","    10,500","11740"," 길동","457-1","2014","강동렘브란트","15.86","9"
"82","2021","5","25","    11,000","11740"," 길동","343-1","2012","현대웰하임(101동)","16.959","5"
"83","2021","5","26","    13,000","11740"," 길동","415-13","2013","강동큐브(2차)","12.52","10"
"84","2021","5","26","    12,600","11740"," 길동","415-13","2013","강동큐브(2차)","14.32","14"
"85","2021","5","26","    10,300","11740"," 길동","456-3","2013","강동큐브","12.49","17"
"86","2021","5","27","    95,000","11740"," 길동","53","1983","삼익파크맨션","63.32","2"
"87","2021","5","28","    12,000","11740"," 길동","414-4","2014","강동와이시티","13.97","8"
"88","2021","5","28","   104,000","11740"," 길동","400","1994","길동우성","84.75","4"
"89","2021","5","31","    10,700","11740"," 길동","457-1","2014","강동렘브란트","15.86","12"
"90","2021","5","31","    13,000","11740"," 길동","415-13","2013","강동큐브(2차)","15.12","7"
"91","2021","5","3","   103,000","11740"," 둔촌동","70-5","1988","현대2","69.17","8"
"92","2021","5","4","   135,000","11740"," 둔촌동","630","2010","둔촌푸르지오","84.92","4"
"93","2021","5","8","    83,000","11740"," 둔촌동","621","1997","초원동아","63.68","6"
"94","2021","5","8","    78,800","11740"," 둔촌동","621","1997","초원동아","59.63","4"
"95","2021","5","9","    57,000","11740"," 둔촌동","435-2","2012","상상프리","59.79","6"
"96","2021","5","15","   133,000","11740"," 둔촌동","603","1984","프라자","109.07","6"
"97","2021","5","15","   120,000","11740"," 둔촌동","603","1984","프라자","83.4","7"
"98","2021","5","16","    96,000","11740"," 둔촌동","545","1998","둔촌하이츠","59.79","3"
"99","2021","5","17","    74,000","11740"," 둔촌동","613","1995","성원","59.22","11"
"100","2021","5","18","   104,700","11740"," 둔촌동","546","1998","신성둔촌미소지움1","59.78","2"
"101","2021","5","20","   114,000","11740"," 둔촌동","603","1984","프라자","83.4","4"
"102","2021","5","21","   130,000","11740"," 둔촌동","630","2010","둔촌푸르지오","113.67","16"
"103","2021","5","22","    56,300","11740"," 둔촌동","64","2016","청호뜨레피움퍼스트아파트","56.65","6"
"104","2021","5","22","    66,000","11740"," 둔촌동","511-2","2004","케이엔피로얄","79.77","3"
"105","2021","5","24","    99,500","11740"," 둔촌동","135-1","1988","현대3","69.3","7"
"106","2021","5","26","   118,000","11740"," 둔촌동","630","2010","둔촌푸르지오","59.98","5"
"107","2021","5","29","    95,000","11740"," 둔촌동","135-1","1988","현대3","69.3","8"
"108","2021","5","30","   141,000","11740"," 둔촌동","630","2010","둔촌푸르지오","84.92","5"
"109","2021","5","1","   101,000","11740"," 암사동","509","2000","선사현대아파트","59.64","11"
"110","2021","5","3","    65,000","11740"," 암사동","441-10","2000","정산(101동)","84.59","4"
"111","2021","5","5","    52,000","11740"," 암사동","459-1","2016","다성이즈빌","29.45","8"
"112","2021","5","7","   131,700","11740"," 암사동","509","2000","선사현대아파트","83.67","5"
"113","2021","5","8","   150,000","11740"," 암사동","413","2007","프라이어팰리스","114.272","22"
"114","2021","5","12","   124,800","11740"," 암사동","414-2","2008","롯데캐슬퍼스트","59.99","22"
"115","2021","5","13","    99,900","11740"," 암사동","509","2000","선사현대아파트","59.64","13"
"116","2021","5","13","   130,000","11740"," 암사동","509","2000","선사현대아파트","83.79","6"
"117","2021","5","13","   159,800","11740"," 암사동","414-2","2008","롯데캐슬퍼스트","84.81","32"
"118","2021","5","19","   112,800","11740"," 암사동","419","2002","암사동한솔","84.73","7"
"119","2021","5","22","   105,000","11740"," 암사동","509","2000","선사현대아파트","58.68","10"
"120","2021","5","22","   143,000","11740"," 암사동","413","2007","프라이어팰리스","84.975","23"
"121","2021","5","22","   153,000","11740"," 암사동","413","2007","프라이어팰리스","84.988","15"
"122","2021","5","22","   141,000","11740"," 암사동","509","2000","선사현대아파트","82.94","15"
"123","2021","5","24","    95,000","11740"," 암사동","442-1","1999","한강현대","59.94","13"
"124","2021","5","26","   154,000","11740"," 암사동","414-2","2008","롯데캐슬퍼스트","84.98","14"
"125","2021","5","29","   126,500","11740"," 암사동","414-2","2008","롯데캐슬퍼스트","59.99","9"
"126","2021","5","29","    65,000","11740"," 암사동","447-8","1987","대명","48.45","5"
"127","2021","5","29","   119,800","11740"," 암사동","509","2000","선사현대아파트","72.85","6"
"128","2021","5","31","    72,050","11740"," 암사동","516-2","2010","한강리치팰리스","84.86","6"
"129","2021","5","31","   124,000","11740"," 암사동","414-2","2008","롯데캐슬퍼스트","59.99","16"
"130","2021","5","1","    88,500","11740"," 성내동","419-1","1999","둔촌역청구","59.87","6"
"131","2021","5","5","    22,500","11740"," 성내동","444-4","2002","강동네스빌","29.19","7"
"132","2021","5","6","    27,600","11740"," 성내동","419","2020","집앤사비카","18.45","4"
"133","2021","5","7","    52,000","11740"," 성내동","382-16","2003","샤인빌(B동)","84.56","4"
"134","2021","5","8","    38,000","11740"," 성내동","444-4","2002","강동네스빌","48.19","5"
"135","2021","5","9","    73,000","11740"," 성내동","454-1","2005","해가든(454-1)","82.97","2"
"136","2021","5","11","    89,000","11740"," 성내동","51","2003","성내동대성","84.98","4"
"137","2021","5","12","   148,500","11740"," 성내동","452-2","1996","파크뷰진도맨션","208.32","4"
"138","2021","5","13","    23,700","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0675","12"
"139","2021","5","13","    23,100","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.04","12"
"140","2021","5","13","    23,900","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0075","12"
"141","2021","5","13","    23,900","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0075","12"
"142","2021","5","13","    23,500","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.04","12"
"143","2021","5","13","    23,900","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0675","12"
"144","2021","5","13","    23,700","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.04","13"
"145","2021","5","13","    23,900","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0675","13"
"146","2021","5","13","    27,000","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","19.8275","14"
"147","2021","5","13","    23,900","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0075","14"
"148","2021","5","13","    23,700","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.04","14"
"149","2021","5","13","    25,000","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.0575","15"
"150","2021","5","13","    25,000","11740"," 성내동","548-4","2021","에스아이팰리스센트럴성내","14.8975","15"
"151","2021","5","13","    72,500","11740"," 성내동","419-13","1997","동아1","59.72","3"
