"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","1","    90,000","11305"," 미아동","461","2010","송천센트레빌","59.818","15"
"2","2021","4","1","    75,000","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","11"
"3","2021","4","2","    73,500","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","2"
"4","2021","4","2","   100,000","11305"," 미아동","813","2010","래미안트리베라1단지","84.97","4"
"5","2021","4","3","    89,000","11305"," 미아동","1355","2002","미아한일유앤아이","129.784","15"
"6","2021","4","7","    85,000","11305"," 미아동","1356","2003","경남아너스빌(1356-0)","84.873","15"
"7","2021","4","10","    62,750","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","18"
"8","2021","4","11","    54,000","11305"," 미아동","1361","2013","이너스내안에","81.02","7"
"9","2021","4","12","    82,800","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","23"
"10","2021","4","12","    84,400","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","4"
"11","2021","4","13","    62,500","11305"," 미아동","1354","2004","벽산라이브파크","60","9"
"12","2021","4","13","    78,500","11305"," 미아동","1357","2003","삼각산아이원","84.705","9"
"13","2021","4","14","    99,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.18","3"
"14","2021","4","17","    78,000","11305"," 미아동","1357","2003","삼각산아이원","84.705","18"
"15","2021","4","17","    74,000","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","15"
"16","2021","4","19","    87,250","11305"," 미아동","1353","2004","에스케이북한산시티","114.85","6"
"17","2021","4","20","    74,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.92","3"
"18","2021","4","20","    50,000","11305"," 미아동","318-5","2009","성북프라자","68.675","3"
"19","2021","4","21","    67,500","11305"," 미아동","1357","2003","삼각산아이원","59.758","3"
"20","2021","4","23","    62,800","11305"," 미아동","1354","2004","벽산라이브파크","60","16"
"21","2021","4","24","    61,500","11305"," 미아동","1354","2004","벽산라이브파크","60","5"
"22","2021","4","24","    76,500","11305"," 미아동","1353","2004","에스케이북한산시티","84.86","7"
"23","2021","4","24","    68,500","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","12"
"24","2021","4","24","    83,500","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","59.36","4"
"25","2021","4","27","    90,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","14"
"26","2021","4","27","    66,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","3"
"27","2021","4","28","    62,400","11305"," 미아동","1354","2004","벽산라이브파크","59.67","14"
"28","2021","4","30","    68,500","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","16"
"29","2021","4","30","    65,100","11305"," 미아동","1354","2004","벽산라이브파크","59.67","4"
"30","2021","4","30","    84,000","11305"," 미아동","1354","2004","벽산라이브파크","114.68","15"
"31","2021","4","30","    80,000","11305"," 미아동","1357","2003","삼각산아이원","84.705","16"
"32","2021","4","1","    40,000","11305"," 번동","204","2000","신원","59.96","1"
"33","2021","4","3","    49,500","11305"," 번동","136","1999","번동솔그린","59.82","17"
"34","2021","4","4","    59,000","11305"," 번동","136","1999","번동솔그린","84.6","15"
"35","2021","4","7","    71,000","11305"," 번동","242","1991","주공1단지","79.07","15"
"36","2021","4","9","    56,000","11305"," 번동","139","2003","해모로아파트","59.98","19"
"37","2021","4","9","    51,000","11305"," 번동","204","2000","신원","59.96","18"
"38","2021","4","15","    43,800","11305"," 번동","234","1991","주공4단지","41.3","3"
"39","2021","4","17","    46,000","11305"," 번동","242","1991","주공1단지","41.3","12"
"40","2021","4","19","    74,000","11305"," 번동","139","2003","해모로아파트","127.25","3"
"41","2021","4","20","    48,500","11305"," 번동","204","2000","신원","59.96","6"
"42","2021","4","21","    40,000","11305"," 번동","191","2000","기산그린","59.94","4"
"43","2021","4","21","    63,000","11305"," 번동","242","1991","주공1단지","49.94","13"
"44","2021","4","22","    72,300","11305"," 번동","138","2005","한솔솔파크","84.88","3"
"45","2021","4","22","    70,000","11305"," 번동","139","2003","해모로아파트","84.93","5"
"46","2021","4","23","    50,900","11305"," 번동","242","1991","주공1단지","41.3","14"
"47","2021","4","23","    65,500","11305"," 번동","139","2003","해모로아파트","84.93","14"
"48","2021","4","24","    50,000","11305"," 번동","242","1991","주공1단지","41.3","13"
"49","2021","4","24","    52,600","11305"," 번동","148-494","1997","현대(148-494)","84.9","16"
"50","2021","4","27","    53,500","11305"," 번동","470-1","1998","삼성","59.77","9"
"51","2021","4","27","    79,000","11305"," 번동","139","2003","해모로아파트","127.25","10"
"52","2021","4","28","    61,000","11305"," 번동","242","1991","주공1단지","49.94","15"
"53","2021","4","2","    41,200","11305"," 수유동","729","2000","수유현대","59.67","15"
"54","2021","4","3","    23,500","11305"," 수유동","178-1","2002","청솔","56.85","2"
"55","2021","4","5","    29,500","11305"," 수유동","282-11","2003","파크(가)","65.99","1"
"56","2021","4","8","    30,000","11305"," 수유동","52-27","2004","현대맨션(52-27)","59.54","3"
"57","2021","4","15","    54,500","11305"," 수유동","205","1993","수유벽산1차","63.78","11"
"58","2021","4","21","    71,300","11305"," 수유동","205","1993","수유벽산1차","84.95","10"
"59","2021","4","27","    78,500","11305"," 수유동","205","1993","수유벽산1차","122.58","5"
"60","2021","4","28","     9,047","11305"," 수유동","733","2014","수유역하이씨티","12.02","11"
"61","2021","4","28","     8,881","11305"," 수유동","733","2014","수유역하이씨티","12.01","5"
"62","2021","4","29","    82,000","11305"," 수유동","205","1993","수유벽산1차","122.58","11"
"63","2021","4","30","    44,613","11305"," 수유동","739","2020","북한산스카이뷰아파트","64.5","6"
"64","2021","4","10","    50,500","11305"," 우이동","1","1990","성원상떼빌","84.98","12"
