"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","2","    53,000","11500"," 염창동","311","2021","등촌제이스카이","39.87","1"
"2","2021","11","4","    97,000","11500"," 염창동","288","1994","현대1","84.9","5"
"3","2021","11","8","    70,500","11500"," 염창동","248-3","1994","삼성하나로","59.26","1"
"4","2021","11","15","    84,500","11500"," 염창동","264-27","1993","삼성한아름","84.9","15"
"5","2021","11","20","   105,000","11500"," 염창동","288","1994","현대1","84.34","10"
"6","2021","11","22","   117,000","11500"," 염창동","305","2008","염창1차보람더하임","84.97","2"
"7","2021","11","23","    90,500","11500"," 염창동","288","1994","현대1","84.19","1"
"8","2021","11","2","    29,500","11500"," 등촌동","725","2021","마곡루나플라체","22.05","4"
"9","2021","11","4","    96,000","11500"," 등촌동","702","1995","주공10","58.14","8"
"10","2021","11","5","    62,000","11500"," 등촌동","651","2011","청솔펠리체","83.12","1"
"11","2021","11","6","    80,000","11500"," 등촌동","632-4","1997","삼성한사랑1","59.69","7"
"12","2021","11","8","    80,000","11500"," 등촌동","628-15","1997","등촌라인(조합)","59.91","14"
"13","2021","11","10","    80,000","11500"," 등촌동","638","1999","서광등촌마을아파트","59.96","18"
"14","2021","11","16","   101,000","11500"," 등촌동","688","1995","주공3","58.14","3"
"15","2021","11","17","    88,000","11500"," 등촌동","695","1995","주공5","58.14","3"
"16","2021","11","1","    45,000","11500"," 화곡동","1168","2019","스위트드림아파트","48.89","4"
"17","2021","11","1","     9,000","11500"," 화곡동","1161","2012","강서동도센트리움","14.677","2"
"18","2021","11","1","    61,000","11500"," 화곡동","1071-19","2013","강서뉴타워","82.88","10"
"19","2021","11","2","    59,000","11500"," 화곡동","1071-19","2013","강서뉴타워","78.93","13"
"20","2021","11","2","    10,500","11500"," 화곡동","1161","2012","강서동도센트리움","14.677","8"
"21","2021","11","2","    45,000","11500"," 화곡동","474-18","2007","푸른숲2차(474-18)","76.559","2"
"22","2021","11","3","     8,000","11500"," 화곡동","926-5","2013","한양아이클래스","13.79","10"
"23","2021","11","3","    30,000","11500"," 화곡동","920-15","2017","남광아파트","35.33","14"
"24","2021","11","4","    32,000","11500"," 화곡동","917-5","2015","남광아파트","45.47","10"
"25","2021","11","4","     8,300","11500"," 화곡동","1111-3","2012","경동엠파이어스테이트","14.315","5"
"26","2021","11","5","    12,300","11500"," 화곡동","917-14","2015","삼성다빈치(917-14)","14.35","6"
"27","2021","11","5","    12,300","11500"," 화곡동","917-14","2015","삼성다빈치(917-14)","14.35","6"
"28","2021","11","8","    25,000","11500"," 화곡동","897-2","2017","루체비스타","29.77","8"
"29","2021","11","11","    33,000","11500"," 화곡동","917-5","2015","남광아파트","45.72","11"
"30","2021","11","13","    21,700","11500"," 화곡동","897-2","2017","루체비스타","23.66","4"
"31","2021","11","13","    26,000","11500"," 화곡동","899-4","2017","동양하우징(899-4)","28.25","11"
"32","2021","11","13","   122,000","11500"," 화곡동","1165","2015","강서힐스테이트","59.99","6"
"33","2021","11","17","    45,000","11500"," 화곡동","1103-3","2004","굿이모션(1103-3)","77.76","4"
"34","2021","11","17","    44,000","11500"," 화곡동","911-10","2003","삼성홈타운","74.58","6"
"35","2021","11","17","    27,800","11500"," 화곡동","381-11","2003","동서1,2호(381-11)","73.94","7"
"36","2021","11","17","    45,000","11500"," 화곡동","1103-3","2004","굿이모션(1103-3)","77.76","4"
