"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","1","    75,500","11620"," 봉천동","1718","2005","벽산블루밍","59.99","10"
"2","2021","2","1","    28,800","11620"," 봉천동","645-87","1971","복권","47.61","1"
"3","2021","2","1","    84,000","11620"," 봉천동","1000","1992","현대(관악)","68.8","10"
"4","2021","2","1","   122,000","11620"," 봉천동","1000","1992","현대(관악)","123.29","6"
"5","2021","2","2","    35,000","11620"," 봉천동","1672-10","2004","탑","71.56","5"
"6","2021","2","2","    18,800","11620"," 봉천동","867-12","2013","프라비다2","20.45","7"
"7","2021","2","2","    12,700","11620"," 봉천동","867-9","2012","서울대역해담채","13.41","10"
"8","2021","2","2","    79,800","11620"," 봉천동","856-1","2007","대우디오슈페리움2단지","84.76","10"
"9","2021","2","3","    84,500","11620"," 봉천동","1720","2004","벽산블루밍3차","84.72","2"
"10","2021","2","3","   103,000","11620"," 봉천동","1712","2003","관악드림(동아)","84.96","24"
"11","2021","2","3","    92,000","11620"," 봉천동","1712","2003","관악드림(삼성)","84.96","1"
"12","2021","2","3","   120,000","11620"," 봉천동","1730","2019","e편한세상서울대입구1단지","59.9","17"
"13","2021","2","3","    89,000","11620"," 봉천동","1560-62","2006","서울대입구아이원(1560-62)","59.96","10"
"14","2021","2","3","    60,000","11620"," 봉천동","1715","2002","부미아띠랑스힐","83.95","2"
"15","2021","2","4","    15,800","11620"," 봉천동","869-3","2012","프라비다1","14.38","18"
"16","2021","2","4","   128,500","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","84.93","3"
"17","2021","2","4","    56,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","49.95","6"
"18","2021","2","4","    92,000","11620"," 봉천동","1708","2000","두산","59.92","22"
"19","2021","2","4","    89,300","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","10"
"20","2021","2","5","   110,750","11620"," 봉천동","1713","2002","낙성대현대홈타운","114.919","12"
"21","2021","2","5","   115,000","11620"," 봉천동","1712","2003","관악드림(동아)","114.75","16"
"22","2021","2","5","    80,000","11620"," 봉천동","1522-29","2010","금강아미움(102동)","71.3453","3"
