"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","1","    68,000","11530"," 신도림동","290","1989","미성","37.91","4"
"2","2021","9","4","    91,500","11530"," 신도림동","642","2001","대림2","59.88","2"
"3","2021","9","9","    96,000","11530"," 신도림동","642","1999","대림1","59.88","6"
"4","2021","9","10","   164,800","11530"," 신도림동","692","2011","디큐브시티","105.45","36"
"5","2021","9","12","   145,000","11530"," 신도림동","649","2004","대림e-편한세상7","84.928","25"
"6","2021","9","12","   115,500","11530"," 신도림동","639","1996","우성2","84.94","1"
"7","2021","9","15","    94,200","11530"," 신도림동","642","2001","대림2","59.9","3"
"8","2021","9","17","   180,000","11530"," 신도림동","646","2003","대림e-편한세상4","117.74","3"
"9","2021","9","17","   170,000","11530"," 신도림동","646","2003","대림e-편한세상4","117.74","18"
"10","2021","9","17","   143,500","11530"," 신도림동","642","1999","대림1","134.99","15"
"11","2021","9","23","    18,500","11530"," 신도림동","695","2018","신도림 아르디에","18.95","3"
"12","2021","9","23","    18,500","11530"," 신도림동","695","2018","신도림 아르디에","18.95","3"
"13","2021","9","23","   166,500","11530"," 신도림동","692","2011","디큐브시티","105.45","19"
"14","2021","9","25","   124,800","11530"," 신도림동","642","1999","대림1","84.95","19"
"15","2021","9","25","   123,500","11530"," 신도림동","642","2001","대림2","84.95","5"
"16","2021","9","29","   108,000","11530"," 신도림동","643","1999","동아1","59.978","20"
"17","2021","9","1","   109,700","11530"," 구로동","685-222","1986","주공1","83.805","6"
"18","2021","9","1","    81,000","11530"," 구로동","685-223","1987","주공2","49.94","5"
"19","2021","9","2","    13,500","11530"," 구로동","97-4","2011","하나세인스톤2차","19.33","12"
"20","2021","9","2","    59,900","11530"," 구로동","1265","1998","구로두산","44.64","5"
"21","2021","9","2","    69,000","11530"," 구로동","314","1984","극동","91.05","10"
"22","2021","9","3","    22,800","11530"," 구로동","798-21","1984","(798-21)","40.68","1"
"23","2021","9","3","    27,200","11530"," 구로동","743-33","1987","(743-33)","58.89","1"
"24","2021","9","4","    59,400","11530"," 구로동","1265","1998","구로두산","44.64","13"
"25","2021","9","4","    57,700","11530"," 구로동","1278","2006","구로두산위브","36.88","1"
"26","2021","9","5","    50,700","11530"," 구로동","97-2","2005","순영웰라이빌2차","64.45","5"
"27","2021","9","6","    77,800","11530"," 구로동","256-1","2004","삼성래미안","56.036","21"
"28","2021","9","6","    23,900","11530"," 구로동","798-22","1996","(798-22)","44.84","4"
"29","2021","9","6","    50,000","11530"," 구로동","487-24","2020","M센트럴뷰","53.03","3"
"30","2021","9","6","    71,900","11530"," 구로동","1280","2007","한신휴플러스(1280-0)","50.03","2"
"31","2021","9","7","    70,300","11530"," 구로동","1058","1995","우성(1058)","59.34","5"
"32","2021","9","7","    53,900","11530"," 구로동","97-2","2005","순영웰라이빌2차","64.45","7"
"33","2021","9","8","     9,230","11530"," 구로동","98-10","2012","비즈트위트그린","15.11","11"
"34","2021","9","8","    10,900","11530"," 구로동","44-5","2012","비즈트위트레인보우","15.58","4"
"35","2021","9","9","    66,900","11530"," 구로동","1259","1998","구일우성","59.44","24"
"36","2021","9","9","    79,400","11530"," 구로동","685-70","1989","현대연예인","74.66","14"
"37","2021","9","10","    60,000","11530"," 구로동","1265","1998","구로두산","44.64","6"
"38","2021","9","10","    50,000","11530"," 구로동","120","1987","대림우성2","43.79","9"
"39","2021","9","10","    86,000","11530"," 구로동","1259","1998","구일우성","84.49","5"
"40","2021","9","10","    12,000","11530"," 구로동","107-4","2012","비즈트위트블루","16.04","4"
"41","2021","9","11","    66,000","11530"," 구로동","1265","1998","구로두산","51.84","9"
"42","2021","9","11","    83,000","11530"," 구로동","1280-1","2007","한신휴플러스(1280-1)","58.03","11"
"43","2021","9","11","    59,700","11530"," 구로동","642-9","1988","한신","45.563","6"
"44","2021","9","11","    30,000","11530"," 구로동","748-24","1961","은진빌라(748-24)","59.92","1"
"45","2021","9","12","   180,000","11530"," 구로동","1267","2000","신도림태영타운","171.22","21"
"46","2021","9","12","    11,400","11530"," 구로동","44-8","2013","비즈트위트오렌지","15.54","4"
"47","2021","9","13","    11,000","11530"," 구로동","110","2012","종인아네스트","16.04","20"
"48","2021","9","13","    11,800","11530"," 구로동","44-5","2012","비즈트위트레인보우","15.17","4"
"49","2021","9","13","    88,000","11530"," 구로동","1263","1999","신도림롯데아파트","59.68","18"
"50","2021","9","13","    11,000","11530"," 구로동","106-2","2015","대림역포스큐","14.579","16"
"51","2021","9","13","    11,500","11530"," 구로동","44-5","2012","비즈트위트레인보우","15.17","3"
"52","2021","9","14","    83,000","11530"," 구로동","685-147","1987","현대상선","79.98","10"
"53","2021","9","15","    70,000","11530"," 구로동","1272","2003","미래타워","84.97","13"
"54","2021","9","15","    26,000","11530"," 구로동","718-11","1999","(718-11)경원주택6동","44.55","5"
"55","2021","9","15","    14,850","11530"," 구로동","98-4","2012","대림역와이즈플레이스","24.611","18"
"56","2021","9","17","    85,000","11530"," 구로동","685-70","1989","현대연예인","84.91","15"
"57","2021","9","17","    73,000","11530"," 구로동","74-30","1988","현대","72.33","6"
"58","2021","9","17","    77,500","11530"," 구로동","685-124","1987","중앙하이츠","70.52","4"
"59","2021","9","18","    29,000","11530"," 구로동","805-16","1961","(805-16)","60.6","5"
"60","2021","9","18","    52,300","11530"," 구로동","314","1984","극동","55.57","9"
"61","2021","9","18","    53,000","11530"," 구로동","100-8","1998","신안타워","59.43","15"
"62","2021","9","20","    11,000","11530"," 구로동","97","2014","로제리움2차","14.04","18"
"63","2021","9","23","    88,000","11530"," 구로동","1261","1998","일신건영","84.66","5"
"64","2021","9","23","    76,000","11530"," 구로동","685-124","1987","중앙하이츠","70.52","12"
"65","2021","9","23","    22,900","11530"," 구로동","798-21","1984","(798-21)","34.92","1"
"66","2021","9","24","    55,000","11530"," 구로동","97-2","2005","순영웰라이빌2차","64.45","18"
"67","2021","9","24","   100,000","11530"," 구로동","685-222","1986","주공1","73.08","3"
"68","2021","9","24","    26,000","11530"," 구로동","762-11","1998","에덴","53.31","2"
"69","2021","9","24","    83,500","11530"," 구로동","685-223","1987","주공2","49.94","4"
"70","2021","9","24","    91,000","11530"," 구로동","1269","2001","중앙하이츠(1269)","82.3019","14"
"71","2021","9","24","    91,000","11530"," 구로동","1269","2001","중앙하이츠(1269)","82.3019","14"
"72","2021","9","24","    60,000","11530"," 구로동","1265","1998","구로두산","44.64","16"
"73","2021","9","24","   107,000","11530"," 구로동","685-222","1986","주공1","84.165","1"
"74","2021","9","24","    76,700","11530"," 구로동","1269","2001","중앙하이츠(1269)","59.73","2"
"75","2021","9","25","    10,000","11530"," 구로동","104-6","2013","그린플러스구로해담채2","13.23","12"
"76","2021","9","25","    22,500","11530"," 구로동","742-57","1995","(742-57)","39.84","3"
"77","2021","9","25","   126,000","11530"," 구로동","1267","2000","신도림태영타운","84.87","17"
"78","2021","9","27","   135,000","11530"," 구로동","1267","2000","신도림태영타운","101.74","27"
"79","2021","9","27","    11,500","11530"," 구로동","44-8","2013","비즈트위트오렌지","15.54","5"
"80","2021","9","28","    85,000","11530"," 구로동","1268","2001","영화참마음","84.63","11"
"81","2021","9","28","    87,000","11530"," 구로동","1263","1999","신도림롯데아파트","59.96","17"
"82","2021","9","28","    26,000","11530"," 구로동","796-72","1997","한마음(796-72)","43.05","5"
"83","2021","9","28","    24,500","11530"," 구로동","796-13","1996","(796-13)","44.32","1"
"84","2021","9","29","    25,000","11530"," 구로동","748-24","1961","은진빌라(748-24)","48.96","1"
"85","2021","9","29","    81,500","11530"," 구로동","256-1","2004","삼성래미안","56.036","5"
"86","2021","9","29","    11,000","11530"," 구로동","110","2012","종인아네스트","16.04","18"
"87","2021","9","30","    20,900","11530"," 구로동","104-9","2002","성호메이플라워멤버스빌","41.4","16"
"88","2021","9","30","    87,000","11530"," 구로동","685-223","1987","주공2","54.54","3"
"89","2021","9","3","    42,000","11530"," 가리봉동","139","1998","효성","59.94","1"
"90","2021","9","3","    97,000","11530"," 고척동","334","2003","벽산","84.878","2"
"91","2021","9","3","    70,000","11530"," 고척동","337","2005","한일유앤아이","59.647","7"
"92","2021","9","4","    78,000","11530"," 고척동","320","1994","센츄리","84.56","3"
"93","2021","9","6","    39,800","11530"," 고척동","323","1997","그랜드","57.74","10"
"94","2021","9","8","    90,500","11530"," 고척동","327","2000","동아한신","84.92","7"
"95","2021","9","11","    63,000","11530"," 고척동","306","1999","경남2","59.96","10"
"96","2021","9","19","    59,800","11530"," 고척동","330","2001","삼익(1단지)","59.82","6"
"97","2021","9","25","    60,000","11530"," 고척동","320","1994","센츄리","84.56","13"
"98","2021","9","25","    78,800","11530"," 고척동","337","2005","한일유앤아이","84.98","8"
"99","2021","9","27","    72,000","11530"," 고척동","52-332","1985","한효","69.87","2"
"100","2021","9","27","    56,000","11530"," 고척동","322","1996","성원","84.56","3"
"101","2021","9","28","    64,000","11530"," 고척동","321","1996","우성꿈동산","84.19","4"
"102","2021","9","29","    75,000","11530"," 고척동","296","1999","대우","114.95","8"
"103","2021","9","30","    62,000","11530"," 고척동","331","2001","삼익(2단지)","59.82","7"
"104","2021","9","30","    81,500","11530"," 고척동","336","2004","삼환로즈빌","59.998","5"
"105","2021","9","1","    75,500","11530"," 개봉동","476","1999","한마을","59.57","17"
"106","2021","9","2","   105,000","11530"," 개봉동","492","2014","개봉푸르지오","84.83","9"
"107","2021","9","3","    71,000","11530"," 개봉동","478","2000","한진","84.96","9"
"108","2021","9","3","   129,000","11530"," 개봉동","492","2014","개봉푸르지오","119.98","12"
"109","2021","9","3","    52,000","11530"," 개봉동","484","2002","고운아파트","59.94","1"
"110","2021","9","4","    63,700","11530"," 개봉동","478","2000","한진","59.95","4"
"111","2021","9","5","    64,000","11530"," 개봉동","478","2000","한진","59.95","6"
"112","2021","9","6","    74,000","11530"," 개봉동","478","2000","한진","84.96","13"
"113","2021","9","6","    21,000","11530"," 개봉동","366-1","1975","왕궁","65.46","2"
"114","2021","9","8","    65,000","11530"," 개봉동","170-30","2001","신개봉삼환","59.81","18"
"115","2021","9","9","    32,000","11530"," 개봉동","493","2018","한양아이클래스구로","45.32","5"
"116","2021","9","9","    70,000","11530"," 개봉동","478","2000","한진","84.96","2"
"117","2021","9","11","    79,000","11530"," 개봉동","480","2001","현대홈타운","59.49","18"
"118","2021","9","15","    61,500","11530"," 개봉동","478","2000","한진","59.95","2"
"119","2021","9","15","   132,500","11530"," 개봉동","476","1999","한마을","149.97","20"
"120","2021","9","17","    65,000","11530"," 개봉동","470","1995","삼환","59.4","6"
"121","2021","9","17","    64,300","11530"," 개봉동","478","2000","한진","59.95","8"
"122","2021","9","18","    82,000","11530"," 개봉동","476","1999","한마을","59.57","4"
"123","2021","9","18","   101,000","11530"," 개봉동","481","2001","현대","84.99","15"
"124","2021","9","18","    94,500","11530"," 개봉동","481","2001","현대","84.99","5"
"125","2021","9","24","    73,000","11530"," 개봉동","170-30","2001","신개봉삼환","74.1","14"
"126","2021","9","25","    74,900","11530"," 개봉동","478","2000","한진","84.96","2"
"127","2021","9","27","    77,900","11530"," 개봉동","480","2001","현대홈타운","59.49","5"
"128","2021","9","27","    69,500","11530"," 개봉동","170-30","2001","신개봉삼환","74.1","4"
"129","2021","9","2","    59,990","11530"," 오류동","339","1999","동부(105동~106동)","59.58","5"
"130","2021","9","3","    59,200","11530"," 오류동","345","2004","동선","58.2159","8"
"131","2021","9","6","    39,500","11530"," 오류동","337","1998","동보","59.72","1"
"132","2021","9","6","    85,000","11530"," 오류동","342","2002","영풍마드레빌","84.741","8"
"133","2021","9","8","    13,100","11530"," 오류동","9-231","2020","오류동삼전솔하임","15.943","3"
"134","2021","9","13","    72,000","11530"," 오류동","338","1998","동부골든","84.96","14"
"135","2021","9","14","    77,500","11530"," 오류동","336","1998","동부(101동~103동)","114.98","6"
"136","2021","9","16","    73,000","11530"," 오류동","343","2003","금강(343)","60.054","4"
"137","2021","9","17","    87,000","11530"," 오류동","340","1998","삼천리","134.64","17"
"138","2021","9","17","    72,500","11530"," 오류동","340","1998","삼천리","84.75","23"
"139","2021","9","18","    59,900","11530"," 오류동","338","1998","동부골든","59.94","13"
"140","2021","9","23","    89,000","11530"," 오류동","340","1998","삼천리","134.64","20"
"141","2021","9","26","    53,000","11530"," 오류동","345","2004","동선","58.2159","12"
"142","2021","9","27","    74,700","11530"," 오류동","348","2005","우림필유","84.99","13"
"143","2021","9","28","    76,900","11530"," 오류동","343","2003","금강(343)","60.054","3"
"144","2021","9","29","    85,000","11530"," 오류동","346","2004","오류동푸르지오","84.936","19"
"145","2021","9","30","    73,000","11530"," 오류동","338","1998","동부골든","105.21","6"
"146","2021","9","1","    34,000","11530"," 궁동","112-10","2003","호수1차A동","75.37","1"
"147","2021","9","1","    84,500","11530"," 온수동","155","2010","온수힐스테이트","84.97","1"
"148","2021","9","24","    40,900","11530"," 온수동","141","2010","아이에스빌리브","74.48","7"
"149","2021","9","26","   157,000","11530"," 온수동","155","2010","온수힐스테이트","162.16","10"
"150","2021","9","8","    85,000","11530"," 천왕동","275","2011","천왕이펜하우스6단지","84.97","7"
"151","2021","9","8","    83,500","11530"," 천왕동","277","2011","천왕이펜하우스5단지","84.98","4"
"152","2021","9","11","    80,000","11530"," 천왕동","282","2011","천왕이펜하우스1단지","59.94","2"
"153","2021","9","11","    84,500","11530"," 천왕동","282","2011","천왕이펜하우스1단지","59.94","10"
"154","2021","9","11","   114,000","11530"," 천왕동","279-2","2011","천왕이펜하우스2단지","114.85","12"
"155","2021","9","25","    92,000","11530"," 천왕동","281","2014","천왕연지타운2단지","84.98","7"
"156","2021","9","11","    81,500","11530"," 항동","가-237","2019","하버라인2단지","59.86","12"
"157","2021","9","13","    79,000","11530"," 항동","가-238","2019","하버라인4단지","59.86","10"
"158","2021","9","15","    82,800","11530"," 항동","가-242","2019","하버라인3단지","59.86","8"
