"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","1","    87,500","11350"," 월계동","13","1986","미성","50.14","12"
"2","2021","9","1","    53,900","11350"," 월계동","923","1998","초안1","59.85","5"
"3","2021","9","1","    53,900","11350"," 월계동","923","1998","초안1","59.85","5"
"4","2021","9","3","    53,500","11350"," 월계동","320-11","1995","사슴3","39.6","4"
"5","2021","9","4","   101,000","11350"," 월계동","929","2000","현대","84.98","7"
"6","2021","9","4","    93,500","11350"," 월계동","13","1986","삼호3","59.22","2"
"7","2021","9","4","    49,000","11350"," 월계동","556","1993","주공2","38.64","15"
"8","2021","9","4","    88,000","11350"," 월계동","944","2005","풍림아이원","59.149","14"
"9","2021","9","6","    73,500","11350"," 월계동","929","2000","현대","59.95","19"
"10","2021","9","7","    42,800","11350"," 월계동","924","1997","초안2","39.6","13"
"11","2021","9","7","    72,000","11350"," 월계동","322-1","1995","성원(사슴4)","59.94","9"
"12","2021","9","8","    82,000","11350"," 월계동","950","2017","녹천역두산위브아파트","59.7828","9"
"13","2021","9","9","    90,000","11350"," 월계동","13","1986","미륭","51.48","5"
"14","2021","9","9","    70,500","11350"," 월계동","322-1","1995","성원(사슴4)","59.94","9"
"15","2021","9","9","    79,450","11350"," 월계동","939","2004","월계흥화브라운빌","84.98","15"
"16","2021","9","10","    90,000","11350"," 월계동","775","1998","대우","134.64","9"
"17","2021","9","10","    90,000","11350"," 월계동","775","1998","대우","134.64","9"
"18","2021","9","10","    55,000","11350"," 월계동","322-1","1995","성원(사슴4)","39.6","10"
"19","2021","9","13","   128,000","11350"," 월계동","18","2002","한진한화그랑빌","139.08","9"
"20","2021","9","14","   110,000","11350"," 월계동","949","2016","꿈의숲SKVIEW","84.93","12"
"21","2021","9","15","    88,000","11350"," 월계동","922","1994","서광","84.61","2"
"22","2021","9","15","    56,000","11350"," 월계동","320-11","1995","사슴3","39.6","12"
"23","2021","9","15","    59,500","11350"," 월계동","322-1","1995","성원(사슴4)","49.92","1"
"24","2021","9","15","    71,000","11350"," 월계동","929","2000","현대","59.95","1"
"25","2021","9","17","    39,700","11350"," 월계동","924","1997","초안2","39.6","2"
"26","2021","9","18","    64,700","11350"," 월계동","320-11","1995","사슴3","49.5","14"
"27","2021","9","18","    72,300","11350"," 월계동","13","1986","미성","33.28","2"
"28","2021","9","18","    98,000","11350"," 월계동","13","1986","삼호3","59.22","10"
"29","2021","9","25","    65,000","11350"," 월계동","322-1","1995","성원(사슴4)","59.94","1"
"30","2021","9","25","    99,900","11350"," 월계동","18","2002","한진한화그랑빌","84.97","2"
"31","2021","9","25","    72,200","11350"," 월계동","13","1986","미성","33.28","4"
"32","2021","9","25","    81,000","11350"," 월계동","12","1987","삼호4","59.49","13"
"33","2021","9","29","    72,650","11350"," 월계동","13","1986","미성","33.28","4"
"34","2021","9","1","    54,800","11350"," 공릉동","707","1994","시영2단지(라이프)아파트","39.6","7"
"35","2021","9","2","    50,000","11350"," 공릉동","707","1994","시영2단지(라이프)아파트","39.6","10"
"36","2021","9","3","    86,900","11350"," 공릉동","737","1995","삼익아파트","114.88","12"
"37","2021","9","4","    96,000","11350"," 공릉동","111","2000","화랑타운아파트","84.74","2"
"38","2021","9","4","    73,600","11350"," 공릉동","725","2001","풍림아파트A","59.94","9"
"39","2021","9","4","    63,000","11350"," 공릉동","715","1994","시영3차(라이프)아파트","49.5","2"
"40","2021","9","4","    65,000","11350"," 공릉동","81","1999","태강아파트","49.6","11"
"41","2021","9","6","    86,500","11350"," 공릉동","91","2000","청솔아파트8","84.65","13"
"42","2021","9","6","    60,000","11350"," 공릉동","590-1","1999","현대(고려)아파트","59.28","11"
"43","2021","9","7","    60,000","11350"," 공릉동","738","1995","공릉우성아파트","59.44","14"
"44","2021","9","7","    41,000","11350"," 공릉동","715","1994","시영3차(라이프)아파트","34.44","2"
"45","2021","9","8","    77,000","11350"," 공릉동","738","1995","공릉우성아파트","84.97","3"
"46","2021","9","8","    57,000","11350"," 공릉동","705","1996","동부아파트","59.34","15"
"47","2021","9","9","    89,500","11350"," 공릉동","745","1999","동신아파트","84.97","17"
"48","2021","9","9","    69,500","11350"," 공릉동","108","2000","우방아파트","61.151","8"
"49","2021","9","10","    67,000","11350"," 공릉동","109","1999","비선아파트","59.87","13"
"50","2021","9","10","    12,450","11350"," 공릉동","683-14","2013","한일휴니스빌","13.62","6"
