"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","    39,250","11320"," 쌍문동","722","1997","염광","59.91","11"
"2","2021","5","1","    39,900","11320"," 쌍문동","56","1988","삼익세라믹","42.93","7"
"3","2021","5","1","    51,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","10"
"4","2021","5","1","    57,900","11320"," 쌍문동","199-1","1990","금호1","70.13","7"
"5","2021","5","1","    38,000","11320"," 쌍문동","711","2018","도봉금강아미움파크타운","56.3864","10"
"6","2021","5","3","    64,800","11320"," 쌍문동","199-1","1990","금호1","84.88","9"
"7","2021","5","3","    32,700","11320"," 쌍문동","59","1989","한양2","35.1","14"
"8","2021","5","3","    46,000","11320"," 쌍문동","59","1988","한양2","59.67","12"
"9","2021","5","3","    49,400","11320"," 쌍문동","59-3","1991","한양5","65.37","7"
"10","2021","5","4","    50,700","11320"," 쌍문동","56","1988","삼익세라믹","58.77","12"
"11","2021","5","6","    28,000","11320"," 쌍문동","575","2003","시그마팰리스","59.41","12"
"12","2021","5","7","    32,900","11320"," 쌍문동","59","1989","한양2","35.1","8"
"13","2021","5","7","    40,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","12"
"14","2021","5","7","    60,000","11320"," 쌍문동","59","1988","한양2","76.92","4"
"15","2021","5","7","    38,900","11320"," 쌍문동","56","1988","삼익세라믹","42.93","4"
"16","2021","5","7","    35,000","11320"," 쌍문동","285-5","1987","동익미라벨","65.42","10"
"17","2021","5","10","    56,300","11320"," 쌍문동","59","1988","한양2","76.92","8"
"18","2021","5","11","    49,000","11320"," 쌍문동","321","1995","쌍문금용","84.69","13"
"19","2021","5","12","    26,750","11320"," 쌍문동","13-2","1989","대웅","44.82","5"
"20","2021","5","13","    23,500","11320"," 쌍문동","59","1989","한양2","28.71","13"
"21","2021","5","14","    53,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","14"
"22","2021","5","14","    19,700","11320"," 쌍문동","153","1988","기용","44.37","1"
"23","2021","5","14","    69,000","11320"," 쌍문동","388-33","1986","한양1","66.33","8"
"24","2021","5","14","    69,000","11320"," 쌍문동","388-33","1986","한양1","66.33","8"
"25","2021","5","15","    36,300","11320"," 쌍문동","56","1988","삼익세라믹","42.93","1"
"26","2021","5","15","    66,600","11320"," 쌍문동","195","1996","청구","84.63","6"
"27","2021","5","17","    82,000","11320"," 쌍문동","730","2004","대우파크힐(쌍문동이안)","84.955","12"
"28","2021","5","17","    18,750","11320"," 쌍문동","460-8","2003","삼보","75.95","1"
"29","2021","5","17","    31,200","11320"," 쌍문동","56","1988","삼익세라믹","40.11","15"
"30","2021","5","18","    32,800","11320"," 쌍문동","73","1988","경남","46.3","3"
"31","2021","5","20","    33,450","11320"," 쌍문동","73","1988","경남","44.5","12"
"32","2021","5","20","    33,800","11320"," 쌍문동","658","2015","그린힐스아파트","54.83","8"
"33","2021","5","20","    83,000","11320"," 쌍문동","732","2014","북한산코오롱하늘채","84.98","11"
"34","2021","5","20","    41,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","2"
"35","2021","5","24","    54,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","14"
"36","2021","5","24","    51,800","11320"," 쌍문동","54","1990","현대1","70.3","1"
