"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","3","   123,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","7"
"2","2021","4","3","    93,000","11590"," 노량진동","325","2001","신동아리버파크","59.67","18"
"3","2021","4","5","   129,000","11590"," 노량진동","332","2010","쌍용예가","84.868","15"
"4","2021","4","5","   109,000","11590"," 노량진동","332","2010","쌍용예가","59.957","8"
"5","2021","4","8","    87,000","11590"," 노량진동","323","1997","우성","59.82","5"
"6","2021","4","15","   129,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","25"
"7","2021","4","24","   139,000","11590"," 노량진동","332","2010","쌍용예가","114.685","6"
"8","2021","4","24","   104,500","11590"," 노량진동","324","1997","건영(103동-106동)","84.94","12"
"9","2021","4","1","    67,500","11590"," 상도동","409","1995","동아","83.09","3"
"10","2021","4","2","    72,000","11590"," 상도동","458","2006","상도갑을명가1차","78","10"
"11","2021","4","3","   136,000","11590"," 상도동","533","2013","힐스테이트 상도 프레스티지","84.884","9"
"12","2021","4","3","   160,000","11590"," 상도동","900","2016","상도파크자이","84.918","17"
"13","2021","4","7","   121,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.7835","16"
"14","2021","4","8","    93,800","11590"," 상도동","421","2003","삼성래미안2","59.886","4"
"15","2021","4","8","   129,500","11590"," 상도동","431","2004","래미안상도3차","84.96","14"
"16","2021","4","9","   118,000","11590"," 상도동","416","2004","아이파크","84.96","12"
"17","2021","4","10","   137,700","11590"," 상도동","903","2018","e편한세상상도노빌리티","59.7827","21"
"18","2021","4","10","   145,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.7835","2"
"19","2021","4","10","    15,000","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","5"
"20","2021","4","14","    14,700","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","3"
"21","2021","4","15","    46,700","11590"," 상도동","7-92","2011","종인아네스트","62.67","2"
"22","2021","4","15","   137,700","11590"," 상도동","903","2018","e편한세상상도노빌리티","59.7827","21"
"23","2021","4","17","    77,000","11590"," 상도동","412","2003","상도현대","59.72","12"
"24","2021","4","17","   139,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","2"
"25","2021","4","19","   106,000","11590"," 상도동","418","2003","쌍용스윗닷홈","84.954","1"
"26","2021","4","19","   143,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","2"
"27","2021","4","20","    93,000","11590"," 상도동","411","1995","대림아파트","84.89","13"
"28","2021","4","21","   148,000","11590"," 상도동","900","2016","상도파크자이","71.252","9"
"29","2021","4","23","   146,000","11590"," 상도동","533","2013","힐스테이트 상도 프레스티지","84.951","8"
"30","2021","4","24","   112,000","11590"," 상도동","414","1997","건영","114.96","17"
"31","2021","4","24","   138,000","11590"," 상도동","450","2004","상도동래미안1차","114.171","9"
"32","2021","4","26","   112,600","11590"," 상도동","431","2004","래미안상도3차","59.97","6"
"33","2021","4","27","    30,000","11590"," 상도동","126-18","2003","푸른솔","84.18","2"
"34","2021","4","27","    64,500","11590"," 상도동","445","2002","경향렉스빌","61.5494","2"
"35","2021","4","29","   147,000","11590"," 상도동","533","2013","힐스테이트 상도 프레스티지","84.951","11"
"36","2021","4","29","   130,000","11590"," 상도동","535","2016","두산위브트레지움2차","59.7852","14"
"37","2021","4","30","   110,000","11590"," 상도동","415","2003","중앙하이츠빌","84.9883","12"
"38","2021","4","30","    15,900","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","11"
"39","2021","4","30","    81,000","11590"," 상도동","407","1992","현대(관악)","58.59","12"
"40","2021","4","29","    50,300","11590"," 상도1동","466","2003","노블리움(466-0)","67.47","1"
"41","2021","4","1","   175,000","11590"," 본동","494","2011","래미안트윈파크","84.76","18"
"42","2021","4","8","    88,500","11590"," 본동","484","2004","경동윈츠리버","56.68","6"
"43","2021","4","10","   136,500","11590"," 본동","494","2011","래미안트윈파크","59.72","22"
"44","2021","4","19","   137,000","11590"," 본동","494","2011","래미안트윈파크","59.9","24"
"45","2021","4","24","   115,000","11590"," 본동","481","1993","신동아","104.7","3"
"46","2021","4","24","    88,800","11590"," 본동","148-2","1992","극동강변","84.73","3"
"47","2021","4","1","   144,000","11590"," 흑석동","10","1988","명수대현대","70.2","14"
"48","2021","4","8","   172,000","11590"," 흑석동","341","2019","아크로리버하임","59.9154","15"
"49","2021","4","10","   198,000","11590"," 흑석동","335","2011","흑석한강센트레빌","114.95","3"
"50","2021","4","12","   150,000","11590"," 흑석동","10","1988","명수대현대","84.33","7"
"51","2021","4","17","   158,000","11590"," 흑석동","336","2012","흑석한강푸르지오","84.79","6"
"52","2021","4","18","   200,000","11590"," 흑석동","335","2011","흑석한강센트레빌","114.83","17"
"53","2021","4","18","   168,000","11590"," 흑석동","341","2019","아크로리버하임","59.9154","17"
"54","2021","4","26","   153,000","11590"," 흑석동","10","1988","명수대현대","112.29","3"
"55","2021","4","27","   174,000","11590"," 흑석동","340","2018","롯데캐슬에듀포레","84.9732","15"
"56","2021","4","28","   215,000","11590"," 흑석동","341","2019","아크로리버하임","84.7536","21"
"57","2021","4","30","   187,000","11590"," 흑석동","10","1988","명수대현대","124.95","9"
"58","2021","4","30","   103,000","11590"," 흑석동","328","2003","흑석동양아파트","59.511","16"
"59","2021","4","20","   120,000","11590"," 동작동","331","2003","금강KCC","84.95","11"
"60","2021","4","1","    34,700","11590"," 사당동","1048-8","2001","오림센트빌","57.35","1"
"61","2021","4","3","    82,500","11590"," 사당동","1142","2004","진흥아리엘","84.9713","8"
"62","2021","4","3","   168,000","11590"," 사당동","1159","2018","래미안로이파크","84.98","16"
"63","2021","4","3","    87,500","11590"," 사당동","105","1993","사당우성3","46.75","14"
"64","2021","4","6","    82,000","11590"," 사당동","105","1993","신동아4","46.75","7"
"65","2021","4","6","    67,500","11590"," 사당동","169-32","1991","현대","51.66","6"
"66","2021","4","6","   136,000","11590"," 사당동","105","1993","사당우성2","84.66","11"
"67","2021","4","10","   147,000","11590"," 사당동","105","1993","신동아4","118.25","4"
"68","2021","4","11","    66,000","11590"," 사당동","1142","2004","진흥아리엘","59.7879","4"
"69","2021","4","13","   107,000","11590"," 사당동","169-8","1990","대림(169-8)","59.67","3"
"70","2021","4","13","   107,000","11590"," 사당동","169-8","1990","대림(169-8)","59.67","3"
"71","2021","4","14","    82,000","11590"," 사당동","105","1993","극동(105)","46.75","10"
"72","2021","4","15","    34,700","11590"," 사당동","180-26","2001","삼성그린101동","67.15","-1"
"73","2021","4","16","   144,000","11590"," 사당동","105","1993","극동(105)","119.91","5"
"74","2021","4","16","   118,500","11590"," 사당동","105","1993","극동(105)","84.32","11"
"75","2021","4","17","    89,900","11590"," 사당동","105","1993","신동아4","46.75","13"
"76","2021","4","17","    83,500","11590"," 사당동","1134","1997","경남아너스빌1차","59.9","13"
"77","2021","4","17","   115,000","11590"," 사당동","1149","2004","사당롯데캐슬2차","84.766","6"
"78","2021","4","18","    85,000","11590"," 사당동","105","1993","사당우성2","46.75","11"
"79","2021","4","18","   110,000","11590"," 사당동","1133","2003","삼성래미안","60.739","11"
"80","2021","4","19","   139,500","11590"," 사당동","105","1993","극동(105)","119.5","16"
"81","2021","4","20","    80,800","11590"," 사당동","105","1993","극동(105)","46.75","15"
"82","2021","4","21","   154,000","11590"," 사당동","147-29","2010","이수자이","120.17","19"
