"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","4","   180,000","11440"," 아현동","802","2017","마포센트럴아이파크","84.9699","28"
"2","2021","12","10","    85,250","11440"," 공덕동","43","2004","공덕2삼성래미안","84.94","17"
"3","2021","12","20","   173,000","11440"," 공덕동","469","2011","래미안공덕5차","84.851","9"
"4","2021","12","31","   172,000","11440"," 공덕동","476","2015","공덕파크자이","84.996","12"
"5","2021","12","2","    38,000","11440"," 신공덕동","13-15","2019","블레스하임","23.89","6"
"6","2021","12","4","    97,500","11440"," 신공덕동","159","2000","신공덕래미안2차","59.48","1"
"7","2021","12","10","   128,500","11440"," 신공덕동","161","2003","신공덕래미안3차","59.96","7"
"8","2021","12","13","    41,000","11440"," 신공덕동","13-15","2019","블레스하임","23.59","9"
"9","2021","12","23","   196,500","11440"," 신공덕동","174","2013","신공덕아이파크","114.97","11"
"10","2021","12","4","   133,500","11440"," 도화동","357","1996","도화동현대","79.83","13"
"11","2021","12","15","   120,000","11440"," 도화동","82","1991","우성","68.94","3"
"12","2021","12","17","    45,000","11440"," 도화동","555","2004","한화오벨리스크","36.49","12"
"13","2021","12","21","   127,000","11440"," 도화동","357","1996","도화동현대","68.22","4"
"14","2021","12","29","   174,000","11440"," 도화동","357","1996","도화동현대","147.37","8"
"15","2021","12","6","   105,000","11440"," 용강동","118-3","2010","대호강변","84.9","3"
"16","2021","12","7","   105,000","11440"," 용강동","118-3","2010","대호강변","84.9","3"
"17","2021","12","30","   180,000","11440"," 용강동","502","2015","래미안마포리버웰","84.97","3"
"18","2021","12","5","   199,000","11440"," 대흥동","806","2020","신촌그랑자이(1단지)","84.98","17"
"19","2021","12","25","    17,500","11440"," 대흥동","12-41","2014","서희스타힐스","12.85","17"
"20","2021","12","27","   172,000","11440"," 대흥동","804","2014","마포자이2차","84.95","4"
"21","2021","12","27","   172,000","11440"," 대흥동","804","2014","마포자이2차","84.95","4"
"22","2021","12","4","   131,000","11440"," 염리동","520","2001","염리삼성래미안","59.52","9"
"23","2021","12","9","   170,000","11440"," 염리동","520","2001","염리삼성래미안","114.48","12"
"24","2021","12","11","    84,000","11440"," 염리동","515-1","1997","상록","49.02","13"
"25","2021","12","13","    90,000","11440"," 염리동","515-1","1997","상록","58.71","2"
"26","2021","12","21","   230,000","11440"," 염리동","521","2003","마포자이","135.376","16"
"27","2021","12","27","    85,000","11440"," 염리동","515-1","1997","상록","49.8","11"
"28","2021","12","31","   122,000","11440"," 염리동","520","2001","염리삼성래미안","59.76","13"
"29","2021","12","7","    25,800","11440"," 노고산동","107-36","2002","현대벤처빌","32.8","15"
"30","2021","12","18","    25,000","11440"," 노고산동","1-3","2004","신촌포스빌","32.34","4"
"31","2021","12","6","   107,000","11440"," 신수동","450","1997","신촌삼익","59.85","5"
"32","2021","12","22","   197,000","11440"," 신수동","462","2019","신촌숲아이파크","84.901","9"
"33","2021","12","25","   124,500","11440"," 신수동","456","2007","마포경남아너스빌","84.95","12"
"34","2021","12","27","   217,000","11440"," 신수동","462","2019","신촌숲아이파크","84.901","23"
"35","2021","12","25","   190,000","11440"," 현석동","225","2016","래미안웰스트림","84.96","17"
"36","2021","12","14","   138,000","11440"," 창전동","443","2007","해모로","59.867","9"
"37","2021","12","17","    59,500","11440"," 창전동","42-9","2007","중앙하이츠103동","57.86","2"
"38","2021","12","17","   125,000","11440"," 창전동","442","2007","서강오벨리스크스위트","84.96","11"
"39","2021","12","21","   115,000","11440"," 창전동","437","1998","창전래미안","59.94","10"
"40","2021","12","17","   165,500","11440"," 상수동","398","2014","래미안밤섬리베뉴Ⅱ","84.82","3"
"41","2021","12","4","   197,500","11440"," 서교동","490","2012","메세나폴리스","122.867","7"
"42","2021","12","11","    81,000","11440"," 서교동","487","2005","대우미래사랑","84.96","3"
"43","2021","12","20","    26,000","11440"," 서교동","487","2005","대우미래사랑","34.29","2"
"44","2021","12","20","   215,000","11440"," 서교동","490","2012","메세나폴리스","122.867","17"
"45","2021","12","22","    68,000","11440"," 서교동","487","2005","대우미래사랑","68.11","7"
"46","2021","12","7","   215,000","11440"," 합정동","472","2015","마포한강푸르지오","119.99","15"
"47","2021","12","1","    81,000","11440"," 망원동","439-1","2021","솔루체","54.13","6"
"48","2021","12","8","    73,000","11440"," 망원동","510","2004","두영이지안","59.95","5"
"49","2021","12","8","    73,000","11440"," 망원동","510","2004","두영이지안","59.95","5"
"50","2021","12","25","    68,000","11440"," 망원동","465-32","2002","광남캐스빌D","72.85","5"
"51","2021","12","31","    57,000","11440"," 망원동","382-3","2007","해오름2차","93.99","3"
"52","2021","12","23","    52,000","11440"," 연남동","250-8","2004","서암","67.08","3"
"53","2021","12","8","   105,000","11440"," 성산동","446","1986","성산시영(대우)","50.03","1"
"54","2021","12","22","    69,800","11440"," 성산동","25-1","2005","라인성서","84.945","3"
"55","2021","12","14","   133,000","11440"," 중동","398","2006","울트라월드컵(참누리)","84.9406","13"
"56","2021","12","24","    89,500","11440"," 중동","393","2002","건영월드컵","78.39","3"
"57","2021","12","26","    57,500","11440"," 중동","30-28","2009","수풍","84.76","4"
"58","2021","12","5","   132,000","11440"," 상암동","1655","2006","상암월드컵파크4단지","84.89","21"
"59","2021","12","10","   130,000","11440"," 상암동","1660","2005","상암월드컵파크7단지","84.74","6"
"60","2021","12","14","   149,000","11440"," 상암동","1689","2005","상암월드컵파크6단지","104.32","6"
"61","2021","12","21","   162,000","11440"," 상암동","1689","2005","상암월드컵파크6단지","104.32","12"
"62","2021","12","21","   162,000","11440"," 상암동","1689","2005","상암월드컵파크6단지","104.32","12"
"63","2021","12","23","   161,000","11440"," 상암동","1689","2005","상암월드컵파크6단지","104.32","12"
"64","2021","12","29","   165,000","11440"," 상암동","1655","2006","상암월드컵파크4단지","104.78","6"
