"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","1","    68,000","11410"," 합동","31-9","2003","사랑채","73.83","2"
"2","2021","12","21","   130,000","11410"," 냉천동","261","2011","돈의문센트레빌","84.99","10"
"3","2021","12","22","    75,000","11410"," 영천동","100","1995","독립문삼호","84.78","6"
"4","2021","12","11","   130,000","11410"," 현저동","200","1998","독립문극동(200-0)","84.87","4"
"5","2021","12","3","   121,850","11410"," 북아현동","1-70","2006","훼미리(1-70)","79.85","3"
"6","2021","12","4","   186,300","11410"," 북아현동","1013","2018","이편한세상신촌(4단지)","84.89","24"
"7","2021","12","8","   213,000","11410"," 북아현동","149","2018","e편한세상신촌2단지","114.89","8"
"8","2021","12","9","    63,000","11410"," 북아현동","1-52","2004","건일팰리스","84.54","3"
"9","2021","12","13","   180,000","11410"," 북아현동","149","2018","e편한세상신촌2단지","84.98","17"
"10","2021","12","17","   100,700","11410"," 북아현동","1009","1999","두산","59.96","7"
"11","2021","12","18","    96,000","11410"," 북아현동","1009","1999","두산","59.96","11"
"12","2021","12","23","   142,000","11410"," 북아현동","1013","2018","e편한세상신촌1단지","59.85","3"
"13","2021","12","26","   171,000","11410"," 북아현동","1013","2018","e편한세상신촌1단지","84.93","11"
"14","2021","12","4","    63,700","11410"," 홍제동","373","1998","태영으뜸(데시앙)","67.3","4"
"15","2021","12","9","    59,800","11410"," 홍제동","454","1996","유원하나","58.77","3"
"16","2021","12","11","    73,000","11410"," 홍제동","331","1992","홍제현대","60.81","5"
"17","2021","12","26","    60,000","11410"," 홍제동","315-7","1972","서울맨션","63.23","5"
"18","2021","12","26","    95,000","11410"," 홍제동","471","2016","금호어울림","59.9138","11"
"19","2021","12","10","    19,200","11410"," 대현동","90-20","2018","이대경우타운","15.32","9"
"20","2021","12","17","    26,600","11410"," 대현동","104-36","2014","신촌자이엘라","22.13","22"
"21","2021","12","5","    87,000","11410"," 연희동","740","2001","성원","84.95","4"
"22","2021","12","10","    15,300","11410"," 연희동","745","2014","연희자이엘라","13.642","10"
"23","2021","12","1","    83,900","11410"," 홍은동","455","1997","홍은동벽산","84.96","9"
"24","2021","12","3","    79,500","11410"," 홍은동","440-1","2013","반석블레스","84.92","2"
"25","2021","12","5","   100,000","11410"," 홍은동","392-7","2005","신원지벤스타1","132.45","5"
"26","2021","12","5","    57,300","11410"," 홍은동","22","1987","유원","64.26","4"
"27","2021","12","10","    81,000","11410"," 홍은동","455","1997","홍은동벽산","84.78","3"
"28","2021","12","11","    65,000","11410"," 홍은동","454","1995","극동","84.92","6"
"29","2021","12","19","    89,500","11410"," 홍은동","455","1997","홍은동벽산","114.96","2"
"30","2021","12","19","   102,000","11410"," 홍은동","467","2020","북한산두산위브1차","84.78","13"
"31","2021","12","29","    60,000","11410"," 홍은동","440-3","1988","풍림1차","64.53","6"
"32","2021","12","24","    71,000","11410"," 북가좌동","150","1998","요진","82.08","14"
"33","2021","12","25","    35,500","11410"," 북가좌동","7-2","2002","한솔","78.32","6"
"34","2021","12","4","    32,500","11410"," 남가좌동","387","2017","디엠씨엘가","30.36","6"
"35","2021","12","10","    85,500","11410"," 남가좌동","376","1999","남가좌동현대","59.4","6"
"36","2021","12","10","    85,000","11410"," 남가좌동","376","1999","남가좌동현대","59.4","16"
"37","2021","12","13","    33,500","11410"," 남가좌동","387","2017","디엠씨엘가","30.36","8"
"38","2021","12","18","    96,700","11410"," 남가좌동","376","1999","남가좌동현대","73.65","17"
