"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","11","6","   147,500","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","59.88","4"
"2","2021","11","8","   105,000","11200"," 하왕십리동","1064","2009","왕십리지웰","84.981","1"
"3","2021","11","18","   110,000","11200"," 하왕십리동","1061","2004","왕십리풍림아이원","59.936","12"
"4","2021","11","19","   142,000","11200"," 하왕십리동","258","1996","청계벽산","114.46","4"
"5","2021","11","19","   110,500","11200"," 하왕십리동","1058","2001","극동미라주","84.33","4"
"6","2021","11","23","   114,000","11200"," 하왕십리동","1061","2004","왕십리풍림아이원","84.417","2"
"7","2021","11","27","   163,500","11200"," 하왕십리동","1066","2015","텐즈힐(1단지)","84.88","1"
"8","2021","11","29","   104,000","11200"," 홍익동","53","2005","청계대주파크빌","84.94","9"
"9","2021","11","6","   114,000","11200"," 도선동","69","2006","삼성쉐르빌","84.93","17"
"10","2021","11","27","   125,000","11200"," 마장동","818","1998","현대","84.91","26"
"11","2021","11","29","   147,000","11200"," 마장동","818","1998","현대","134.79","1"
"12","2021","11","19","    17,500","11200"," 사근동","315","2018","한양마이라움","17.99","2"
"13","2021","11","1","   129,500","11200"," 행당동","347","2000","대림e-편한세상","84.87","1"
"14","2021","11","15","   163,000","11200"," 행당동","346","2000","행당한진타운","114.62","15"
"15","2021","11","18","   137,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","7"
"16","2021","11","18","   109,000","11200"," 행당동","346","2000","행당한진타운","59.96","11"
"17","2021","11","21","   145,000","11200"," 행당동","346","2000","행당한진타운","114.62","7"
"18","2021","11","23","   140,000","11200"," 행당동","347","2000","대림e-편한세상","84.87","3"
"19","2021","11","24","   160,000","11200"," 행당동","346","2000","행당한진타운","114.62","6"
"20","2021","11","6","   109,500","11200"," 응봉동","15","2001","대림강변타운","59.76","1"
"21","2021","11","18","   100,000","11200"," 응봉동","98","1990","금호현대","59.91","4"
"22","2021","11","22","   115,000","11200"," 응봉동","275","1996","신동아","84.81","5"
"23","2021","11","1","   158,000","11200"," 금호동1가","280","2019","이편한세상금호파크힐스","59.949","12"
"24","2021","11","2","   130,000","11200"," 금호동3가","917","2005","금호1차푸르지오","84.92","10"
"25","2021","11","12","   132,500","11200"," 금호동3가","917","2005","금호1차푸르지오","84.92","2"
"26","2021","11","5","   150,000","11200"," 금호동4가","340","2007","서울숲푸르지오","59.99","7"
"27","2021","11","6","   160,000","11200"," 금호동4가","235","2012","서울숲푸르지오2차","59.907","9"
"28","2021","11","12","   123,300","11200"," 금호동4가","800","2001","대우","59.97","7"
"29","2021","11","13","   139,000","11200"," 금호동4가","1250","2003","롯데","84.99","3"
"30","2021","11","15","   122,500","11200"," 금호동4가","800","2001","대우","59.97","9"
"31","2021","11","20","   159,000","11200"," 금호동4가","800","2001","대우","84.71","13"
"32","2021","11","8","   180,000","11200"," 옥수동","250","1999","삼성","114.666","6"
"33","2021","11","12","   115,000","11200"," 옥수동","557","1998","극동옥정","84.93","8"
"34","2021","11","16","   167,500","11200"," 옥수동","250","1999","삼성","84.822","15"
"35","2021","11","18","   183,000","11200"," 옥수동","250","1999","삼성","114.666","3"
"36","2021","11","22","   213,000","11200"," 옥수동","100","1998","옥수하이츠","114.78","15"
"37","2021","11","23","   113,000","11200"," 옥수동","557","1998","극동옥정","84.93","12"
"38","2021","11","5","   133,000","11200"," 성수동1가","706","1997","쌍용","59.76","10"
"39","2021","11","6","   150,000","11200"," 성수동1가","706","1997","쌍용","84.78","3"
"40","2021","11","6","   129,000","11200"," 성수동1가","706","1997","쌍용","59.76","7"
"41","2021","11","8","   550,000","11200"," 성수동1가","685-696","2011","갤러리아포레","195.2","15"
"42","2021","11","8","   550,000","11200"," 성수동1가","685-696","2011","갤러리아포레","195.2","15"
"43","2021","11","17","   175,000","11200"," 성수동1가","704","1994","한진타운","84.21","15"
"44","2021","11","19","   459,000","11200"," 성수동1가","718","2017","트리마제","140.3099","41"
"45","2021","11","24","   179,500","11200"," 성수동1가","710","2002","LIG건영","84.941","1"
"46","2021","11","13","   102,000","11200"," 성수동2가","832","1997","금호타운2","59.94","13"
"47","2021","11","15","    73,000","11200"," 성수동2가","279-50","1999","대우1","59.49","6"
"48","2021","11","20","   163,000","11200"," 성수동2가","835","2003","롯데캐슬파크","81.567","5"
"49","2021","11","20","   100,000","11200"," 용답동","252","2014","덕현해밀","84.99","6"
